"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Charcoal","Apiaceae","Liliaceae","Fabaceae","Alisma","Plantago lanceolata-type","Persicaria maculosa-type","Carpinus betulus","Ephedra distachya-type","Silene-type","Arbutus","Olea-type","Sarcopoterium-type","Sorbus group","Dryopteris filix-mas-type","Anthoceros punctatus-type","Alnus","Amaranthaceae","Asteraceae","Centaurea solstitialis-type","Phillyrea-type","Monoletes","Cichorioideae","Ulmus","Cirsium-type","Varia","Ophioglossum","Anthoceros laevis-type","Lycopodium sp.","Spirogyra","Abies","Ostrya-type","Pteridium","Achillea-type","Poaceae (Cerealia-type)","Cladium-type","Quercus ilex-type","Quercus sp.","Triletes","Quercus pubescens/Q. cerris-type","Indeterminable","Poaceae","Cyperaceae","Isoëtes","Cistus","Pinus","Sparganium-type","Erica","Betula","Corylus","Picea","Ranunculus-type","Rhamnus-type","Asphodelus albus-type","Riccia-type","Closterium","Mougeotia","cf. Vitex","Botryococcus","Artemisia","Fagus","Juniperus-type","Mentha-type","Cerastium-type","Spergula arvensis","Solidago-type","Mercurialis annua","Fumana","Castanea","Nymphaea","Salix","Lythrum","Pistacia","Lemna","Filipendula","Daphne","Plantago coronopus-type","Centaurea nigra-type","Saussurea-type","Plantago tenuiflora-type","Polypodium","Myrtus","Brassicaceae","Malvaceae","Plantago major/P. media-type","Algae","Taxus","Tilia","Helianthemum","Santalaceae","Fraxinus ornus","Fraxinus excelsior-type","Pulmonaria-type","cf. Cheilanthes/Anogramma","Juglans","Rosaceae"
5215.8,NA,NA,474.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,7,7,7,8,10,12,15,18,22,24,24,76,81,183,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5255.9,NA,NA,477.5,1,1,NA,NA,NA,1,2,1,NA,NA,1,NA,NA,NA,NA,1,2,3,2,1,2,2,4,NA,1,11,7,NA,NA,36,1,3,2,NA,5,10,7,6,4,10,35,22,106,38,55,65,489,113,1,1,1,1,1,1,1,1,4,19,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5413.4,NA,NA,489.5,1,1,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,1,3,29,2,NA,3,3,11,NA,4,13,12,9,NA,12,3,5,3,5,12,18,6,5,9,16,16,70,31,16,82,59,18,253,NA,NA,NA,NA,1,NA,NA,96,NA,44,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5943.6,NA,NA,529.5,1,7,1,1,NA,1,1,3,4,NA,1,NA,NA,NA,NA,2,13,3,4,NA,1,2,3,NA,NA,13,1,2,NA,NA,6,3,NA,6,5,6,15,14,4,67,19,37,298,5,27,49,575,187,NA,1,NA,NA,7,1,1,19,NA,NA,7,2,NA,NA,NA,NA,NA,1,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6077.6,NA,NA,539.5,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,NA,2,2,1,4,NA,6,7,NA,NA,2,2,3,3,2,5,2,12,46,5,67,28,83,27,10,10,78,8,95,NA,3,NA,NA,NA,NA,NA,79,1,NA,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6117.4,NA,NA,542.5,1,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,NA,2,8,3,3,NA,2,2,3,1,1,15,4,4,NA,2,3,7,3,4,2,3,28,34,6,70,27,32,37,60,16,39,7,119,NA,3,NA,2,1,1,NA,23,11,NA,NA,1,2,NA,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,1,4,1,1,1,1,1,1,NA,NA,NA,NA
6210.2,NA,NA,549.5,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,6,1,NA,3,1,NA,7,6,1,NA,4,8,9,NA,NA,3,3,8,3,2,7,4,8,19,12,15,25,8,30,24,46,5,103,1,1,NA,NA,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
6276.4,NA,NA,554.5,1,5,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,6,NA,NA,3,2,6,NA,1,1,NA,2,2,6,7,6,3,6,24,3,9,19,70,2,9,3,39,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6395,NA,NA,563.5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,2,NA,1,3,1,NA,4,3,4,NA,4,8,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
