"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Cichorioideae","Salix","Apiaceae","Lamiaceae","Pistacia lentiscus","Isoëtes","Unknown (trilete)","Campanulaceae","Pinus","Plantago coronopus-type","Olea europaea","Asteroideae","Erica arborea","Quercus suber","Poaceae","Unknown","Hypericum","Myriophyllum","Polygalaceae","Lythrum","Alnus glutinosa","Fraxinus","Cyperaceae","Quercus canariensis","Quercus ilex-type","Cistus monspeliensis","Typhaceae","Sambucus","Quercus coccifera","Asphodelus","Unknown (monolete)","Amaranthaceae","Ephedra","Fabaceae","Linaceae","Corylus","Cedrus","Abies","Typha latifolia","Polygonum"
106,NA,NA,0,2,2,2,2,2,2,2,2,4,4,4,8,20,38,40,80,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,5,30,4,18,NA,2,1,2,NA,2,8,4,4,12,40,44,88,285,2,2,2,2,2,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,NA,NA,10,25,3,8,2,2,NA,1,1,2,2,2,6,12,23,27,66,206,2,2,NA,1,NA,6,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
527,NA,NA,15,28,NA,10,2,NA,1,NA,1,NA,4,4,11,19,37,44,82,279,7,NA,NA,4,NA,8,6,2,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
668,NA,NA,20,28,4,11,4,1,1,NA,NA,NA,2,1,10,12,39,40,80,256,5,1,NA,2,NA,4,3,4,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
808,NA,NA,25,16,1,5,1,1,2,2,1,2,3,8,12,15,42,45,92,279,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,15,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
949,NA,NA,30,21,3,1,4,1,NA,1,NA,1,6,2,3,21,52,68,62,281,1,NA,NA,2,NA,8,10,9,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1090,NA,NA,35,8,12,NA,2,2,8,4,6,4,4,2,10,25,36,50,75,286,2,NA,NA,2,NA,4,14,NA,NA,NA,4,2,2,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
1230,NA,NA,40,12,6,NA,3,1,1,NA,1,1,3,5,4,16,37,40,90,266,3,1,1,1,NA,6,8,4,NA,NA,3,2,15,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1371,NA,NA,45,26,6,NA,9,NA,NA,NA,1,3,3,7,10,28,35,55,94,359,8,NA,5,3,1,6,26,4,1,NA,1,NA,17,4,1,4,NA,1,NA,NA,NA,NA,NA,NA
1511,NA,NA,50,25,17,NA,11,NA,NA,2,1,4,6,9,16,41,32,38,111,399,6,1,1,2,5,4,38,NA,NA,NA,NA,NA,17,6,NA,1,NA,5,NA,NA,NA,NA,NA,NA
1652,NA,NA,55,13,12,NA,8,1,NA,1,1,4,1,14,5,27,20,22,75,257,NA,NA,NA,4,1,2,24,NA,NA,NA,2,1,16,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1792,NA,NA,60,14,6,NA,7,1,1,1,NA,2,5,6,4,24,25,33,70,252,7,NA,NA,NA,NA,6,31,NA,NA,1,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,65,19,25,1,8,1,NA,NA,NA,1,3,3,1,25,20,37,68,246,4,NA,NA,1,NA,4,15,NA,1,1,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2073,NA,NA,70,40,64,NA,27,1,NA,NA,NA,2,5,5,1,46,15,20,130,442,4,NA,3,NA,3,4,58,NA,NA,NA,1,NA,5,6,NA,NA,NA,1,1,NA,NA,NA,NA,NA
2214,NA,NA,75,38,72,NA,38,2,1,4,3,1,15,8,3,56,37,40,172,627,1,1,3,1,3,2,75,NA,3,2,1,1,22,16,NA,4,NA,NA,NA,2,NA,NA,NA,NA
3100,NA,NA,80,20,60,NA,27,1,NA,NA,NA,NA,16,7,4,44,30,24,108,481,2,1,NA,4,1,2,76,6,2,NA,NA,NA,15,20,1,3,1,4,NA,2,NA,NA,NA,NA
3986,NA,NA,85,25,55,NA,20,1,NA,NA,NA,NA,11,2,1,32,33,27,92,394,1,NA,NA,2,1,NA,69,2,NA,NA,NA,NA,3,15,NA,1,NA,NA,NA,1,NA,NA,NA,NA
4873,NA,NA,90,30,36,NA,2,NA,NA,8,3,NA,9,2,1,43,20,35,80,300,NA,NA,NA,2,NA,NA,12,NA,NA,1,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
5054,NA,NA,95,58,49,NA,1,NA,NA,NA,6,NA,9,11,6,76,25,32,120,493,1,NA,NA,3,4,1,59,NA,1,NA,NA,NA,NA,23,NA,3,NA,NA,4,1,NA,NA,NA,NA
5235,NA,NA,100,45,38,NA,1,NA,2,6,3,NA,6,7,4,55,15,28,88,371,1,4,NA,1,2,NA,43,NA,1,NA,NA,NA,NA,17,1,1,NA,NA,2,NA,NA,NA,NA,NA
5416,NA,NA,105,30,27,NA,NA,2,2,NA,2,NA,7,4,NA,26,42,72,62,303,NA,4,NA,NA,6,NA,8,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,2,NA,1,NA,NA,NA
5597,NA,NA,110,16,28,NA,NA,NA,NA,6,2,NA,2,NA,NA,12,56,80,75,299,NA,2,4,NA,NA,NA,2,8,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
5778,NA,NA,115,24,22,NA,NA,NA,1,NA,1,NA,13,4,1,20,20,48,62,239,NA,NA,2,NA,7,NA,10,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA
5959,NA,NA,120,2,12,NA,1,1,1,NA,1,NA,1,NA,NA,3,47,55,72,206,NA,NA,1,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
6225,NA,NA,125,2,22,NA,2,NA,NA,1,NA,NA,4,NA,NA,4,81,80,100,320,NA,13,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
6490,NA,NA,130,6,6,NA,2,NA,NA,1,NA,NA,49,NA,NA,2,84,82,80,319,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
6755,NA,NA,135,4,4,NA,2,NA,NA,NA,NA,NA,50,NA,NA,2,44,46,50,212,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7021,NA,NA,140,12,10,NA,NA,NA,NA,NA,1,NA,71,NA,2,4,46,50,70,284,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA
7286,NA,NA,145,9,8,NA,2,NA,NA,2,1,NA,58,2,NA,2,40,48,40,242,NA,6,NA,NA,10,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
7551,NA,NA,150,8,2,NA,NA,NA,NA,2,1,NA,29,NA,NA,10,30,40,50,206,NA,6,NA,NA,8,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,6,2,8,NA
7817,NA,NA,155,6,2,NA,NA,NA,NA,1,1,NA,35,NA,NA,8,31,46,32,222,NA,4,NA,NA,12,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,30,NA,10,NA
8082,NA,NA,160,1,14,NA,1,NA,NA,NA,2,NA,140,NA,NA,35,9,11,35,389,NA,1,NA,NA,28,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,95,5,4,NA
8348,NA,NA,165,1,8,NA,1,NA,NA,NA,1,NA,50,NA,NA,20,10,10,28,216,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,6,60,NA,3,NA
8613,NA,NA,170,4,NA,NA,4,NA,NA,NA,NA,NA,60,NA,NA,18,15,18,16,226,NA,1,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,2,NA
8878,NA,NA,175,6,NA,NA,6,NA,NA,NA,NA,NA,73,NA,NA,21,17,26,25,276,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,10,2,NA
