Sample age (cal yr BP),Depth (cm) [cm],Acacia groupe I,Adansonia digitata,Aerva lanata,Afraegle paniculata,Alchornea,Allophylus africanus,Alternanthera,Amaranthaceae/Chenopodiaceae,Ambrosia maritima,Anacardiaceae,Anthostema senegalense,Antidesma venosum,Artemisia,Asystasia gangetica,Balanites,Boscia-type,Bridelia micrantha,Canthium-type,Cassia-type,Celtis integrifolia,Chrysobalanus/Parinari,Clerodendron,Clutia,Cocculus pendulus,Combretaceae,Commelina forskalaei,Commiphora africana,Crossopteryx-type,Cyperaceae,Detarium,Dialium guineense,Dichrostachys cinerea,Diospyros,Dodonaea viscosa,Elaeis guineensis,Ephedra,Erythrococca africana,Euphorbia,Euphorbia hirta,Euphorbiaceae,Ficus,Gramineae,Gynandropsis gynandra,Heteromorpha-type,Hewittia sublobata,Hibiscus-type,Hydrocharitaceae,Hydrocotyle,Indeterminables,Indetermines,Ipomaea-type,Ixora brachypoda-type,Jussiaea-type,Kohautia,Lannea/Sclerocarya,Laurembergia villosa,Leucas-type,Lophira alata,Lotus arabicus,Lygodium microphyllum,Macaranga,Maerua/Ritchiea,Maytenus senegalensis,Mitracarpus villosus,Mitragyna inermis,Monocotyledoneae,Moraceae,Musanga,Myrianthus serratus,Nymphaea lotus,Ormocarpum-type,Papilionoideae,Phoenix reclinata,Phyllanthus,Phyllanthus reticularus,Polycarpaea,Polycarpon prostratum,Polygala,Polygonum senegalense,Potamogeton,Pteridophytes (monolete),Resedaceae,Rhizophora,Ricinus communis,Rubiaceae,Salacia senegalensis,Salix,Salvadora persica,Sapium,Sapotaceae,Scrophulariaceae,Securinega virosa,Spermacoce radiata,Spermacoce-type,Syzygium,Tabernaemontana-type,Tacca,Tamarix senegalensis,Tapinanthus-type,Tetracera alnifolia,Tiliaceae,Tinospora bakis,Treculia africana,Trifolium-type,Tubuliflorae,Typha,Uapaca,Urticaceae,Vernonieae,Ximenia americana,Zanthoxylum zanthoxyloides,Zygophyllum
1208,9,,,2,,39,1,3,2,1,,1,1,,,1,,1,,1,,,,,,1,,,,606,,,,,,3,,,,,,9,155,,,,,,,1,1,,,,,,3,,1,,1,2,,,2,1,,,,,15,,1,3,2,,,,,,,156,,,,,,,,,,,,4,,26,,,,,,4,,1,1,6,61,1,,,1,2,
1485,19,,,8,,15,1,1,,,,1,,,,,,,,3,,,1,1,,2,,,,863,,,,,,,,,2,,,1,182,,,,,,,,1,,,,1,,3,1,,,1,4,,,5,2,,,,,14,,,,,1,,2,,1,,142,,,,,,,,,,,,1,,15,,,,1,1,1,,,,6,3,,,,,1,
2039,39,1,1,,,11,,,1,,,2,,,,,,,,,,,,,,2,,,,387,,,,,,2,,,,,,2,133,,,,,,,,1,,,,,2,3,,,,,1,,1,,,1,,,,,,,1,1,,1,,,,,891,,,,4,,,,,,,,4,,264,,,,,1,,,,,1,2,5,,,,1,
2593,59,,,1,,10,,1,,,,18,,,,,,1,,,1,1,,,,2,3,2,,118,,,,,,,,,1,,,,49,1,,,,,,,2,,1,1,,,1,,,1,5,2,,,15,1,1,,,,8,,,,2,,1,,1,,,574,,,,1,,,,,,,,6,,146,,,,,3,1,,2,,3,13,4,,,,1,
2979.462,79,,,2,,9,,,2,,,64,,,,,,,,,1,5,,,,2,,,1,260,2,,1,1,,6,,,,,,1,72,,,,,,,,3,1,1,,,2,10,,,,5,5,,,3,,54,,,,3,,,,6,,,,,,,91,,1,,3,,,,,,,,1,,238,,,,1,3,1,,,,3,2,8,,,,,
3310.079,99,,,,,3,,,,1,,7,,,,1,,,,,,,,,,2,2,,,91,,,,,,,,2,1,,,,65,,,,,,,,,,,,,,,,,,6,2,,,,,27,,,,2,,,5,2,,,,,,,259,,,,,,,,,,,,1,,26,,,,1,1,,,,,,3,2,,,,6,
3640.695,119,,,,,10,1,,3,,,37,1,,,,,,,,1,6,,,,,,,,5,,,,,1,1,,,,,,1,37,,,,,,,,2,,,1,1,2,,,,,23,1,,,6,,,,,,3,,,,2,,,,,,,860,,1,,1,1,,,,,,1,1,,154,2,1,,,1,1,,,,1,1,6,,,,1,
3971.312,139,,,,,65,,,,,,426,2,,,,,1,1,1,,2,,,,2,,,,33,7,,,,,9,,2,2,,,,40,,,,,,,,15,,1,,1,1,,,6,,77,123,,,2,2,,,,,25,,1,1,2,1,1,,,,,23,1,2,,1,,,,,,,1,1,1,23,,,,,12,1,,1,,,,69,,,,3,
4301.928,159,,,,,22,,,1,,,8,,,,,,1,1,,,7,,,,,1,,,68,,,,,,3,,,,,,,40,,,,,4,,,,,,,,2,,,1,,90,26,,,3,,1,,,,5,,,,,,,,,1,,398,,1,,1,,,,,,,,,,22,,,,,8,,,,,,19,5,,,,1,
4632.544,179,,,1,,6,,,,2,,8,,,,,,,,,,2,,,,1,,,,116,,,,,,2,,2,,,,1,59,,,,,,,3,2,,1,,3,1,,,1,,12,1,,,3,,,,,,13,,,,2,,,,,,,337,,3,,,,,,,,,,1,,36,,,,,,,,,1,,6,,,,,1,
4963.161,199,1,,,,6,,,,,,18,,,,,,,,1,,,,,,2,1,,,63,,1,,,,1,,2,,,,1,45,,,,,,,4,2,,,,1,,2,,,,14,9,,,1,,12,,,,3,,,,,,,,,,,72,,2,,1,,,,,,,,,,37,,,1,,,,,,,,1,3,,,,1,
