"age_NA","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Rumex","Sedum","Alnus glutinosa","Quercus ilex-type","Hypericum perforatum-type","Cytisus scoparius","Erica umbellata","Fraxinus angustifolia","Cichorioideae","Montia","Apiaceae","Erica australis","Secale","Hedwigia","Quercus robur-type","Poaceae (Cerealia)","Olea","Erica arborea-type","Pinus pinaster-type","Eudicotyledoneae undiff.","Pinus sylvestris-type","Poaceae","Lycopodium spike","Asteroideae","Plantago lanceolata-type","Rubiaceae","Castanea sativa","Anthemis-type","Betula pubescens","Corrigiola litoralis","Caryophyllaceae (porate)","Brassicaceae","Ranunculus-type","Calluna vulgaris","Halimium-type","Corylus avellana","Scleranthus","Sphagnum","Polypodiales (monolete)","Salix","Cyperaceae","Micranthes stellaris-type","Pentaglottis sempervirens","Epilobium","Potentilla-type","Filipendula","Lysimachia vulgaris-type","Silene dioica-type","Pteridium aquilinum","Echium","Amaranthaceae","Trifolium repens-type","Gnaphalium-type","Marchantiophyta","Cirsium","Plantago coronopus"
NA,NA,NA,15,"11329, 1","1","1","1","1","1","1","1","1","2","2","3","3","4","10","11","14","15","19","22","30","51","255","141","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,2.5,"11329, 1","","","1","","","","","","","","3","2","","","10","21","18","17","13","59","125","238","180","1","1","1","1","1","1","1","2","3","3","3","3","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,24,"11329, 1","12","1","","1","","","1","","","1","6","8","9","1","12","29","18","31","27","10","36","261","146","","","","1","2","1","","","","3","6","","1","1","1","1","3","","","","","","","","","","","","","","","",""
NA,NA,NA,10,"11329, 1","3","","3","","","2","","","1","2","8","2","1","","4","22","27","41","19","30","97","467","245","","2","","1","5","1","14","","","15","5","2","","","","1","","1","1","1","","","","","","","","","","","","",""
NA,NA,NA,5,"11329, 1","3","","","1","","","","1","2","1","","2","27","3","10","5","18","21","7","21","60","233","105","","1","1","","1","1","","","","4","","","","","","","2","2","","","1","1","1","1","1","1","","","","","","",""
NA,NA,NA,0,"11329, 1","7","","3","","","2","","3","1","","1","3","2","2","4","9","17","33","9","77","110","127","195","","1","","1","2","1","1","","","3","2","","","","1","1","1","","","","","","","","","","1","2","","","","",""
NA,NA,NA,26.5,"11329, 1","9","4","3","","","","","1","","3","12","10","8","1","16","48","9","44","9","45","17","495","121","","","","2","9","5","87","1","2","16","3","5","","","3","7","1","","3","","","","","","","","3","1","","","","",""
NA,NA,NA,32,"11329, 1","3","3","1","1","","","1","","","1","10","18","1","1","6","32","29","73","2","11","30","517","118","","1","","2","6","","27","2","1","14","1","5","","","7","1","","","1","","","","","","","1","1","1","","","","",""
NA,NA,NA,29,"11329, 1","4","1","2","","","","1","","1","","6","15","30","14","28","65","23","53","13","26","31","238","61","","2","1","","1","1","","5","2","3","13","5","","","1","2","2","","1","","","","","","","7","","","1","1","1","2","3"
