Sample Age (cal BP) [undefined],diatoms,microforamaminifera,dinoflagellate cysts,LYCOPODIUM tablet,tintinids,Depth (cm) [cm],Cyperaceae,Heliotropium,Gramineae,Malvaceae,Salvadora persica,Typha,Chenop/Amar/Caryo,Maerua (R3cp 6),Ephedra,Cassia (P3cp 5-6-1),Indigofera,Ziziphus? (R3cp 2),Tamarix,Fagonia,Tribulus ,cf. Canthium (R3p 2),Combretaceae,Cucurbitaceae,Euclea (P3cp 10),Mangifera indica (P3cp 2),Mallotus (P3cp 7),Phyllanthus cf. niruri (R3cp 11),Podocarpus,cf. Meliaceae (P3cp 15),Bosqueia,Cocos,Ocimum cf. basilicum (R3c 7),cf. Adenium (P3p 1),Bignoniaceae? (R3c 6),Compositae (tub),Compositae (lig),Euphorbiaceae (Croton type),cf. Cocculus (P3cp 17),Polygonaceae (P. glabrum type),R3c 5,R3cp 7,P3cp 4,R3cp 8,P3c 2,P3c 3,R3cp 9,R3c 8,P3cp 8,R3cp 10,P3cp 9,R3cp 12,Psilamonocolpites,Echimonocolpites 2,Retimonocolpites 4,Retimonocolpites 3,Pteridophytes,Cyatheaceae (P3letes 2),cf. Hymenophyllaceae (Echi-Bacutriletes),Pteridaceae (P3letes 1),cf. Adiantum (Verrutriletes 2),cf. Adiantum (V3letes 1),Schizaceae (Anemia type),Psilamonoletes,Retitriletes,Indet pollen,Indet spore
,,22,,241,1,3,13,1,6,,,80,3133,1,,1,,,1,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,1,,,,,7,11,1,,1,,,1,1
,4,27,,139,4,12.5,15,,14,,,55,366,,,,,,4,,,,,,,,,,,,,2,,,1,1,1,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,98,24,,69,2,22.5,15,1,22,,,155,501,,,,,,1,,,1,,,,,,,1,,,2,,,12,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,4,
,6,19,1,42,2,30,12,,32,,,37,506,,1,1,,1,4,,,,3,,,,,,,,,14,1,1,2,,,,,,2,,,,1,,,,,,,,,1,,,,,,,,,,,,5,
,10,13,1,45,6,40,28,1,45,,,29,248,,,1,,,1,,,,1,,,,,,,,,13,,,6,1,1,,,,3,,,2,,1,,,,,,,,1,,,,1,,,,,,,,4,
,113,18,,50,1,50,57,,37,,,28,190,,,,,,1,1,,,2,,,,1,,,,,23,,,1,,,,,,,,,,,,2,1,,,,,,1,,,,,,,,1,,,,4,
,200,14,,62,3,57,89,,43,,,29,143,,,2,1,,1,,,,1,1,,,,,,,,9,,,,,1,,,,,,,,1,,,,1,1,,,,1,2,,,,,,,,,,,1,1
,58,26,,61,,67,100,,34,,,23,183,1,,,,,2,,,,2,,,,1,1,,,,16,,,1,,,,,,,1,,,,,,,,,1,,,2,,,,,,1,,,,,,3,
,8,30,,342,2,135,19,,106,1,,91,74,1,,,,1,,,,,,,1,1,,,,,2,,,,,,1,3,1,4,,,,,,,,,,,,,,1,,1,,,,1,,,,,,1,
,3,3,,45,2,175,39,,33,,1,161,50,,,,,,,,,,6,,1,,,,,,5,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,3,,1,
2225,3,,,199,18,215,13,,33,,,264,49,,,,,,,,1,,3,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1468,9,8,1,106,2,225,66,,47,,3,56,130,1,,,,,2,,,,2,,,,,,,2,,,,,,,2,,,3,,1,,,,1,,,,,,,5,,,1,,,,,,,,6,,1,1
