"age_NA","ageolder_BP","ageyounger_BP","depth","Alnus","Juglans","Unknown (trilete)","Polygonum aviculare-type","Asteroideae","Dryopteris-type","Isoëtes","Poaceae","Ophioglossum","Polypodium","Fagus","Sparganium-type","Tilia","Populus","Quercus cerris-type","Carthamus","Lycopodium","Ulmus","Carpinus betulus","Pinus","Amaranthaceae","Pteridium","Plantago lanceolata-type","Anthoceros laevis-type","Centaurea","Sphagnum","Salvinia","Abies","Matricaria-type","Cichorioideae","Cyperaceae","Azolla","Salix","Vitis","Rumex acetosa-type","Humulus/Cannabis","Plantago major-type","Artemisia vulgaris-type","Ranunculus repens-type","Datisca","Poterium sanguisorba","Ostrya/Carpinus orientalis","Platanus","Artemisia herba-alba-type","Juniperus","Corylus","Nymphaea","Fraxinus excelsior","Betula","Euphorbia","Geranium","Typha latifolia","Bunium-type","Osmunda regalis","Marsilea","Centaurea solstitialis-type","Anagallis","Lythrum","Olea","Hedera","Cornus mas","Unknown","Ericaceae","Cladium mariscus","Butomus umbellatus","Onopordum-type","Scorzonera-type","Cheilanthes","Senecio-type","Filago-type","Cirsium/Gundelia","Unknown (monolete)","Caryophyllaceae","Apiaceae","Liliaceae","Poaceae (Cerealia-type)","Brassica-type","Quercus coccifera-type","Malus-type","Fabaceae","Rosaceae","Potamogeton","Plantago coronopus-type","Thymus/Mentha","Hippocrepis-type","Polygonum cognatum-type","Pistacia","Bupleurum-type","Capsella-type","Phillyrea angustifolia","Heliotropium-type","Plantago tenuiflora-type","Galium-type","Alisma","Linum","Convolvulus","Fraxinus ornus","Plantago maritima-type","Trifolium-type","Bidens-type","Castanea","Scrophularia/Verbascum","Helianthemum","Myriophyllum spicatum/M. verticillatum","Gentiana","Cistus","Sideritis","Plantago media-type","Knautia","Plantaginaceae","Picea","Acer","Vicia-type","Mercurialis annua","Arceuthobium oxycedri","Geum-type","Rubus","Salvia","Noaea-type","Bellis-type","Juniperus sabina","Urtica pilulifera-type","Inula","Xanthium","Thalictrum","Filipendula","Daphne","Rhinanthus-type","Heracleum-type","Turgenia-type","Lilium","Buxus","Teucrium","Hydrocharis","Lathyrus-type","Veronica","Hypericum perforatum-type","Echium-type","Sambucus ebulus","Verbascum-type","Equisetum","Selaginella","Osmanthus","Ranunculaceae","Verbena","Hedysarum/Ebenus","Nuphar","Rhododendron","Taxus","Rumex hydrolapathum","Scrophulariaceae","Lamiaceae","Urtica dioica-type","Eryngium-type","Ephedra fragilis-type","Spiraea","Alchemilla","Delphinium-type","Anthriscus-type","Centaurea jacea-type","Antirrhinum/Linaria","Lemna","Astragalus-type","Spergularia-type","Asparagus-type","Vitex agnus-castus","Ferula-type","Potentilla-type","Paliurus","Rosa-type","Rhamnaceae","Ranunculus sceleratus-type","Prunus-type","Apium-type","Viburnum-type"
NA,NA,NA,520,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,460,NA,NA,NA,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,504,1,1,NA,NA,NA,2,NA,2,1,NA,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,440,NA,NA,1,1,NA,3,42,3,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,400,4,NA,NA,NA,1,52,65,3,10,NA,NA,1,1,NA,2,NA,NA,NA,1,14,NA,8,1,3,NA,1,1,2,3,6,14,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,114,NA,NA,NA,NA,31,NA,19,NA,NA,21,4,NA,4,129,NA,NA,16,61,50,4,3,3,NA,NA,NA,NA,1,NA,NA,9,NA,1,1,1,1,1,1,1,1,1,2,3,3,4,5,11,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,420,2,NA,2,NA,NA,68,219,16,12,4,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,4,5,30,2,NA,NA,NA,2,11,5,24,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,50,59,1,NA,NA,NA,414,NA,8,NA,1,44,29,NA,NA,160,NA,NA,27,149,51,2,NA,NA,NA,NA,NA,NA,1,NA,NA,97,2,1,1,NA,NA,1,1,NA,NA,NA,NA,6,2,4,2,NA,26,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,410,2,NA,2,NA,NA,219,375,12,46,7,NA,4,1,NA,4,NA,NA,NA,4,60,NA,60,6,20,NA,NA,NA,2,2,226,157,809,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,100,86,2,NA,NA,NA,13,NA,14,NA,4,29,11,2,2,231,NA,NA,24,105,60,4,2,NA,NA,NA,NA,NA,2,NA,NA,4,NA,7,2,NA,NA,NA,NA,1,NA,NA,1,2,1,6,8,2,50,NA,NA,NA,NA,1,NA,NA,NA,NA,4,1,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
