"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Caryophyllaceae","Geranium","Polygonum aviculare-type","Scrophulariaceae","Ulmus","Lythrum","Brassicaceae","Rosaceae","Plantago major-type","Persicaria maculosa","Plumbaginaceae","Carpinus betulus","Poaceae (Cerealia-type) undiff.","Centaurea solstitialis-type","Cercis siliquastrum","Serratula-type","Theligonum cynocrambe","Cistus albidus-type","Sarcopoterium/Sanguisorba minor","Polypodiophyta","Trilete (verrucate)","Artemisia","Platanus","Juglans","Rhamnus","Corylus","Xanthium","Alnus","Ranunculus acris-type","Mercurialis","Sparganium-type","Olea","Ranunculaceae","Senecio-type","Ostrya/Carpinus orientalis","Varia","Pistacia","Salix","Abies","Erica","Anemone-type","Cyperaceae","Cichorioideae","Amaranthaceae","Pinus","Phillyrea","Quercus ilex/Q. coccifera-type","Asteroideae","Quercus ithaburensis-type","Poaceae","Lycopodium spike","Betula","Vitis","Liliaceae","Fabaceae","Rumex acetosa-type","Typha","Aconitum","Solanum","Centaurea cyanus","Dipsacoideae","Hordeum-type","Cistus salviifolius","Plantago lagopus-type","Fagus","Lonicera","Malvaceae","Asphodelus","Cistus monspeliensis","Phaeoceros","Quercus cerris-type","Fraxinus ornus","Plantago lanceolata-type","Pteridium","Polypodium","Apiaceae","Viola","Euphorbiaceae","Rubiaceae","Juniperus","Ephedra distachya","Ephedra fragilis","Arbutus","Secale","Gypsophila","Lamiaceae","Trifolium-type","Scleranthus","Avena-type","Triticum-type","Plantago coronopus-type","Fraxinus excelsior","Cotinus coggygria","Potamogeton","Gentianaceae","Sambucus","Picea","Salvia","Genista-type","Tilia","Linum catharticum-type","Cornus-type","Elaeagnus","Populus","Vicia-type","Filipendula","Hedera","Campanulaceae","Plantago","Knautia","Myrtus","Pediastrum simplex","Urtica","Loranthus","Nigella","Acer","Thymelaeaceae","Sorbus-type","Pediastrum duplex","Humulus-type","Panicum","Centaurea scabiosa","Primulaceae","Helianthemum","Valeriana","Rhinanthus-type","Staphylea","Viburnum","Cladium mariscus","Myriophyllum spicatum-type","Asphodelus luteus","Convolvulus arvensis","Heliotropium-type","Taxus","Jasminum","Stachys-type","Scabiosa","Botrychium","Succisa","Delphinium","Fallopia convolvulus","Armeria","Myriophyllum","Epilobium","Alchemilla-type","Thalictrum","Centaurea","Alchemilla","Pseudopediastrum boryanum","Onobrychis","Cistaceae","Papaveraceae","Micranthes stellaris","Ligustrum","Ilex"
-28,NA,NA,3,"1.8","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","3","3","3","3","3","4","4","6","6","9","9","10","15","17","17","22","25","26","28","32.5","75","81","86","152","194","1470, 21358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,NA,NA,10,"2.2","15","5","5","","","","","4","5","","","","2","7","","","","3","","7","14","2","","","","1","3","1","1","1","8","5","4","3","14","6","25","1","15","20","27","13","108","15","7.5","43","78","39","256","227","2310, 21358","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","3","5","7","7","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
28,NA,NA,18,"2.9","6","1","16","1","","","6","5","","","","","2","5","","","1","3","1","5","4","13","5","","","1","","1","1","2","10","18","","2","2","12","12","","21","28","32","74","26","13","16.5","36","59","12","270","40","1218, 21358","","1","","","","","","","","","1","","","","","","1","","2","","1","3","2","2","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
58,NA,NA,26,"1.4","8","1","1","6","1","3","4","1","1","","","","5","6","","3","1","1","2","2","","12","6","1","","3","","1","29","4","71","14","1","5","8","10","42","","14","24","93","562","9","4","8.5","34","37","9","297","87","1106, 21358","","1","","","","","","","","","1","","1","1","","","","","","1","1","2","4","1","1","1","1","2","1","","1","","1","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
88,NA,NA,34,"2.4","67","1","3","2","5","3","2","","5","","","","1","3","","","","","3","","","14","1","1","","3","","4","19","2","161","4","8","3","7","23","14","","37","19","94","790","12","13","10.5","39","16","17","284","32","2579, 21358","1","5","1","1","","1","1","","","","1","","1","2","","","1","","","","","1","7","1","","","1","2","1","","1","","1","","58","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
119,NA,NA,42,"1.8","11","","9","1","6","","","1","","","","1","5","","","","","2","","2","","4","1","","","2","","3","4","","114","2","4","5","17","4","16","","12","18","42","31","12","3","5.5","19","25","12","345","34","1650, 21358","","3","","","","1","1","","","","2","","","","","","1","","","1","1","","3","","","","","","","","","","","","4","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
161,NA,NA,50,"1.8","6","","6","1","8","2","","","2","","","1","5","","","","1","","","18","2","5","","","","8","","4","3","","112","4","2","1","27","14","17","","6","25","8","21","32","4","9","20","27","12","292","54","1430, 21358","","9","","1","","","","1","","","1","","","1","1","","1","","1","","2","2","5","3","","","","2","","","","","","","4","","","","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
214,NA,NA,58,"2, 1.8","5, 4","","2","1","3, 7","4, 2","2, 1","36","1, 1","","","3","1, 2","2, 1","","","","1","","2","","12, 16","2, 6","1","","1","","1, 5","2","1, 3","30, 50","1, 4","","2, 1","9, 25","2, 10","19, 63","1","2","15, 27","9, 6","11, 55","4, 5","3, 10","5, 7","6, 9","28, 19","2, 6","258, 303","34, 108","437, 10679, 1310, 21358","1","2, 5","","","1","","","","","","3","","","2, 2","","","","","","","1, 3","1, 3","1, 5","","","","1, 1","1","1, 2","","","","","","1, 1","","","","","","2","1","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
268,NA,NA,66,"1.7","7","","4","","4","6","","1","1","","","","2","1","","","","1","1","","","13","14","2","","3","","3","2","2","47","1","4","","20","5","49","1","3","15","5","8","","9","3.5","15","44","3","306","74","369, 10679","4","2","","1","1","","","","","","","","","2","","1","","","","","7","6","","","1","","","1","","","","","","","1","","","","1","","2","1","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
322,NA,NA,74,"1.4","2","2","11","4","12","7","4","4","3","","","1","1","2","","","","","1","1","1","11","3","2","","1","1","12","2","5","75","3","3","3","30","4","41","","","19","18","66","6","10","7.5","11","30","9","302","52","1006, 10679","","7","","","","","","","","","3","","1","1","","","","","","1","4","2","4","","","","","4","","","1","","2","","5","","","1","","","2","1","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
376,NA,NA,82,"1.3","4","2","7","3","1","31","4","","3","1","","2","3","3","","","1","","1","3","","14","4","1","1","8","","4","2","3","88","2","2","3","16","1","41","","","17","10","210","13","12","7","9","31","11","314","74","684, 10679","3","2","1","","","","","","","","1","","1","2","","1","","","","3","3","1","9","1","2","","","2","","","","","1","","8","1","","","1","","2","","","","","1","","1","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
430,NA,NA,90,"1.7","8","2","2","","13","62","1","3","3","","","1","3","6","","","1","","1","6","2","15","2","","","1","","3","1","6","61","2","1","1","10","5","18","1","2","18","4","34","22","11","4.5","11","19","9","380","153","357, 10679","","4","2","","1","","","","","","","","","1","","","","","","","2","","6","","2","","","2","1","","1","","","","6","","","","","","","1","","","","","","","","","","","","","","","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
484,NA,NA,98,"1.5","10","","","1","5","27","5","1","2","","","","3","6","","","1","","1","8","1","6","2","","","1","1","3","","1","46","2","1","3","2","6","8","","","9","1","78","44","4","11.5","6","16","18","204","72","1449, 10679","","3","","","","1","","","","","1","","","1","","","2","","","","2","2","17","1","1","","","2","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
538,NA,NA,106,"1.6","6","","2","","14","92","4","1","","","","2","4","3","","","1","","","1","","6","2","","1","","","1","","","82","3","1","9","10","3","19","","1","13","","58","8","11","3","8","22","8","373","58","258, 10679","","5","1","","1","1","","","","","1","","","5","","","","","","","1","2","3","3","1","","","2","","","1","","1","","4","","","2","","","","","","","1","","","","","","","","","","","7","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
592,NA,NA,114,"1.6","11","","1","","3","14","3","","","","","2","4","4","","1","","","","2","","5","","","","3","","1","1","","40","","1","2","5","1","5","","7","11","3","34","15","4","9.5","2","10","7","225","77","1244, 10679","","1","","","","11","","","","","","","","1","","","2","","","","","","12","12","","","","1","","","","","","","2","","","","","","1","","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
632,NA,NA,120,"1.8","3","","3","","14","74","2","4","3","","","2","1","1","","1","1","","","6","1","9","4","3","3","4","1","9","3","2","163","","5","2","13","8","19","","1","12","6","120","10","5","7","16","24","5","325","193","269, 10679","1","3","","","2","","","","","","1","","","1","","1","3","","","","3","1","7","","2","","","6","","","","1","2","1","5","","","","","","7","1","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
646,NA,NA,122,"1.5","1","","","","1","3","1","","","","","","3","","","","","","","","","4","","","","1","","1","","","1","","","2","3","","","","1","8","1","5","2","2","2.5","3","11","","174","7","565, 10679","2","","","","","1","","","","","","","","1","","","","","","","","","2","","1","","","1","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
686,NA,NA,128,"1.7","9","","1","2","18","66","6","3","2","","","2","4","","","","1","","","2","","14","6","1","3","5","1","7","2","1","141","","5","5","25","9","13","","1","17","13","45","14","6","7","16","16","3","329","199","506, 21358","","7","","2","2","","1","","","","1","","","2","","","1","","","1","3","5","7","","1","","","6","","","1","","2","","4","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
740,NA,NA,136,"1.9","7","","1","","9","37","3","1","2","","","2","4","2","","","2","2","3","7","","6","2","1","1","2","","9","1","1","83","1","1","1","18","9","21","","","14","9","64","13","6","4","18","15","3","357","199","456, 10679","","3","","","1","","","","","","","","","1","1","","1","","","","1","4","12","","","","","6","","","","","","","2","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
794,NA,NA,144,"2","1","","1","","3","9","","","","","","","2","5","","","","","","","1","1","","","","1","","","","","22","1","","1","6","7","5","","1","8","4","35","22","6","6","1","3","2","88","51","1030, 21358","1","3","","","","1","","","","","","","","1","2","","1","","1","","","","2","","","","","1","","","","","","","2","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
845,NA,NA,152,"1.7","2","","1","","1","1","1","","","","","","","2","","","","","","","","","","","","1","","","","","18","","1","","","","","","","","","11","3","","0.5","","","1","31","6","313, 10679","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
893,NA,NA,160,"1.8","8","","","1","5","6","3","","2","","","3","3","5","","","1","","","1","","8","","","","4","","1","1","","84","","1","3","10","10","5","","8","14","","27","7","9","11.5","12","11","5","381","80","651, 10679","","","","1","2","3","","","","","3","","","2","","","","","","","","","8","8","2","","","2","1","","1","","1","","5","","","","","","","","","","","","","","1","","","","","","","5","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
940,NA,NA,168,"2.4","","","","","6","6","1","","1","","","","3","","","","","1","1","","","4","1","1","","","","1","","","1","","","","2","7","1","","1","15","","13","1","2","2.5","2","15","","263","9","564, 21358","","1","","","1","2","","","","","2","","","","1","","","","","","","1","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
987,NA,NA,176,"1.5","3","","","3","","2","","2","","","","1","","3","","","","1","1","2","","8","","1","","4","","5","","","7","","","","","5","2","","10","77","","43","5","6","10.5","1","18","6","289","23","2449, 10679","1","1","","","","","","","","","2","","","","","1","","","","","","","1","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1035,NA,NA,184,"2.8","16","","2","1","10","291","2","1","3","","","2","6","2","","","","","2","1","2","14","1","","","3","7","5","3","1","226","4","2","4","18","23","11","1","1","12","35","91","14","6","6","20","20","6","357","438","394, 10679","1","1","","1","1","","","","","","","","","3","1","","3","","","1","1","2","3","","1","","","","","","","","1","","2","1","","","","","1","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
