"age_NA","ageolder_BP","ageyounger_BP","depth","Castanea","Dipsacus-type","Pteridium","Caryophyllaceae","Cyperaceae","Apiaceae","Artemisia herba-alba-type","Amaranthaceae","Carduus-type","Centaurea solstitialis-type","Asteroideae","Unknown","Pinus","Cichorioideae","Delphinium-type","Ranunculus sceleratus-type","Ranunculus sect. Batrachium-type","Poaceae","Quercus cerris-type","Sparganium-type","Fagus","Alnus","Juniperus","Carpinus betulus","Cirsium/Gundelia","Sideritis","Poterium sanguisorba","Polygonum aviculare-type","Dryopteris-type","Cyclamen","Ophioglossum","Abies","Nuphar","Taxus","Cedrus","Matricaria-type","Typha latifolia","Juglans","Malva","Spergularia-type","Ranunculus asiaticus-type","Cheilanthes","Ranunculaceae","Fabaceae","Galium-type","Hibiscus","Thymus/Mentha","Carthamus","Equisetum","Ranunculus repens-type","Senecio-type","Pterocarya","Mercurialis annua","Corylus","Xanthium","Trifolium-type","Knautia","Urtica dioica-type","Euphorbia","Betula","Plantago lanceolata-type","Apium-type","Ulmus","Daphne","Poaceae (Cerealia-type)","Rumex acetosa-type","Brassica-type","Calluna-type","Botrychium","Centaurea cyanus-type","Artemisia vulgaris-type","Circaea","Valerianella","Bunium-type","Punica granatum","Spinacia-type","Vitis","Menyanthes trifoliata","Capsella-type","Ostrya/Carpinus orientalis","Filago-type","Lomelosia rotata-type","Lotus-type","Cistus","Ephedra distachya-type","Convolvulus","Nymphaea","Brassicaceae","Cuscuta","Rosaceae","Humulus/Cannabis","Ephedra fragilis-type","Datisca cannabina","Osmunda regalis","Potentilla-type","Rhinanthus-type","Anthriscus-type","Unknown (trilete)","Picea","Tilia","Erodium","Anchusa/Pulmonaria","Hippophaë","Geranium","Centaurea scabiosa-type","Aristolochia","Alisma","Teucrium","Plantago media-type","Centaurea jacea-type","Sphagnum","Salix","Rhynchospora-type","Linum","Onopordum-type","Acanthus","Polypodium","Plantaginaceae","Arctium/Jurinea","Polygonum cognatum-type","Turgenia-type","Bupleurum-type","Scabiosa columbaria-type","Bidens-type","Vicia-type","Aesculus","Thalictrum","Armeria/Limonium","Salvinia","Acer","Eryngium-type","Quercus coccifera-type","Ranunculus peltatus-type","Quercus ilex-type","Anthoceros laevis-type","Pseudopediastrum boryanum","Prunus-type","Zea mays","Rumex hydrolapathum","Viburnum-type","Anthyllis-type","Scilla-type","Pterocephalus-type","Ericaceae","Platanus","Juniperus sabina","Helianthemum","Olea","Sambucus nigra-type","Ligustrum","Ranunculus arvensis-type","Heracleum-type","Prunella-type","Malcolmia","Persicaria maculosa-type","Populus","Clematis-type","Euonymus","Hypericum perforatum-type","Plantago coronopus-type","Rhamnus","Veronica","Cousinia","Malabaila","Theligonum","Cryptogramma crispa","Crupina","Fagopyrum","Pistacia","Stachys-type","Centaurea","Pteris","Plantago maritima-type","Adonis","Myriophyllum spicatum/M. verticillatum","Echinops","Hedera","Plantago tenuiflora-type","Campanula-type","Lupinus","Androsace","Zygophyllum","Elaeagnus","Lysimachia","Tamarix","Fumaria","Crataegus-type","Onobrychis-type","Scorzonera-type"
NA,NA,NA,640,1,1,1,2,2,2,2,3,3,7,11,15,44,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,580,NA,NA,NA,2,48,1,3,3,NA,4,4,22,251,278,1,1,1,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,265,1,NA,14,NA,1,1,1,NA,NA,4,NA,NA,112,NA,NA,NA,NA,2,3,NA,1,1,1,1,1,1,1,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,720,NA,NA,1,NA,44,4,3,5,1,2,3,8,65,50,NA,2,NA,11,NA,2,NA,NA,2,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,680,1,1,1,2,13,2,6,5,NA,1,NA,1,150,19,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,30,NA,NA,1,9,76,2,3,3,NA,2,11,19,218,61,NA,NA,4,18,1,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,700,NA,NA,NA,3,16,NA,22,27,NA,7,12,NA,60,31,NA,NA,NA,4,NA,8,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,235,1,NA,4,1,10,NA,2,2,NA,7,6,NA,426,NA,NA,NA,NA,2,NA,4,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,8,1,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,200,NA,NA,3,NA,8,NA,2,NA,NA,4,1,1,1058,6,NA,NA,NA,3,NA,NA,1,NA,NA,NA,3,NA,NA,2,2,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,500,NA,NA,1,4,68,NA,6,3,4,4,14,10,112,88,NA,NA,NA,33,NA,3,NA,1,2,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
