Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acalypha,Acanthaceae,Aerva-type,Afraegle,Alchornea,Allophyllus,Amaranthaceae/Chenopodiaceae,Ampelidaceae undiff.,Annonaceae,Antidesma,Apiaceae,Apocynaceae,Artemisia,Asteraceae (Asteroideae),Asteraceae (Lactuceae),Balanites,Betula,Bombax,Borassus/Hyphaene,Borreria,Brassicaceae,Caesalpiniaceae undiff.,Capparidaceae undiff.,Capparis,Cassia,Celtis,Chrozophora,Cissampelos cf. mucronata,Clematis,Combretaceae,Commelinaceae,Commiphora,Corylus,Cucurbitaceae,Cyperaceae,Detarium,Diospyros,Elaeis guineenis,Ephedra,Ericaceae,Euphorbiaceae undiff.,Fabaceae undiff.,Ficus,Grewia,Heliotropium,Hymenocardia,Indeterminate,Indigofera,Ipomoea,Irvingiaceae,Khaya,Kohautia,Lamiaceae,Lannea/Sclerocarya,Laurembergia,Liliaceae,Lythraceae,Macaranga,Malvaceae,Menispermaceae undiff.,Mimosa pigra,Mitracarpus scaber,Mitragyna,Monoletes,Moraceae undiff.,Morelia senegalensis,Nymphaeaceae,Olea,Phoenix,Phyllanthus cf. reticulatus,Phyllanthus undiff.,Piliostigma,Pinus,Poaceae,Podocarpus,Polycarpaea,Polygonum cf. senegalense,Portulaceae,Potamogeton,Quercus,Rubiaceae undiff.,Salvadora,Sapindaceae,Securinega virosa,Sesbania,Solanum,Syzygium,Triletes,Typha,Uapaca,Unknown,Urticaceae,Utricularia,Vernonia,Vitex,Ximenia americana,Ziziphus
70,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0
94,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0
119,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0
127,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0
135,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,1,0,0,0,0,66,0,0,0,0,0,0,0,0
160,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,1,0,0,0,0,0,2,0,0,0,0,0,0,63,0,0,0,0,0,0,0,1
176,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,178,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0
201,17,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0
217,19,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,168,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,1,0,1,0,0,0,0,81,0,0,0,0,0,0,0,0
242,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,163,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82,0,0,0,0,0,0,0,0
