"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Cichorioideae","Platanus","Salix","Apiaceae","Vitis","Lythrum","Lemna","Potamogeton","Butomus umbellatus","Rumex acetosa-type","Olea","Symphytum-type","Centaurea solstitialis-type","Fraxinus ornus","Matricaria-type","Cladium mariscus","Onobrychis-type","Rubus fruticosus","Thelypteris palustris","Castanea","Juglans","Plantago lanceolata-type","Brassica-type","Pteridium","Alnus","Plantago maritima-type","Ranunculus sect. Batrachium-type","Pseudopediastrum boryanum","Fagus","Asteroideae","Capsella-type","Artemisia herba-alba-type","Ostrya/Carpinus orientalis","Polygonum aviculare-type","Galium-type","Poaceae (Cerealia-type)","Dryopteris-type","Unknown","Quercus robur-type","Pinus","Typha latifolia","Sparganium-type","Amaranthaceae","Poaceae","Cyperaceae","Pediastrum duplex","Caryophyllaceae","Ulmus","Juniperus","Rhinanthus-type","Artemisia vulgaris-type","Myriophyllum spicatum/M. verticillatum","Ophioglossum","Alisma","Pseudopediastrum kawraiskyi","Betula","Ericaceae","Sambucus","Carpinus betulus","Filipendula","Melampyrum","Teucrium","Fraxinus excelsior","Paliurus","Ranunculus sceleratus-type","Fabaceae","Ranunculaceae","Clematis-type","Solanum dulcamara","Thalictrum","Tilia","Malva","Humulus/Cannabis","Phillyrea","Corylus","Urtica","Thymus/Mentha","Plantago undiff.","Nymphaea","Pistacia","Ephedra fragilis-type","Hypericum perforatum-type","Ranunculus repens-type","Utricularia","Calystegia","Sanguisorba-type","Picea","Quercus ilex-type","Acer","Lotus-type","Loranthus","Onosma-type","Rosaceae","Trifolium-type","Bupleurum-type","Senecio-type","Potentilla-type","Astragalus-type","Hedera","Viburnum-type","Scrophularia/Verbascum","Rumex hydrolapathum","Helianthemum","Isoëtes","Campanula-type","Helleborus","Xanthium","Viscum","Plantago media-type","Plantago coronopus-type","Populus","Cotinus coggygria","Centaurea","Cistaceae","Valeriana","Centaurea scabiosa-type","Epilobium","Equisetum","Boraginaceae","Persicaria maculosa-type","Calligonum","Hippophaë","Menyanthes trifoliata","Liliaceae","Frangula","Centaurea cyanus-type","Euphorbia","Plumbaginaceae","Ephedra distachya-type","Myriophyllum alterniflorum","Valerianella","Betulaceae","Pediastrum undiff.","Sagittaria"
3065,3259,2914,261,11,1,NA,1,8,NA,1,3,NA,NA,10,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,1,28,4,3,NA,NA,302,12,NA,4,NA,31,3,3,2,2,7,163,139,NA,16,22,320,29,NA,NA,6,8,NA,4,NA,NA,1,NA,NA,3,NA,5,NA,NA,NA,4,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,3,NA,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3653,3900,3477,270,10,1,NA,NA,52,1,NA,1,NA,NA,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,121,1,10,NA,2,234,10,NA,41,4,16,13,1,NA,NA,18,217,137,2,64,38,417,31,NA,NA,5,3,NA,NA,1,1,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4242,4538,4036,279,15,NA,NA,1,1,NA,3,NA,NA,NA,1,1,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,23,1,6,NA,11,120,7,1,4,NA,14,5,1,NA,2,27,148,189,1,422,12,67,332,NA,NA,6,9,NA,1,64,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4687,4984,4483,290,22,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,25,1,6,NA,5,115,1,1,3,1,6,2,NA,NA,5,20,102,211,26,55,11,220,108,NA,NA,4,3,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5033,5299,4847,302,25,1,NA,5,2,NA,1,NA,NA,NA,3,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,4,160,5,70,NA,NA,90,2,3,55,3,82,5,NA,NA,30,21,471,453,4,48,24,615,134,NA,NA,18,10,NA,NA,NA,NA,NA,NA,NA,1,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,10,3,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5263,5510,5088,310,28,2,NA,15,5,1,2,NA,NA,NA,1,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,2,61,3,25,NA,1,188,1,1,6,3,84,NA,1,3,3,17,286,329,2,132,10,115,82,NA,NA,8,4,NA,2,1,NA,NA,NA,NA,2,NA,14,4,NA,NA,NA,NA,NA,NA,1,NA,NA,2,3,NA,NA,1,19,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5465,5694,5300,317,38,3,NA,5,1,1,2,2,NA,NA,2,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,4,91,3,30,NA,3,368,2,1,2,3,61,8,1,1,14,20,317,479,46,152,18,120,100,13,NA,15,13,NA,1,NA,NA,NA,NA,2,1,NA,18,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,25,5,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5839,6005,5693,330,62,1,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,21,NA,2,NA,3,44,NA,3,7,5,3,6,1,NA,906,15,94,364,2,9,9,201,22,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6070,6208,5933,338,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,NA,NA,9,NA,NA,NA,1,NA,3,1,1,80,NA,20,106,NA,6,1,32,18,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6415,6543,6287,350,2,1,NA,NA,32,1,NA,1,1,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,27,NA,18,NA,6,56,NA,7,NA,5,5,1,10,NA,14,8,126,57,3,271,16,600,63,1,NA,19,1,NA,3,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,2,3,NA,34,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
