"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Cichorioideae","Platanus","Salix","Apiaceae","Vitis","Lythrum","Lemna","Potamogeton","Butomus umbellatus","Rumex acetosa-type","Olea","Symphytum-type","Centaurea solstitialis-type","Fraxinus ornus","Matricaria-type","Cladium mariscus","Onobrychis-type","Rubus fruticosus","Thelypteris palustris","Castanea","Juglans","Plantago lanceolata-type","Brassica-type","Pteridium","Alnus","Plantago maritima-type","Ranunculus sect. Batrachium-type","Pseudopediastrum boryanum","Fagus","Asteroideae","Capsella-type","Artemisia herba-alba-type","Ostrya/Carpinus orientalis","Polygonum aviculare-type","Galium-type","Poaceae (Cerealia-type)","Dryopteris-type","Unknown","Quercus robur-type","Pinus","Typha latifolia","Sparganium-type","Amaranthaceae","Poaceae","Cyperaceae","Pediastrum duplex","Caryophyllaceae","Ulmus","Juniperus","Rhinanthus-type","Artemisia vulgaris-type","Myriophyllum spicatum/M. verticillatum","Ophioglossum","Alisma","Pseudopediastrum kawraiskyi","Betula","Ericaceae","Sambucus","Carpinus betulus","Filipendula","Melampyrum","Teucrium","Fraxinus excelsior","Paliurus","Ranunculus sceleratus-type","Fabaceae","Ranunculaceae","Clematis-type","Solanum dulcamara","Thalictrum","Tilia","Malva","Humulus/Cannabis","Phillyrea","Corylus","Urtica","Thymus/Mentha","Plantago undiff.","Nymphaea","Pistacia","Ephedra fragilis-type","Hypericum perforatum-type","Ranunculus repens-type","Utricularia","Calystegia","Sanguisorba-type","Picea","Quercus ilex-type","Acer","Lotus-type","Loranthus","Onosma-type","Rosaceae","Trifolium-type","Bupleurum-type","Senecio-type","Potentilla-type","Astragalus-type","Hedera","Viburnum-type","Scrophularia/Verbascum","Rumex hydrolapathum","Helianthemum","Isoëtes","Campanula-type","Helleborus","Xanthium","Viscum","Plantago media-type","Plantago coronopus-type","Populus","Cotinus coggygria","Centaurea","Cistaceae","Valeriana","Centaurea scabiosa-type","Epilobium","Equisetum","Boraginaceae","Persicaria maculosa-type","Calligonum","Hippophaë","Menyanthes trifoliata","Liliaceae","Frangula","Centaurea cyanus-type","Euphorbia","Plumbaginaceae","Ephedra distachya-type","Myriophyllum alterniflorum","Valerianella","Betulaceae","Pediastrum undiff.","Sagittaria"
6704,6833,6580,360,22,2,NA,NA,12,NA,2,7,NA,NA,15,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,2,34,1,23,NA,6,4095,NA,2,NA,15,11,13,6,1,97,9,155,126,2,98,22,860,86,14,NA,5,10,NA,16,14,NA,NA,NA,4,NA,NA,3,NA,NA,NA,4,NA,NA,NA,1,NA,107,2,4,NA,6,1,27,420,4,1,20,2,NA,NA,NA,NA,NA,5,NA,NA,1,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,14,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6992,7125,6866,370,29,1,NA,NA,7,NA,1,10,NA,NA,2,NA,NA,NA,9,3,NA,NA,NA,NA,NA,NA,3,35,NA,15,NA,10,338,2,5,1,9,15,15,4,4,210,13,208,182,6,79,31,632,34,525,3,12,6,NA,8,5,NA,1,NA,3,NA,1,2,NA,NA,1,3,NA,NA,1,1,NA,NA,1,10,NA,NA,NA,30,NA,4,NA,12,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7280,7419,7143,380,29,NA,NA,1,2,1,NA,6,NA,NA,12,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,4,11,2,14,NA,3,2801,1,1,1,6,18,12,NA,6,50,9,174,180,2,9,11,276,21,186,NA,10,16,NA,12,NA,NA,NA,8,1,NA,NA,3,NA,NA,NA,3,NA,NA,2,NA,1,4,NA,5,NA,1,NA,35,5,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7568,7759,7417,390,30,2,NA,1,6,2,1,NA,NA,NA,4,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,2,51,NA,22,NA,10,826,2,2,NA,2,33,2,1,NA,14,30,226,352,33,143,4,262,66,5,1,8,1,NA,2,1,NA,1,108,NA,1,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,2,NA,NA,NA,11,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
7856,8074,7692,400,11,2,NA,NA,2,NA,1,11,NA,NA,8,NA,NA,1,1,NA,NA,NA,NA,15,NA,NA,1,35,NA,8,NA,11,648,1,NA,NA,12,8,9,2,NA,21,5,118,89,1,20,52,589,18,18,NA,9,17,NA,10,2,NA,NA,NA,3,NA,NA,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,18,7,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8419,8591,8273,410,17,5,NA,2,2,NA,1,NA,NA,1,8,NA,NA,1,7,1,NA,NA,NA,NA,NA,NA,1,3,2,8,NA,44,72,NA,NA,NA,51,6,16,4,3,5,9,138,71,NA,12,74,600,12,NA,1,5,7,NA,25,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,35,NA,1,1,1,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9074,9230,8914,420,7,24,NA,NA,55,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,37,NA,10,NA,7,58,1,9,7,9,NA,NA,10,NA,355,64,178,96,44,221,22,372,40,NA,1,7,2,NA,NA,3,NA,5,1,3,NA,NA,1,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,2,1,5,NA,48,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
9729,9896,9512,430,36,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,5,1,11,NA,8,11,NA,1,1,48,3,22,NA,1,15,16,163,98,2,11,108,820,12,NA,3,5,2,NA,6,NA,NA,NA,NA,4,NA,NA,1,2,NA,NA,3,NA,NA,2,NA,NA,NA,NA,16,NA,NA,NA,30,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
10187,10382,9929,437,4,4,NA,3,41,NA,3,NA,1,NA,17,NA,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,29,3,15,NA,18,745,NA,5,1,27,2,1,29,NA,4,5,186,68,6,612,75,966,72,4,2,11,4,NA,1,103,NA,NA,2,23,NA,NA,1,1,NA,NA,4,NA,NA,NA,NA,NA,1,5,2,NA,NA,NA,1,1,2,2,64,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
10809,11057,10485,447,NA,1,NA,1,12,NA,1,NA,2,NA,19,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,2,NA,20,283,NA,3,1,28,NA,2,10,NA,NA,4,72,18,2,261,62,587,46,NA,1,3,1,1,NA,122,NA,1,NA,10,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,1,NA,NA,9,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,2,NA,NA,NA,NA
11005,11271,10659,450,1,2,NA,NA,14,NA,NA,NA,1,NA,7,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,7,NA,2,NA,34,558,NA,4,4,30,NA,NA,13,NA,NA,5,48,25,NA,205,90,382,25,NA,1,5,4,NA,NA,199,NA,1,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,7,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
11660,11990,11235,460,1,6,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,9,2,NA,3,NA,59,NA,3,1,NA,NA,21,9,10,NA,96,83,32,66,NA,1,NA,1,NA,NA,1,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12315,12714,11809,470,1,4,NA,NA,38,NA,NA,NA,NA,2,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,17,6,NA,5,NA,163,NA,4,2,NA,NA,25,27,82,NA,417,178,105,32,NA,1,NA,NA,NA,NA,5,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
13624,14163,12954,490,1,1,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,8,1,1,NA,8,90,NA,2,2,45,1,1,3,NA,3,19,35,37,NA,181,106,118,38,6,NA,2,1,NA,NA,7,NA,5,11,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,95,NA
14279,14890,13526,500,NA,2,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,9,17,NA,16,5,75,NA,2,NA,NA,3,15,7,11,1,1280,35,56,16,2,1,NA,1,NA,NA,NA,1,6,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,10,NA
14934,15615,14098,510,NA,7,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,11,9,NA,4,2,100,NA,1,NA,NA,NA,16,6,37,1,1099,83,68,19,NA,NA,NA,3,NA,NA,NA,NA,7,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,3,14,1
16636,17503,15584,536,2,2,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,45,NA,NA,NA,20,1,NA,NA,1,3,25,9,5,2,81,21,63,4,2,1,NA,2,NA,NA,6,1,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
