"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Rhabdocoela","Geranium","Apiaceae","Brassicaceae","Triticum-type","Ranunculus","Centaurea","Plantago major-type","Sanguisorba minor-type","Dinoflagellata","Caryophyllaceae","Rumex","Ostrya-type","Sporormiella","Pinus","Quercus (evergreen)","Unknown","Phaeoceros laevis-type","Scilla-type","Filago-type","Matricaria","Quercus (deciduous)","Asphodelus","Erica","Quercus","Poaceae (Cerealia-type)","Theligonum","Indeterminable undiff.","Pseudoschizaea","Cyperaceae","Cirsium-type","Amaranthaceae","Plantago lanceolata-type","Plantago","Cichorioideae","Asteroideae","Poaceae","Foraminifera","Pistacia","Charcoal","Lycopodium","Abies","Betula","Euphorbia","Valerianella","Ephedra distachya-type","Convolvulus","Fagus","Ulmus","Fabaceae","Parietaria","Ulmaceae","Valerianoideae","Phillyrea","Olea europaea","Aconitum group","Celtis","Corylus","Polygonum aviculare-type","Alnus","Borago","Scrophulariaceae","Centaurea solstitialis-type","Unknown (trilete)","Sparganium-type","Ilex","Erodium","Calligonum","Malva","Malva sylvestris-type","Linum","Cuscuta-type","Littorella-type","Fraxinus","Centranthus","Boraginaceae","Plantago coronopus-type","Sample quantity","Plumbaginaceae","Scabiosa","Dipsacoideae","Polypodium","Botrychium","Astragalus-type","Liliaceae undiff.","Gentianaceae","Mentha-type","Artemisia","Lotus-type","Plantago maritima-type","Vitis","Rosaceae undiff.","Equisetum","Calystegia","Ruta","Galium-type","Lysimachia vulgaris-type","Unknown (monolete)","Typha latifolia-type","Acanthus","Nuphar","Euphorbiaceae"
5554,NA,NA,900,"1","1","1","1","1","1","1","1","1","2","2","2","2","3","3","3","3, 3","3","4","4","4","5","5","7","8","8","9","10","11","13","14","16","16","25","31","34","49","57","102","146","378","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5617,NA,NA,910,"1","1","1","2","2","6","1","4","","3","1","1","","1","3","2","3","3","1","","4","7","12","5","11","11","10","13","14","5","37","19","12","22","32","67","41","39","75","84","137","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5680,NA,NA,920,"2","","","9","1","2","","4","","2","","7","","1","","5","1, 2","1","","2","5","5","7","2","10","14","4","20","10","7","15","16","26","36","28","44","34","34","100","101","148","","","","","","","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5743,NA,NA,930,"","","1","5","3","5","2","3","","1","","7","","8","","4","1, 3","1","2","1","","1","6","5","5","12","10","21","8","10","16","5","28","46","39","39","51","19","72","81","94","","","","1","","1","","","","","","","","","","1","1","1","1","1","2","2","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5806,NA,NA,940,"1","","1","5","1","6","1","","","15","","2","1","1","2","1","","1","","4","4","4","6","4","5","3","13","5","30","7","12","1","22","28","35","38","24","24","128","91","107","","","","2","2","2","","","1","","","","","","","","","","","","","1","","","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5868,NA,NA,950,"1","","4","1","","4","5","2","2","10","1","13","1","","4","1","2","4","","","4","9","3","5","13","4","8","16","18","13","9","25","21","27","40","26","40","12","83","23","94","","","1","","","4","","","1","","","","1","","","","","","1","","","5","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5931,NA,NA,960,"2","2","","3","1","5","2","3","","21","","3","1","","1","","1, 1","2","","4","6","3","8","2","3","6","7","7","7","8","18","6","21","30","40","48","30","11","145","49","90","","","3","1","","1","","","","","","","","","","","","","","","","2","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5994,NA,NA,970,"","","","7","","4","","3","","11","2","7","1","2","5","2","2, 3","1","","3","2","3","9","7","5","7","8","27","22","13","14","7","21","30","26","32","39","29","132","90","80","","","","","","2","","","1","","","","","","","","2","","","","2","","2","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6057,NA,NA,980,"3","","1","8","1","3","1","","","13","","1","","2","1","","1, 21","","1","3","3","1","5","8","2","9","8","2","2","8","13","7","","","31","40","21","12","146","62","65","","","","1","","1","","","","","","","","","","","","","1","1","3","","1","","","","","3","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
6120,NA,NA,990,"","","","3","1","2","1","3","1","33","2","1","2","","2","1","","","","1","","3","10","5","5","6","10","11","16","9","","2","15","31","19","29","24","96","175","32","60","","","","","","1","","","","","","","","3","","","1","","","","","1","","1","","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
6183,NA,NA,1000,"","","","1","","","","2","","12","1","1","1","1","3","1","1, 4","","3","","5","3","9","5","7","3","9","11","1","10","9","1","20","26","16","25","11","24","190","4","43","","","1","","","1","","","","","","","","","","","","","","","","","","1","","","","1","","","","","1","","","","6.59999990463257","1","1","1","1","2","","","","","","","","","","","","","","","","","","",""
6250,NA,NA,1010,"","","","3","","1","","","","7","","3","1","3","5","4","1","","5","","3","4","2","5","10","1","6","18","","2","10","3","15","27","17","20","7","23","190","2","20","","","1","","","","","","1","","","","","","","","","","","","","","","","","1","","1","","","","","","","","2","7.19999980926514","","1","2","","1","1","","","","","","","","","","","","","","","","","",""
6321,NA,NA,1020,"","","","2","","1","1","1","","20","1","1","","","2","1","1","","2","1","2","4","5","10","5","2","4","5","1","9","6","6","19","23","26","18","14","7","190","8","34","","","1","","1","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","8.10000038146973","","","1","","","","1","","","","","","","","","","","","","","","","",""
6392,NA,NA,1030,"","","1","1","1","","1","","2","24","","5","","","2","1","1, 1","","2","","1","5","6","2","7","1","3","16","2","10","11","14","34","47","15","17","14","18","180","21","58","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","10.1999998092651","","","","","","","","1","","","","","","","","","","","","","","","",""
6464,NA,NA,1040,"","","","5","4","4","","2","","17","1","9","","","4","1","1, 2","","1","3","4","4","1","2","8","14","7","14","10","5","19","9","35","43","22","37","23","46","140","43","49","","","2","","","","","","1","","","","","1","","","","","","2","2","","","","","","","1","","","","","","","2","","7.19999980926514","","","1","","1","","","","1","","","","","","","","","","","","","","",""
6535,NA,NA,1050,"","","1","1","","2","","1","4","15","","1","","","3","3","1, 2","","1","4","","6","3","5","15","7","12","9","4","6","13","3","27","37","18","19","22","72","165","19","57","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","5.30000019073486","","","","","2","","","","","1","1","","","","","","","","","","","","",""
6606,NA,NA,1060,"","","","1","1","2","2","","","20","2","","","1","3","1","1","","","","2","1","3","4","3","4","15","6","2","5","16","2","9","12","15","30","15","30","200","7","18","","","1","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","8.60000038146973","","","","","","","","","","","","1","","","","","","","","","","","",""
6677,NA,NA,1070,"","","1","2","","2","","","","12","","3","","","","2","","","4","1","1","2","4","4","7","5","7","17","","5","14","3","21","31","26","22","12","40","190","7","29","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","1","","1","1","9.19999980926514","","1","1","","","","","","","","","","1","","","","","","","","","","",""
6748,NA,NA,1080,"","","","","","","","","1","13","","4","","","2","1","4","","2","3","1","6","3","4","10","2","3","14","","7","10","8","28","37","26","22","11","30","170","3","33","","","3","","","","","","","","","","","2","","","","","","","","","3","","","","","","","","","","","","","","10.6000003814697","","","","","1","","","","","1","","","","1","","","","","","","","","",""
6819,NA,NA,1090,"","","2","2","1","3","2","1","","13","1","","","1","2","","1","","2","4","2","3","5","9","7","7","2","20","2","6","6","33","33","49","17","21","14","71","139","27","56","","","1","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","8","1","1","1","","","","","","","","","1","","","","","","","","","","","",""
6855,NA,NA,1095,"","","","2","7","","4","3","1","18","","3","1","","5","4","","","1","6","","3","2","5","9","9","6","11","2","64","7","40","36","55","43","33","39","87","75","62","39","","","2","","","","","1","1","","1","","","","","","","","","","2","1","","","","1","","1","","","","","","2","","2","","","","","","","1","","","","1","","1","","","1","","","","","","","","",""
