"age_NA","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Artemisia","Anthemis-type","Aster-type","Silene foetida-type","Sedum-type","Dianthus lusitanus-type","Narcissus bulbocodium","Narcissus pseudonarcissus-type","Galium-type","Conopodium majus","Plantago subulata-type","Apiaceae","Pteridium aquilinum","Polypodiales (monolete)","Quercus ilex-type","Erica arborea-type","Pinus sylvestris-type","Chaerophyllum temulum","Calluna vulgaris","Genista-type","Alnus glutinosa","Spergularia-type","Betula pubescens","Pinus pinaster","Rumex","Peucedanum-type","Potentilla","Quercus robur-type","Gentiana lutea/G. pneumonanthe","Poaceae","Lycopodium spike","Plantago major-type","Hypericum perforatum-type","Erica umbellata","Juniperus communis","Paronychia polygonifolia-type","Corylus avellana","Spergula","Silene dioica-type","Erica australis","Olea europaea","Cyperaceae","Armeria","Amaranthaceae","Poaceae (Cerealia)","Phillyrea","Brassicaceae","Colchicum montanum","Hedwigia","Cichorioideae","Menyanthes trifoliata","Vitis","Castanea sativa","Pedicularis sylvatica","Sagina","Sambucus nigra","Ammi","Minuartia recurva","Botrychium","Ranunculus","Plantago lanceolata-type","Ulmus","Asphodelus albus","Centaurea nigra-type","Cytisus scoparius","Jasione-type","Pentaglottis sempervirens","Veratrum album","Daucus","Cirsium-type","Halimium/Tuberaria","Arnoseris minima","Campanula","Arenaria","Filago-type","Ilex aquifolium","Radiola linoides","Sorbus aucuparia","Lathyrus","Hedera helix","Mercurialis perennis","Poterium sanguisorba","Sphagnum","Eryngium","Fraxinus angustifolia","Physospermum cornubiense","Salix","Urtica","Viola","Ornithogalum-type","Sparganium","Succisa","Silene ciliata-type","Lysimachia","Micranthes stellaris-type","Fabaceae","Polygonum aviculare-type","Lotus","Daphne/Thymelaea","Echium","Anthriscus sylvestris","Cistus ladanifer-type","Potamogeton","Carum verticillatum","Ephedra fragilis-type","Alchemilla","Reseda/Sesamoides","Scleranthus annuus","Rubus","Cerastium","Helianthemum","Arbutus unedo","Torilis arvensis-type","Frangula alnus","Senecio"
NA,NA,NA,135,"11329, 1","0.282","1","1","1","1","1","1","1","1","2","2","2","3","3","3","4","4","4","4","6","7","9","13","14","16","19","19","37","47","61","601","76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,45,"11329, 1","","1","","","","1","","8","","1","","5","5","10","3","2","21","4","","20","1","8","","12","2","8","","5","34","2","329","195","1","1","1","1","1","2","2","2","2","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,85,"11329, 1","0.282","2","","","","","","21","","1","2","3","","6","7","1","22","2","","22","6","4","","2","5","15","2","114","33","11","92","73","","","1","","","1","1","","3","","11","1","1","1","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,8,"11329, 1","0.282","","1","","","","","","","4","","20","1","7","","2","18","2","","","2","2","","","98","12","2","41","14","1","146","96","","","2","1","1","","3","","3","76","23","","","5","","","","","1","1","1","1","1","1","1","1","1","1","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,130,"11329, 1","0.282","1","","","","1","1","73","2","","9","","8","8","4","4","6","8","7","81","11","11","2","385","25","16","30","49","98","34","228","145","","","","","","","","","1","","3","1","","1","","","1","","","","","","","","","","","","2","","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,55,"11329, 1","0.282","4","","1","","4","","2","","2","2","87","4","5","11","1","28","2","2","4","5","6","","2","21","13","","7","69","6","746","100","","","1","","7","1","","","3","","77","1","","2","1","","","","5","","","","4","","","","","","","2","1","","1","","","","","","1","1","2","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,105,"11329, 1","0.282","1","","","","11","1","68","2","7","1","2","","15","2","2","13","7","3","3","16","15","","9","21","11","1","35","114","4","566","151","","","1","","3","","2","","1","3","1","","2","","","","","","1","","1","","8","","","","","","2","","","","","","4","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,80,"11329, 1","0.282","2","","","","3","","1","","1","4","6","","4","13","10","66","13","1","171","2","27","","13","30","9","1","3","96","6","104","198","","","2","","","1","1","","5","2","81","","1","1","3","","","","1","","","","","","1","","1","","","","","","","","","","","","","","","","","1","","","1","1","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,140,"11329, 1","0.282","2","","3","3","3","","9","","12","5","2","3","12","9","2","5","12","3","11","7","10","5","11","59","23","18","100","96","125","1004","78","","1","1","","","1","","","","3","9","2","","","","1","","","","","","","","","","","","","","","","","1","1","","","","","1","","","","1","","","","2","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,95,"11329, 1","0.282","4","1","","","3","","25","","1","11","72","1","3","4","4","21","5","1","95","3","16","","10","21","43","8","24","106","51","210","121","","","1","","","","","","3","1","13","1","1","1","","","","","1","","","","2","1","","","","","2","2","","","","","","","","","","","","","2","","","","1","","","","1","","","","","1","1","2","13","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,100,"11329, 1","0.282","","1","1","","2","","32","","2","6","4","4","16","9","4","47","7","1","77","3","17","","23","30","30","1","212","133","40","334","151","","","3","","","","1","","6","","2","1","","2","3","1","","","","","","","5","","1","","","","5","1","","","","1","","","","","1","","","","1","","","","","","","","","","","1","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,60,"11329, 1","0.282","2","2","","","10","","5","","6","6","41","","12","2","4","56","1","2","5","10","9","","11","15","12","9","4","98","9","368","114","","","","1","3","1","3","","6","","110","3","1","1","1","","","","1","","","","1","","","","","","2","4","","","","1","2","","","","","","","2","3","","","","","","","","","","2","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,120,"11329, 1","0.282","2","","","","2","","24","","3","12","3","5","10","3","5","9","10","2","54","6","14","","46","20","27","8","19","88","23","399","68","","","","","4","","4","","","","2","","","1","1","1","1","1","","","1","","4","","","","","","42","","","","1","","3","","","1","1","","","1","","","","","1","","","","","","","","2","1","","","","","","","1","3","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,115,"11329, 1","0.282","2","","","","6","","79","3","","13","6","1","17","8","8","6","3","4","141","11","22","","11","27","20","3","128","109","44","160","85","","","","1","","2","","","2","2","4","","1","2","1","1","","1","","","","","14","","","","","","40","1","","","","3","1","","","","","2","","","","","","","1","","","","","","","1","2","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,65,"11329, 1","0.282","8","2","","","9","","6","","12","6","86","4","16","1","6","43","2","1","9","4","11","","3","16","26","12","20","55","19","800","129","","","5","5","11","1","5","","3","26","34","","1","4","1","","","","2","","","","2","","","","","","15","7","","","","1","3","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","",""
NA,NA,NA,70,"11329, 1","0.282","7","","","","5","","2","","1","1","7","1","6","1","5","88","8","","32","5","22","","8","21","22","1","18","133","14","342","208","","","4","1","1","2","2","","3","1","30","","","1","1","1","","1","1","","1","","1","","","","","","2","3","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","","1","","1","","","1","","","","","1","2","","","","","","","","","","","","","","",""
NA,NA,NA,90,"11329, 1","0.282","2","","1","","12","5","59","1","8","6","32","","10","7","7","49","7","1","76","6","11","","8","14","20","1","21","69","40","873","151","","","2","","","1","","1","2","","71","8","","2","1","2","","","2","","","","3","","","","","","6","","","2","13","2","5","","","","2","","","","3","2","1","","","","","","","","1","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,75,"11329, 1","0.282","1","1","","","8","1","1","","6","4","128","6","23","","5","50","6","","4","6","12","","8","14","18","2","7","126","3","416","138","","1","2","","2","2","","","","","156","1","2","3","4","","","1","4","","","","3","","","","2","","1","3","","","4","2","2","","","1","","","1","1","2","","1","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,25,"11329, 1","0.282","4","3","","","7","","6","","8","7","30","4","17","3","5","32","1","11","85","13","15","","10","2","14","46","116","108","16","439","132","","","3","","","1","1","","6","2","4","2","","3","1","","","","1","","","10","5","","","","","","8","1","","1","1","2","","","","5","","1","","","2","","","","","","","1","","","1","","","","","25","","","","","","","","","1","","","","","","","","","","","","","","","","",""
NA,NA,NA,30,"11329, 1","0.282","8","1","","","5","","2","","1","1","13","5","22","2","6","34","","5","148","1","","","7","2","24","8","88","106","36","247","7","","","4","5","3","","2","","7","3","3","","1","4","","2","","","2","","","14","","","","1","","","4","1","","","","","","1","","1","","2","1","4","","","","","","","","","","1","1","1","1","","","","","","","","","1","","","","","","1","1","","","","","","","","","","","","",""
NA,NA,NA,10,"11329, 1","0.282","4","2","","","4","","","","19","","94","2","6","1","3","45","4","3","8","2","5","","","60","18","2","10","37","2","564","92","6","","6","","10","","5","","3","88","22","","1","7","1","","","","4","1","1","4","","1","","","","","1","6","","","","1","3","","","2","","","1","","9","","","","","","","","1","1","","","","","","","","","","","","1","2","","2","","","","","1","1","","","","","","","","","","",""
