"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Plantago","Centaurea","Rubiaceae","Artemisia","Nymphaea","Pinus","Quercus coccifera","Asteraceae","Myriophyllum","Quercus","Olea","Sparganium","Cyperaceae","Poaceae","Corylus","Alnus","Fabaceae","Typha","Ericaceae","Chenopodium","Brassicaceae","Abies","Callitriche","Carpinus","Fraxinus ornus","Ulmus","Pistacia","Juniperus","Sarcopoterium","cf. Cirsium","Salix","Phillyrea","Cistaceae","Taxus","Thalictrum","Utricularia","Lamiaceae","Poaceae (Cerealia-type)","Potamogeton","Polygonum","Ranunculaceae","cf. Rhamnaceae","Ostrya","Corylus-type","Tilia","Rosaceae","Alisma","Centaurea cyanus","Acer","cf. Primulaceae","Fagus","Nuphar","Rumex","Vitis","cf. Scrophulariaceae","Betula","cf. Solanaceae","cf. Cannabaceae","Consolida","Jasione","cf. Hottonia","cf. Liliaceae","cf. Urtica","Plumbaginaceae"
2089,2435,1738,75,1,1,1,2,4,9,9,9,10,12,14,28,49,57,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2256,2589,1915,81,NA,NA,NA,1,4,1,19,10,6,46,6,17,87,21,13,1,1,1,1,2,2,3,4,4,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2423,2744,2093,87,NA,NA,NA,2,2,5,5,6,25,9,18,4,73,46,38,3,NA,NA,1,3,3,3,2,NA,NA,NA,1,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2784,3084,2478,100,1,NA,NA,1,10,NA,8,11,8,2,12,14,41,13,11,NA,NA,4,NA,4,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2951,3242,2656,106,1,NA,4,1,3,12,7,10,14,5,20,8,37,61,49,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3285,3560,3010,118,1,4,3,NA,5,1,14,12,30,14,17,NA,21,8,97,2,1,NA,NA,4,4,1,NA,3,1,NA,NA,NA,NA,3,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3952,4208,3701,142,NA,NA,1,1,4,10,2,20,8,NA,23,NA,13,11,58,1,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4341,4589,4092,156,NA,NA,1,3,3,NA,10,11,2,9,9,1,35,15,109,4,NA,2,NA,2,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4675,4917,4420,168,NA,2,NA,3,3,11,7,14,7,3,37,6,42,28,91,NA,2,NA,NA,NA,3,1,NA,NA,1,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5036,5282,4776,181,NA,NA,NA,NA,2,NA,13,23,1,5,17,NA,88,8,51,NA,NA,NA,NA,2,NA,1,5,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5398,5657,5132,194,NA,3,1,2,2,9,7,18,1,5,21,7,40,10,121,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5564,5832,5295,200,1,1,1,1,2,9,11,64,4,3,4,15,15,23,87,1,NA,1,1,4,2,2,NA,NA,1,1,2,1,NA,3,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA
6061,6343,5784,218,NA,2,NA,1,NA,46,9,37,1,7,NA,2,9,92,58,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6406,6658,6158,231,1,1,NA,1,4,NA,12,94,1,5,9,NA,12,8,55,NA,2,NA,NA,NA,8,NA,3,NA,NA,1,NA,NA,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
