"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Carya","Ericaceae","Salix","Alnus","Fabaceae","Poaceae (Cerealia)","Myrtaceae","Thymelaeaceae","Fraxinus excelsior","Centaurea jacea-type","Mercurialis annua-type","Rumex spinosus","Unknown (trilete, non-psilate)","Caryophyllaceae","Cyperaceae","Rumex","Typha/Sparganium","Apiaceae","Tamarix","Ephedra fragilis-type","Indeterminable undiff.","Pistacia","Plantago","Indeterminable","Brassicaceae","Sarcopoterium","Casuarina","Betula","Cupressaceae","Cichorioideae","Unknown","Pinus","Poaceae","Olea","Asteroideae","Quercus coccifera","Artemisia","Pollen concentration","Amaranthaceae","Picea","Thalictrum","Echium","Casuarina/Corylus","Quercus infectoria subsp. veneris-type","Centaurea scabiosa","Ornithogalum-type","Liliaceae","Ranunculaceae","Rosaceae","Centaurea","Euphorbiaceae","Bistorta officinalis-type","Convolvulaceae","Succisa","Calligonum","Rubiaceae (hexacolpate)","Alisma","Corylus","Geranium","Lamiaceae","Urticaceae","Nitraria","Theligonum cynocrambe","Combretaceae","Rhamnaceae","Castanea","Cannabaceae/Urticaceae","Unknown (trilete, psilate)","Unknown (monolete, psilate)","Ceratonia","Erodium","Ulmus/Zelkova","Carpinus orientalis","Fagus","Prosopis","Haplophyllum","Populus","Plumbaginaceae","Dipsacoideae","Juglans","Phillyrea","Fraxinus ornus","Zygophyllum","Lomelosia argentea-type","Boraginaceae","Echinops-type","Chrozophora","Sphagnum","Styrax","Cannabis","Isoëtes","Helianthemum","Teucrium","Ephedra distachya-type","Lycopodium","Scabiosa","Oleaceae","Celtis","Cedrus","Euphorbia","Vitis","Calicotome villosa","Rhus","Ricinus","Malvaceae","Asphodelus","Acacia","Marchantiophyta","Carpinus betulus","Centaurea collina-type","Lygeum","Ranunculus acris-type","Centaurea cyanus","Cynoglossum officinale-type","Fraxinus","Unknown (monolete, non-psilate)","Blepharisma","Cistaceae","Potamogeton","Cistus","Phlomis","Riccia"
-41,NA,NA,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,6,6,7,10,13,13,16,18,18,18,19,24,25,112,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,17.5,NA,NA,NA,NA,3,4,NA,NA,NA,NA,1,NA,NA,4,1,NA,1,3,NA,1,5,2,8,12,19,3,NA,6,4,12,25,9,9,10,16,15,35,104,110,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,NA,NA,33.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,8,4,1,NA,NA,NA,NA,6,NA,7,34,18,3,2,NA,2,17,15,13,17,13,26,14,18,439,126,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,NA,NA,40.5,1,NA,1,NA,1,3,NA,2,NA,NA,4,NA,NA,2,NA,1,5,NA,2,NA,NA,6,7,2,26,4,2,NA,5,28,20,19,31,30,33,10,50,9792,97,NA,1,NA,NA,4,NA,NA,1,1,1,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,NA,41.7,NA,NA,1,1,NA,3,1,NA,NA,NA,1,NA,NA,5,2,3,NA,NA,NA,1,1,4,13,13,13,9,1,1,NA,21,17,10,35,9,25,8,31,1,70,NA,1,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,NA,NA,43.7,NA,NA,NA,NA,NA,3,1,1,NA,NA,1,NA,NA,NA,NA,1,3,3,1,NA,3,3,15,NA,13,9,NA,NA,1,17,20,3,27,16,17,19,39,18238,101,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,NA,NA,45.7,NA,2,NA,NA,1,11,NA,1,NA,NA,3,NA,NA,3,4,5,1,1,NA,1,2,7,24,11,5,13,NA,NA,2,6,21,9,57,19,16,7,59,1,64,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,NA,NA,51.1,NA,NA,1,NA,NA,4,NA,1,NA,NA,3,NA,NA,4,1,5,NA,2,NA,NA,3,11,20,1,2,9,NA,NA,1,6,10,11,54,10,19,30,41,1,72,NA,1,NA,NA,2,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,NA,NA,54.5,NA,NA,NA,NA,5,5,NA,1,NA,NA,3,NA,NA,2,3,3,1,8,4,NA,3,4,6,23,5,8,NA,NA,NA,2,21,19,23,10,14,30,66,10427,140,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,1,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,NA,NA,71.5,NA,NA,1,NA,NA,4,NA,1,NA,NA,1,NA,NA,2,2,5,1,1,4,NA,4,5,9,10,4,6,NA,NA,NA,5,9,15,13,26,11,31,57,2500,81,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
