"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Charcoal","Lycopodium tablets","Sample quantity","Podospora-type","Potentilla-type","Apiaceae","Populus","Plantago lanceolata-type","Quercus ilex-type","Sedum-type","Eryngium campestre-type","Unknown","Salix","Juniperus-type","Brassicaceae","Ranunculus","Rumex acetosa-type","Calluna vulgaris","Anthemis-type","Aster-type","Olea europaea","Unknown (monolete)","Cichorioideae","Quercus pyrenaica-type","Pinus","Poaceae","Cyperaceae","Lycopodium","Lycopodium for charcoal","Pollen concentration","Viscum","Genista-type","Erodium cicutarium-type","Fraxinus angustifolia-type","Pteridium aquilinum","Scrophulariaceae","Amaranthaceae","Gentianaceae","Liliaceae undiff.","Campanulaceae","Rosaceae","Trifolium-type","Caryophyllaceae undiff.","Artemisia vulgaris-type","Urtica dioica-type","Ulmus","Arenaria serpyllifolia-type","Rubiaceae","Sordaria-type","Secale","Sporormiella-type","Filipendula vulgaris-type","Pseudoschizaea","Plantago major/P. media","Erica arborea-type","Urtica pilulifera","Allium-type","Stachys-type","Rosa-type","Prunus-type","Alnus glutinosa-type","Silene vulgaris-type","Lotus-type","Succisa pratensis-type","Plantaginaceae","Betula pubescens-type","Daucus carota-type","Unknown (trilete)","Fabaceae undiff.","Bistorta officinalis-type","Rhamnus","Silene flos-cuculi","Sagina procumbens-type","Crataegus-type","Helianthemum-type","Corylus avellana","Poaceae (Cerealia-type)","Valeriana officinalis-type","Asphodelus","Centaurea nigra-type","Cistus-type","Boraginaceae undiff.","Heracleum sphondylium-type","Herniaria glabra-type","Cirsium-type","Fagus sylvatica","Frangula alnus","Ilex aquifolium","Sphagnum","Vicia/Lathyrus-type","Vitis vinifera","Echium vulgare-type","Sanguisorba minor-type","Sambucus nigra-type","Ericaceae undiff.","Cerastium fontanum-type"
-57,NA,NA,1,"33550.05859375, 82","13911, 1","0.400000005960464","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","3","3","10, 406","14","25","26","85","600580.6875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-37,NA,NA,4,"20778.455078125, 59","13911, 1","0.5","","1","1","","","3","2","","1","","","1","","1","1","","","","","1","2","28, 391","15","26","40","79","297695.40625","1","1","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-9,NA,NA,8,"17758.72265625, 60","13911, 1","0.5","","","","","","2","10","","","","","3","","2","1","1","","3","","1","3","24, 361","11","31","33","94","349882.71875","","2","","","","","","1","1","1","1","1","1","1","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18,NA,NA,12,"12880.5556640625, 25","13911, 1","0.5","","","","","","4","12","","","","","","2","3","","","","1","","","5","34, 373","24","12","23","54","520150.4375","","","","","","1","","","","","","","","","","1","","1","2","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
45,NA,NA,16,"36493.79296875, 101","13911, 1","0.5","","4","","","","","1","","1","1","1","1","2","","","","","","1","1","5","14, 341","14","26","22","77","483091.09375","","1","","","","3","1","1","","","","","","2","","","1","1","","","1","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
73,NA,NA,20,"22572.56640625, 86","13911, 1","0.5","","","","","1","2","2","","","","2","2","","1","","1","","3","","","4","6, 340","11","21","42","106","248410.71875","","1","","","","1","","1","","","","","","","","","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
114,NA,NA,26,"33703.81640625, 53","9666, 1","0.400000005960464","","1","","","2","","","","","","","1","2","","1","","1","1","","","8","14, 360","18","15","15","38","644400","","","","","1","","","1","","","","","","1","","","","","2","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
155,NA,NA,32,"67353.5078125, 131","9666, 1","0.400000005960464","","1","2","2","","1","","","","1","1","","","1","","1","1","6","","3","3","30, 390","13","21","18","47","577275","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
182,NA,NA,36,"46396.80078125, 24","9666, 1","0.5","","1","1","","","","3","","1","","4","","","5","","1","","1","","1","3","27, 289","9","26","11","10","571172.75","","2","","1","1","","","","","","","","","1","","","","","","","3","","","","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
209,NA,NA,40,"71286.75, 59","9666, 1","0.400000005960464","","","","","","2","11","","5","","1","1","2","1","","1","","2","","1","4","21, 364","12","27","20","20","492966","","","","","","","","","1","","","","","2","","","","","","","1","","","","1","","","","","","","1","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
237,NA,NA,44,"68467.5, 34","9666, 1","0.600000023841858","","","1","","1","","19","","1","","1","","1","3","1","","1","1","","1","2","39, 405","13","20","4","8","1844595","","","","1","1","","2","","","","","2","","1","","","","","2","","4","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
278,NA,NA,50,"43218.171875, 93","9666, 1","0.400000005960464","","","","","","1","1","","","","2","2","","2","1","","2","1","1","4","8","26, 375","13","24","23","52","442324.5625","","","","","1","","1","","","","","1","","1","","","1","","","","","","","","3","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
319,NA,NA,56,"15807.9541015625, 15","13911, 1","0.400000005960464","1","","","","1","2","8","","","","1","2","1","5","","","","","","4","8","21, 323","20","55","39","33","343316.34375","","1","","1","","1","","","","","","","","","","","","1","","1","2","","","","2","","","","1","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
