"age_NA","ageolder_BP","ageyounger_BP","depth","Betula","Polygonum aviculare-type","Amaranthaceae","Poaceae","Quercus cerris-type","Alnus","Cirsium/Gundelia","Dryopteris-type","Cyperaceae","Convolvulus","Matricaria-type","Cichorioideae","Pinus","Centaurea solstitialis-type","Cedrus","Pseudopediastrum boryanum","Euphorbia","Sparganium-type","Sambucus nigra-type","Dipsacus-type","Botrychium","Butomus","Sphagnum","Brassica-type","Onopordum-type","Scorzonera-type","Unknown","Pteris","Poaceae (Cerealia-type)","Artemisia herba-alba-type","Quercus coccifera-type","Carthamus","Caryophyllaceae","Trifolium-type","Senecio-type","Lomelosia rotata-type","Lycopodium","Apiaceae","Olea","Nymphaea","Juglans","Lysimachia","Campanula-type","Rumex acetosa-type","Styrax","Ostrya/Carpinus orientalis","Isoëtes","Potentilla-type","Pistacia","Galium-type","Plantago coronopus-type","Ranunculus sceleratus-type","Sanguisorba-type","Juniperus","Myriophyllum spicatum/M. verticillatum","Centaurea cyanus-type","Ranunculus repens-type","Ophioglossum","Cuscuta","Pteridium","Crataegus-type","Artemisia vulgaris-type","Noaea-type","Bunium-type","Rhus/Cotinus","Plantago lanceolata-type","Salix","Knautia","Plantago media-type","Onobrychis-type","Cousinia","Ephedra fragilis-type","Castanea","Ericaceae","Fraxinus ornus","Cladium mariscus","Cheilanthes","Polypodium","Platanus","Xanthium","Valerianella","Cephalaria","Fontanesia phillyreoides","Ranunculus sect. Batrachium-type","Abies","Alisma","Helianthemum","Corylus","Ulmus","Anthriscus-type","Tilia","Vitis","Persicaria maculosa-type","Urtica pilulifera-type","Eryngium-type","Ephedra distachya-type","Ferula-type","Geranium","Rhamnus","Delphinium-type","Ranunculus peltatus-type","Saxifragaceae","Linum","Humulus/Cannabis","Mercurialis annua","Inula-type","Rhynchospora-type","Centaurea scabiosa-type","Ranunculus arvensis-type","Equisetum","Filipendula","Erodium","Glaucium","Filago-type","Fabaceae","Stachys-type","Lemna","Carpinus betulus","Teucrium","Asphodeline","Potamogeton","Phillyrea","Arceuthobium oxycedri","Maianthemum","Persicaria amphibia","Fagus","Genista-type","Thymus/Mentha"
NA,NA,NA,230,1,1,1,1,1,2,2,2,3,3,3,5,13,18,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,220,1,1,NA,6,1,1,14,1,5,2,3,19,31,57,129,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,250,1,NA,2,5,NA,NA,14,7,4,6,9,22,44,86,222,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,210,NA,4,1,1,NA,NA,27,4,21,2,11,52,82,121,183,2,NA,5,NA,NA,NA,7,1,2,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,265,1,NA,NA,4,1,NA,19,11,3,2,14,26,92,113,116,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,2,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,100,NA,4,3,15,22,NA,NA,NA,8,NA,1,NA,515,7,283,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,1,16,97,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4,NA,1,1,1,1,1,9,14,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,150,1,9,3,13,NA,2,9,6,11,21,11,22,278,178,66,2,NA,NA,NA,NA,NA,2,NA,21,NA,NA,NA,NA,8,9,3,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,NA,2,1,23,43,1,NA,3,2,NA,7,3,326,3,289,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,13,61,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,1,NA,NA,3,18,404,NA,NA,NA,NA,NA,1,1,1,1,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,170,NA,6,NA,6,1,NA,14,4,17,2,10,23,305,189,119,4,NA,5,NA,NA,3,6,NA,5,NA,NA,NA,NA,5,3,NA,NA,1,NA,2,NA,1,NA,1,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,240,NA,5,3,9,1,NA,22,2,18,5,33,57,247,159,135,2,NA,4,NA,1,NA,NA,NA,6,NA,NA,1,NA,1,1,3,NA,NA,NA,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
