"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Caryophyllaceae","Crassulaceae","Vitis","Acer","Juniperus-type","Polygala","Astragalus-type","Juglans regia","Teucrium","Sideritis","Gelasinospora","Salix","Bupleurum","Scabiosa","Berberis","Alchemilla","Armeria-type","Thalictrum","Typha angustifolia","Ephedra fragilis-type","Lamiaceae (hexacolpate)","Helleborus foetidus","Indeterminable (unknown)","Botryococcus","Mougeotia","Ononis-type","Bryophyta (trilete)","Ulmus","Juncus","Asteroideae","Spirogyra (psilate)","Artemisia","Cyperaceae","Prunus-type","Helianthemum","Centaurea nigra-type","Quercus (evergreen)","Lamiaceae (tricolpate)","Brassicaceae","Rhamnus","Pinus pinaster","Riccia cf. R. sorocarpa (type 165, HdV)","Spirogyra (type 132, HdV)","Cichorioideae","Lamiaceae","Plantago lanceolata-type","Poaceae","Quercus (deciduous)","Fungi undiff.","Genista-type","Amaranthaceae","Polyadosporites","Asteraceae","Zygnema","Fraxinus angustifolia-type","Zygnemataceae","Fallopia convolvulus/F. dumetorum","Charcoal","Pinus nigra-type","Lycopodium spike","Alnus","Primula","Olea","Pteridophyta (monolete)","Pistacia","Daphne","Fungi","Pteridium aquilinum","Paronychia-type","Hypecoum","Betula","Pedicularis","Rubiaceae","Papaver","Poaceae (Cerealia)","Unknown (type 128, HdV)","Erica arborea","Allium-type","Closterium","Taxus","Erodium","Asphodelus","Arbutus","Corylus","Liliaceae","Phillyrea","Fabaceae","Cistus","Ephedra major subsp. major","Adiantum capillus-veneris","Pseudoschizaea","Polypodium","Cheilanthes"
3087.6,NA,NA,54,35,1,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,11,NA,NA,44,NA,23,NA,NA,11,NA,NA,3,1,NA,NA,12,NA,12,6,NA,128,1,NA,NA,3,NA,56,1,NA,1,21,97,39,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
3164.9,NA,NA,58,48,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,5,NA,NA,NA,12,NA,NA,12,NA,29,NA,NA,1,NA,NA,NA,1,NA,NA,8,NA,2,1,NA,71,NA,NA,NA,15,NA,14,NA,2,NA,17,44,32,65,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8,1,NA,NA,NA
3282.2,NA,NA,64,25,1,NA,NA,NA,36,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,8,NA,NA,NA,6,NA,NA,17,NA,24,NA,NA,1,NA,2,13,5,NA,NA,9,NA,6,17,NA,110,12,NA,NA,8,NA,23,NA,NA,NA,20,99,51,35,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,NA
3404.4,NA,NA,70,18,2,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,2,NA,NA,9,NA,NA,36,NA,28,3,NA,NA,NA,NA,17,4,NA,NA,28,NA,3,20,NA,105,2,NA,NA,6,NA,39,2,NA,2,8,53,71,29,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,13,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,2,NA,NA
3483.1,NA,NA,74,42,6,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,8,NA,NA,27,2,17,NA,NA,NA,NA,NA,2,3,NA,2,21,1,6,2,NA,116,NA,NA,NA,4,NA,33,4,NA,7,17,86,36,28,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,44,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
3559.3,NA,NA,78,32,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,7,NA,NA,NA,4,NA,NA,46,NA,23,NA,NA,NA,NA,2,6,2,NA,1,7,NA,14,9,NA,85,1,NA,NA,7,NA,60,NA,NA,NA,14,27,17,31,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,61,NA,NA,2,NA,NA,NA,NA,NA,11,NA,NA,NA,6,NA,NA,NA,NA
3597.1,NA,NA,80,23,4,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,13,NA,NA,NA,1,NA,NA,42,NA,36,NA,NA,NA,NA,NA,3,3,NA,3,30,NA,7,4,NA,110,NA,3,NA,12,NA,49,6,NA,6,5,120,26,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
3634.8,NA,NA,82,26,1,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,12,2,NA,NA,2,NA,NA,46,NA,41,NA,NA,1,NA,NA,8,NA,NA,1,11,NA,3,9,NA,151,NA,NA,NA,12,NA,49,NA,NA,NA,11,25,29,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,56,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,12,NA,NA,NA,NA
3672.9,NA,NA,84,31,2,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,17,1,NA,NA,3,NA,NA,55,NA,56,NA,NA,NA,NA,NA,6,NA,NA,NA,25,NA,7,9,NA,169,NA,NA,NA,16,NA,62,7,NA,7,3,90,28,38,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA
3710.1,NA,NA,86,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,1,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,5,NA,NA,21,3,1,NA,2,NA,7,18,3,21,26,14,107,51,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
