Depth (cm) [cm],Acacia,Aerva javanica,Aerva lanata,Aizoaceae undiff.,Anthospermum,Apiaceae undiff.,Artemisia,Asteraceae liguliflorae,Asteraceae tubuliflorae,Asteraceae tubuliflorae a longues epine,Atractylis,Avicennia,Blepharis,Boraginaceae indt,Brassicaceae undiff.,Calligonum,Caryophyllaceae undif.,Cassia-type,Cedrus,Celosia argentea-type,Celosia trigyna-type,Centaurea,Centaurea sinaica-type,Centaurea/Tarchonanthus,Ceratopteris cornuta,Cheno-Am,Cissus,Coccinia,Cocculus pendulus,Combretum-type molle,Commiphora,Convolvulaceae undiff.,Convolvulus,Cynoglossum,Cynomorium,Cyperaceae undiff.,Dipterygium,Dodonaea,Echium,Ephedra distachya-type,Ephedra fragilis-type,Ericaceae,Eriocaulon,Euphorbia hirta-type,Euphorbia-type,Euphorbiaceae undiff.,Fagonia,Galium-type,Heliotropium,Hygrophylla,Indeterminables,Indigofera-type,Juniperus,Justicia,Kohautia,Lamiaceae,Limonium,Linum tenuifolium-type,Lippia,Lotus arabicus,Lygodium,Maerua-type,Moltkiopsis,Monocotyledonae undiff.,Monsonia,Myrica,Nyctagynaceae undiff.,Papilionaceae undiff.,Phyllanthus-type,Pinus,Plantago,Poaceae undiff.,Podocarpus,Polycarpaea,Polycarpon,Polygala,Pupalia lappacea-type,Resedaceae undiff.,Rhizophora,Rhus-type,Rubiaceae undiff.,Rumex,Salix,Salvadora,Salvia-type,Sapotaceae-type 4,Securinega virosa,Solanum,Spore monolete,Spore trilete,Tamarix,Tribulus,Typha,Unknown/ u.,Urticaceae undiff.,Vernonia perrotettii,Ziziphus,Zygophyllum,cf Celastraceae,cf Combretum,cf. Ricinus
170,,1,15,1,,,43,,36,3,,,8,,4,13,,6,,2,7,2,,,,215,,,,,,,5,,,273,5,10,,3,,,1,24,10,1,3,,6,,5,,1,,,1,,,,,,1,1,3,,,2,,,,,202,1,,,1,,1,4,,,2,,1,,,,,,1,,9,8,6,,8,1,1,,1,
180,2,,5,,,,18,2,26,6,,,,,6,2,,2,,,2,1,,,,159,,,,,,,4,,,153,6,5,,1,1,2,,20,8,,1,,4,,5,,,,,,,,,,,,,,1,,3,1,,,,255,1,,,,,,2,,,3,,,,,,,,1,,9,13,7,1,6,1,,,3,
190,2,1,7,,,,32,1,40,5,1,3,,,3,11,,1,,1,4,,,1,,228,,1,,,,,1,,,192,2,8,,,4,,,21,2,,1,1,1,,10,,,,,2,,,,,,,,2,1,,1,3,,2,,198,2,,,,,,2,1,,5,,,,,1,,1,,,4,12,2,,4,,,,2,
200,2,,3,,,,23,6,11,7,,5,3,,6,6,,1,,,,,,1,,192,,,,,,,1,,,89,3,11,1,1,2,1,,11,2,,,,1,,3,,,,,,,,,,,,,3,2,,1,,,1,,90,1,,,,,,4,,,2,1,,,,,,,,,8,9,5,1,2,,1,,1,
210,1,,4,,,,15,2,9,6,1,3,1,2,4,9,,1,,,,,,,,124,,,,,,2,,,,121,3,4,,3,,,,19,3,2,,,2,,5,,,,1,2,,,,,,,,1,2,1,2,,,,,106,,,,,,,4,,,5,2,,,,,,,,,7,9,2,,,,,,1,
220,,,,,,1,11,1,11,1,,9,5,,3,8,,,,,,,,,,113,,,,,1,,4,,,105,,3,,,1,,,12,2,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,83,,,,,,,4,,,1,,,,,,,,,,2,5,5,,1,,1,,2,
230,1,,4,1,,,26,3,14,,,6,,2,1,9,,,,,,,,,,132,,,,1,,,2,,,65,1,5,,1,3,,,20,1,,,,,,9,,,1,1,,,,1,,,,,,,,,,,,,74,1,1,1,1,,,3,,,,1,,,,,,,,,7,10,3,,,,1,,2,
240,,,,4,,,18,1,17,1,,10,4,,1,7,1,2,,,,,,,,121,,,,,,,1,,,72,,7,,,,,,15,1,,1,,1,,4,,,,,,,,,,,1,,,,,,1,,1,,63,1,,,,,,5,1,,,,,,,,,,,,5,9,5,,,,1,,2,2
250,1,,18,3,,,29,3,10,1,,13,7,1,2,5,,1,1,,,,,1,1,159,,,,2,,,1,,,93,1,5,,,3,,,14,3,,,,2,1,4,,,,,,,,,,,,,,1,,,,,,1,44,,,,,,3,7,,,,,1,,,,,,,,3,8,5,,,1,,,4,
260,1,,1,2,,1,39,,13,3,,18,6,2,1,6,,,,,,,,1,,107,,,,,,,2,,,51,,,,,1,,,,1,,1,,1,,9,,,,,,,1,,,,,,,1,,,,,1,,46,,1,,,,,6,,,,1,,,,,,,,,6,8,5,2,1,,,,8,
270,,,1,2,,,27,2,4,,,51,1,,,5,,1,,,,,,,,118,,,,,,,4,,1,49,,7,,,2,,,6,2,,,,,,2,,,,,,,,,,,,,,,,1,,,1,,33,1,,,,,,16,,,,,,,,,,,,,4,11,,1,,,,,,
280,,,2,2,,,29,1,13,1,1,47,4,,,5,,1,,,,,1,,,196,,,1,,,,2,1,,64,3,7,,1,1,,,10,,,,,,,5,,,,,,,1,,,,,,,1,,,,,,,36,2,,,,2,,22,,,,,1,,,,,,,,4,11,2,1,,1,,,1,
290,2,,6,,,,31,1,2,1,,25,7,,,2,,,,,,,,,,173,,,1,3,,,1,,,76,,5,,2,2,1,,14,2,,,,1,,6,,,,,,,,,,,,,1,2,,,1,1,,,43,,,,,,1,25,1,2,,1,1,,,,,,,,6,9,5,,,,,,3,3
300,1,,,,1,1,19,1,12,1,,34,2,,3,4,,,,,,,,,,145,,,,,,,1,,,66,1,12,,,,,,11,2,,,,4,,6,,,,,,1,,,,1,,,,1,,1,,,1,,57,,,,,,1,10,,,,,,,,,2,,1,,4,13,4,,1,,,,4,
310,,,3,1,,,22,1,5,,,28,2,,2,2,1,1,,,,,,,,116,,,,1,,,2,,,30,1,5,,,,1,,8,2,,,,2,,8,,,,,1,,,,,,,,,,1,1,,,1,1,33,,,,,,,24,,,1,,,,,,,,,,3,5,1,,,,1,,2,
320,1,,1,4,,,21,2,4,,,54,3,,1,5,,1,,,1,1,,,,126,,,,,2,,1,,,33,,,,1,,,,9,,,,,,,8,,,,,1,,,,1,,,,1,,,,,,1,,46,,,,,1,,17,,,,,,1,,,1,,,,6,4,5,1,,,,1,2,
330,1,,1,,,,11,1,6,3,,57,1,1,3,2,,,,1,3,,,1,,150,,,,,,,,,,60,,4,,,1,,,,1,,,,3,,7,,,,,,,,,,,,,,,,,,,2,,55,2,,,,,,17,,,,,,,,,1,,,,7,14,5,,1,,,,1,
340,1,,5,,,,7,2,9,,2,45,5,,1,1,,1,,3,,,,,,153,1,,,,,,4,,,50,,4,,1,,1,,10,,,1,,,,9,,,,,,,,,1,,,,,,,1,,,,,28,,,2,,,,15,,,,,,,,,1,,,1,2,8,4,,,,,,1,
350,1,,4,2,,,23,,6,1,,67,3,,,5,,,,,,,,,,134,,,,,,,,,,,,8,,,3,,,9,2,,,,,,8,1,,,,,,,,,,,,,,,1,,,1,,42,1,1,,,,,18,,,1,,,,1,,,,,,5,14,3,,,,,,,
