"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Tilia","Acer","Campanulaceae","Fraxinus","Carpinus betulus","Viscum album","Rubiaceae","Caryophyllaceae","Salix","Liliaceae","Anemone-type","Asperula","Urtica dioica","Pteridium","Apiaceae","Artemisia","Corylus","Cichorioideae","Ulmus","Vaccinium","Juglans","Castanea","Alnus","Rosaceae","Quercus ilex-type","Ranunculaceae","Amaranthaceae","Rumex/Oxyria","Ostrya","Varia","Plantago lanceolata-type","Fagus","Asteraceae","Pinus sylvestris-type","Quercus cerris-type","Unknown","Brassicaceae","Juniperus","Quercus robur-type","Quercus","Poaceae","Cyperaceae","Pteridophyta undiff.","Abies","Helianthemum","Gentianaceae","Ephedra fragilis","Veratrum-type","Typha latifolia","Picea","Taxus","Thalictrum","Mentha-type","Centaurea-type","Fabaceae","Urtica urens","Poterium sanguisorba","Poaceae (Cerealia)","Chamaenerion angustifolium","Pinus peuce","Heracleum","Polygonum-type sensu lato","Knautia-type","Rumex acetosa","Hedera","Lonicera","Daphne oleoides","Viburnum opulus","Cornus mas","Filipendula","Rhinanthus","Empetrum","Orchidaceae","Arctostaphylos","Potamogeton","Lycopodium annotinum","Lotus"
90,NA,NA,0,"1","1","1","1","1","1","2","3","3","3","3","3","3","3","4","5","5","5","5","5","5","6","6","6","6","7","7","7","8","9","10","12","12","12","13","13","16","19","24","25","93","106","255","296","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
139,NA,NA,10,"","","","2","2","","","1","1","5","","","","54","","1","","3","","2","","","","3","","","2","1","1","","1","4","2","23","","7","1","4","1","5","16","62","176","3, 305","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
187,NA,NA,20,"","","","3","4","","2","1","2","3","","","","61","1","2","5","9","5","3","1","4","6","3","1","1","4","1","5","9","2","11","16","25","","16","4","3","4","29","41","116","311","2, 286","1","1","1","1","2","22","","","","","","","","","","","","","","","","","","","","","","","","","","",""
236,NA,NA,30,"","8","1","13","11","","17","1","10","20","","","","52","19","5","11","9","16","6","1","17","18","4","7","2","10","11","41","3","34","32","15","6","27","12","5","7","38","45","223","196","161","17","3","","2","","","","1","1","1","1","2","2","2","24","","","","","","","","","","","","","","","","","","",""
285,NA,NA,40,"","1","11","10","3","","5","4","2","84","","","","50","17","13","19","45","4","11","1","6","12","12","14","2","8","49","58","6","305","41","202","20","20","20","6","4","54","52","141","112","125","50","13","","1","","","","","4","7","","62","","120","43","3","5","9","","","","","","","","","","","","","","","",""
309,NA,NA,45,"1","2","3","6","4","","","2","","3","","","","16","7","2","12","5","7","5","","9","7","6","5","6","8","11","13","5","15","84","19","12","18","12","6","3","17","27","107","100","223","71","","1","","","","","","","3","","","","","","","4","","1","","","","","","","","","","","","","","",""
405,NA,NA,50,"","","1","7","3","","1","4","","4","","","","119","2","2","12","3","","8","1","","9","","10","2","2","1","27","1","21","28","12","34","16","6","7","1","44","20","35","55","275","144","2","","","","","","","","3","","1","","2","5","1","","","1","","","","","","","","","","","","","","",""
737,NA,NA,60,"","3","2","10","5","1","4","4","9","6","","","","78","10","9","19","8","3","6","1","4","7","6","11","2","8","17","34","3","23","8","19","16","27","9","20","2","51","27","115","64","259","1, 198","3","","","","3","","","2","8","","5","","5","22","","","6","2","","","","","","","","","","","","","","",""
1070,NA,NA,70,"","1","","3","10","","10","5","2","","","","","48","9","11","281","22","7","4","1","","5","","11","3","1","14","24","6","15","19","19","25","25","5","27","","43","24","168","25","233","212","2","","1","","","","","2","1","","8","","2","14","1","","5","8","1","4","15","","","","","","","","","","","",""
1403,NA,NA,80,"2","","1","2","7","","5","7","4","1","","","","78","5","7","190","12","1","","","1","6","2","11","","5","13","9","1","7","11","15","31","29","4","33","","43","26","105","37","279","217","2","","","","","","","1","1","","2","","1","6","1","","4","5","1","2","23","","","","","","","","","","","",""
1736,NA,NA,90,"2","1","","7","49","1","11","10","3","2","","","","43","6","7","428","26","2","","","1","9","2","18","1","2","19","44","4","20","20","29","19","35","9","37","","53","23","181","69","213","148","","","","","","","","","5","","6","","1","9","1","","2","2","","1","23","1","","","","","","","","","","",""
2068,NA,NA,100,"2","1","","2","17","","4","7","2","2","","","","22","8","5","143","11","1","4","","","3","1","7","1","","7","10","2","3","4","10","28","23","4","11","","30","10","29","27","225","269","1","","1","","","","","","1","","3","","3","","","","","1","","","8","","1","","","","","","","","","",""
2401,NA,NA,110,"1","3","","4","9","","1","","3","","","","","28","17","6","123","7","1","3","","","4","","5","","6","8","20","2","5","10","6","39","15","3","21","","26","11","44","32","245","270","","","1","","","","1","","","","5","","","6","","","1","2","","","3","","","","","","","","","","","",""
2734,NA,NA,120,"1","8","2","6","22","1","3","2","2","2","","","","41","8","4","240","12","10","2","","","6","4","14","","3","6","31","3","19","6","15","15","40","5","19","","59","21","130","42","249","142","2","","1","","","","","1","","","2","","1","9","","","","","","","4","","","","","","","","","","","",""
3066,NA,NA,130,"1","3","","5","28","","1","1","7","2","","","","35","1","5","134","6","13","2","","","6","","11","","5","4","35","1","2","3","6","27","21","5","17","","33","16","42","29","236","206","1","","","","","","","","","","2","","1","7","","","","","","","2","","","","","","","","","","","",""
