"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ficus","Ziziphus","Scrophulariaceae","Thymelaeaceae","Polygalaceae","Primulaceae","Rumex","Fabaceae","Campanulaceae","Urticaceae","Boraginaceae","Malvaceae","Ranunculaceae","Brassicaceae","Polygonum","Papaveraceae","Teucrium","Cistus","Ericaceae","Pinus","Lamiaceae","Centaurea","Juniperus","Plantago","Lemna","Olea","Sarcopoterium","Apiaceae","Acantholimon","Prunus","Rosaceae","Tamarix","Caryophyllaceae","Rubiaceae","Typha","Alismataceae","Scabiosa","Cyperaceae","Poaceae (Cerealia)","Helianthemum","Myrtus","Lonicera","Asteraceae","Phillyrea","Artemisia","Liliaceae","Poaceae","Quercus coccifera","Amaranthaceae","Pistacia palaestina","Dipsacoideae","Euphorbiaceae","Zygophyllaceae","Ephedra fragilis","Rhus","Fraxinus","Rhamnus","Crataegus","Cercis","Arbutus","Acer","Juglans","Fraxinus ornus","Vitis","Platanus","Populus","Salix","Ulmus","Hippophaë","Hedera","Nerium","Laurus","Elaeagnus","Styrax","Orobanchaceae","Pistacia atlantica","Quercus ithaburensis","Dinoflagellata"
3260,NA,NA,141,6,5,NA,NA,NA,NA,7,4,NA,NA,NA,NA,2,5,5,NA,5,4,4,5,4,18,8,12,NA,22,8,1,2,5,5,5,6,13,NA,NA,9,NA,21,8,25,15,12,21,16,14,11,30,32,30,6,6,6,4,1,4,11,1,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,1,4,12
3360,NA,NA,143,8,1,NA,NA,NA,NA,11,10,1,NA,NA,NA,4,10,10,NA,4,4,1,11,2,22,15,22,NA,30,3,3,3,3,3,2,3,13,NA,NA,4,NA,32,2,25,15,6,21,6,13,19,30,8,30,2,2,2,2,4,8,15,4,4,2,4,NA,NA,4,1,1,1,1,4,5,4,4,2,2,NA,3,9,30
3460,NA,NA,145,6,NA,3,2,1,2,9,9,3,4,3,5,11,9,9,3,NA,NA,NA,15,NA,20,21,20,NA,28,NA,5,4,NA,NA,NA,NA,8,NA,NA,NA,NA,30,NA,13,8,NA,13,NA,9,31,21,NA,21,NA,NA,NA,NA,9,13,26,9,7,8,9,NA,NA,2,6,4,5,5,8,10,9,11,6,6,5,8,16,48
3560,NA,NA,147,8,NA,4,3,2,3,8,7,4,6,4,6,13,7,7,4,13,13,12,14,12,16,20,16,NA,26,13,6,5,NA,NA,NA,NA,10,NA,NA,NA,NA,26,NA,12,9,2,12,1,10,35,25,NA,25,NA,NA,NA,NA,8,10,22,8,6,7,8,NA,NA,5,6,4,5,5,7,8,8,9,5,5,4,6,14,40
3660,NA,NA,149,8,1,NA,NA,NA,NA,8,7,1,1,1,2,5,7,7,1,12,11,11,11,11,16,18,16,NA,26,12,4,3,3,3,1,3,15,NA,NA,3,NA,26,1,14,12,4,21,3,6,22,32,6,32,1,2,1,NA,5,8,18,6,5,5,7,NA,NA,5,3,2,1,1,4,5,5,8,3,3,1,4,11,46
3760,NA,NA,151,6,NA,3,2,1,2,7,6,3,4,3,5,11,5,6,3,NA,NA,NA,15,NA,15,21,15,NA,20,NA,5,4,NA,NA,NA,NA,10,NA,NA,NA,NA,22,NA,10,10,NA,11,NA,13,31,21,NA,21,NA,NA,NA,NA,9,13,26,9,7,8,9,NA,NA,2,6,4,5,5,8,10,9,11,6,6,5,8,16,20
3860,NA,NA,153,3,NA,4,3,2,3,5,3,4,6,4,6,13,3,3,4,NA,NA,NA,14,NA,11,20,11,NA,13,NA,6,5,NA,NA,NA,NA,13,NA,NA,NA,NA,16,NA,11,13,2,14,1,16,35,25,NA,25,NA,NA,NA,NA,8,10,22,8,6,7,8,NA,NA,NA,6,4,5,5,7,8,8,9,5,5,4,6,14,18
3960,NA,NA,155,1,NA,4,3,2,3,NA,NA,4,6,4,6,13,NA,NA,4,NA,1,NA,23,1,1,29,2,6,4,1,6,5,4,4,4,5,1,22,8,4,22,2,7,1,2,12,4,16,1,35,18,30,18,NA,NA,NA,NA,17,18,26,17,15,16,17,NA,NA,NA,4,3,3,3,16,17,17,17,4,4,3,5,11,1
4060,NA,NA,157,NA,3,2,1,1,2,NA,NA,2,2,2,2,11,NA,1,2,5,8,4,18,3,2,22,2,NA,5,6,4,3,3,3,2,3,4,4,2,4,12,3,2,6,6,6,11,6,6,22,26,8,26,5,3,3,4,14,12,21,13,12,14,14,NA,NA,NA,NA,NA,NA,NA,12,14,13,14,1,NA,NA,1,5,NA
4160,NA,NA,159,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,9,12,5,1,16,2,NA,5,23,NA,NA,4,4,4,5,NA,NA,NA,2,NA,2,4,2,1,8,5,14,3,6,15,21,15,12,11,9,9,8,7,11,7,6,8,9,NA,NA,NA,NA,NA,NA,NA,7,7,8,8,NA,NA,NA,NA,NA,NA
