"age_NA","ageolder_BP","ageyounger_BP","depth","Artemisia","Monoletes","Pinus","Indeterminable undiff.","Apiaceae","Quercus suber","Cichorioideae","Asteroideae","Isoëtes","Cyperaceae","Poaceae","Alnus","Erica","Quercus (deciduous)","Ranunculus","Hedera","Poaceae (Cerealia)","Cistus","Quercus ilex","Liliaceae","Plantago coronopus","Triletes","Rumex","Lythrum","Centaurea","Asphodelus","Helianthus","Alisma","Polygonum","Arbutus","Faboideae","Caryophyllaceae","Osmunda","Galium","Lamiaceae","Acer","Amaranthaceae","Brassicaceae","Olea","Fraxinus","Cedrus","Polypodium","Cuscuta","Viburnum","Plantago","Thymelaeaceae","Sparganium","Potamogeton","Ilex","Valerianoideae","Salix","Campanulaceae","Phillyrea","Linum","Rhamnus","Plantago lanceolata","Ephedra","Juglans","Eucalyptus"
NA,NA,NA,90,1,1,2,2,3,5,7,10,10,11,15,32,35,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,75,3,3,1,1,1,3,3,10,23,8,28,34,81,73,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,85,NA,6,3,1,2,1,2,18,11,6,25,40,75,40,NA,NA,NA,NA,1,2,3,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,1,4,1,NA,3,6,2,14,24,5,24,35,52,45,1,NA,3,1,NA,NA,2,NA,5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,55,2,14,3,NA,NA,7,NA,16,30,5,20,30,113,48,1,NA,3,NA,NA,1,NA,3,1,NA,NA,NA,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,50,2,9,3,1,3,6,6,17,25,21,28,37,100,18,1,NA,1,NA,1,NA,13,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,70,1,5,1,2,3,2,1,8,33,1,11,15,110,38,NA,NA,1,1,NA,NA,4,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,10,1,NA,2,1,3,13,1,20,58,10,17,15,110,8,1,NA,2,2,NA,NA,55,1,2,NA,NA,1,1,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,95,1,1,3,4,NA,1,NA,12,28,8,20,42,42,40,2,NA,1,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,105,1,2,1,3,NA,2,4,16,56,10,41,80,10,51,1,NA,NA,NA,NA,5,1,NA,3,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,45,1,8,4,2,6,6,6,17,45,15,33,30,100,6,2,NA,4,NA,NA,3,4,2,NA,NA,NA,2,1,NA,NA,NA,3,5,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,100,NA,NA,1,4,1,6,5,32,52,17,50,92,24,47,NA,NA,4,1,NA,2,1,NA,6,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,30,4,1,1,NA,6,11,3,13,80,15,53,73,54,2,1,NA,2,1,NA,5,3,1,NA,3,NA,2,NA,3,NA,NA,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
