"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Artemisia","Caryophyllaceae","Cyperaceae","Cichorioideae","Triticum-type","Plantago lanceolata-type","Plantago major-type","Mercurialis","Fraxinus excelsior","Pteridium","Polypodiophyta (trilete, verrucate)","Abies","Pistacia","Phillyrea","Erica","Amaranthaceae","Asteroideae","Polypodiophyta","Varia","Juniperus","Pinus","Olea","Poaceae","Quercus ilex/Q. coccifera-type","Quercus robur/Q. pubescens-type","Pediastrum simplex","Lycopodium spike","Geranium","Polygonum aviculare-type","Primulaceae","Sparganium-type","Alnus","Hedera","Fraxinus ornus","Brassicaceae","Ostrya/Carpinus orientalis","Hordeum-type","Polypodium","Platanus","Scrophulariaceae","Rumex acetosa-type","Poaceae (Cerealia-type) undiff.","Theligonum cynocrambe","Corylus","Ephedra fragilis","Sanguisorba minor-type","Asphodelus","Juglans","Rosaceae","Ulmus","Vitis","Acer","Trifolium-type","Gypsophila","Myrtus","Plantago lagopus-type","Botrychium","Fagus","Ilex","Typha","Plantago coronopus-type","Secale","Centaurea scabiosa","Lonicera","Ranunculaceae","Lamiaceae","Ranunculus acris-type","Anemone-type","Aquilegia","Scleranthus","Aster-type","Menyanthes","Polypodiophyta (trilete, psilate)","Pediastrum duplex","Salix","Apiaceae","Liliaceae","Plumbaginaceae","Carpinus betulus","Centaurea solstitialis-type","Reseda","Cistus albidus-type","Nymphaea","Myriophyllum spicatum-type","Tilia","Papaveraceae","Jasminum","Teucrium","Cistus monspeliensis","Fabaceae","Euphorbiaceae","Rhamnus","Potamogeton","Fagopyrum","Vicia-type","Pseudopediastrum boryanum","Humulus","Urtica","Castanea","Rubiaceae","Lythrum","Serratula-type","Betula","Avena-type","Alchemilla","Ilex aquifolium","Heliotropium europaeum","Scilla-type","Convolvulus arvensis","Campanulaceae","Populus","Paliurus","Picea"
-24,NA,NA,4,"1.5","1","1","1","1","1","1","1","1","1","1","1","2","2","2","3","4","4","4","4","6","6.5","11","16","19","28","226","398, 37626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19,NA,NA,16,"1.9","3","2","","1","","6","1","1","2","","","11","9","19","3","1","5","1","7","3","25.5","18","30","9","68","118","785, 37626","1","1","1","1","1","1","1","2","2","2","2","3","3","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
77,NA,NA,32,"2.3","","","","","","","","","1","2","","","2","1","","1","","","","","1.5","1","3","","7","6","79, 12542","","","","","","","","","","","","2","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
163,NA,NA,56,"2","1","","2","1","","1","","","","4","","3","1","","4","2","","","1","1","10","15","20","1","18","59","1360, 37626","1","","","","3","","","","","","","3","","2","","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
192,NA,NA,64,"2","4","3","1","","","1","","","","2","","16","","1","2","","3","3","","1","4","1","3","1","9","","1239, 37626","","","","","","","","","1","","","2","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
336,NA,NA,104,"1.9","4","1","4","9","","4","1","","","3","","7","7","12","24","","5","1","1","4","23.5","6","31","2","54","127","2451, 37626","","","","","43","","","","5","","","1","","1","1","","1","","1","","1","","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
365,NA,NA,112,"1.9","1","","","","","","","","","1","1","2","","","","","2","1","1","","1","","2","1","3","","339, 12542","","1","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
422,NA,NA,128,"1.8","2","","1","","1","2","","","","5","","9","4","","2","","2","","1","","7.5","8","24","5","32","129","2191, 37626","","","","","","","","1","2","","","2","","","","","","1","1","","","","","","1","1","","","1","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
480,NA,NA,144,"2","","1","","","","","","","","2","","","","","","","","","","1","2.5","","4","2","","","199, 37626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
508,NA,NA,152,"1.7","1","2","1","2","","","","","","16","1","37","1","7","13","1","5","9","5","","6","4","8","9","43","1","1159, 37626","","","","","","2","","1","5","","","6","","","","","","","","","1","","","","","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
555,NA,NA,165,"1.5","3","2","4","11","","4","","","1","3","","8","20","5","17","","11","2","4","2","15","45","58","27","208","16612","1305, 37626","","","","","7","","6","1","8","","","4","6","1","2","","","","","","1","2","2","1","1","","","","","","2","1","","","1","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
566,NA,NA,168,"1.8","1","","","","","","","","","4","","1","","","","","3","3","","","0.5","","2","3","2","51","363, 12542","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
595,NA,NA,176,"1.7","","","1","1","","1","","","","9","","31","","1","1","","","4","2","","6.5","","7","2","7","4","181, 12542","","2","","1","","","","","","","","3","","","","","","2","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
