"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Ericaceae","Ephedra","Poaceae (Cerealia-type)","Olea","Unknown (trilete)","Sparganium-type","Fabaceae","Tamarix","Cyperaceae","Unknown (monolete)","Plantago","Pinus","Poaceae","Asteroideae","Apiaceae","Pseudoschizaea","Amaranthaceae","Cichorioideae","Caryophyllaceae","Malvaceae","Rumex","Convolvulus","Cannabaceae","Corylus","Carpinus","Quercus robur-type","Alnus","Centaurea-type","Phillyrea","Quercus ilex-type","Lamiaceae","Lygeum-type","Thymelaea","Betula","Rosaceae","Ligustrum","Helianthemum","Ulmus","Rubiaceae","Urticaceae","Vitis","Brassicaceae","Geraniaceae","Populus","Cistus","Ranunculaceae","Juniperus","Pistacia","Polygonum","Buxus","Coriaria myrtifolia","Myriophyllum","Typha latifolia-type","Euphorbia","Tilia","Potamogeton","Dinoflagellata","Rhamnus","Lythrum","Juglans","Nuphar","Hedera","Abies"
57,161,-46,50,1,1,1,1,2,2,3,3,3,5,5,8,15,15,16,17,30,102,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,1185,824,100,3,10,NA,4,62,4,4,5,3,15,NA,28,3,46,18,20,15,53,11,1,1,1,1,1,2,2,2,3,3,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1491,1728,1241,125,3,6,NA,5,147,5,18,9,10,89,1,50,1,63,31,22,6,25,NA,1,NA,NA,NA,NA,3,1,6,2,7,4,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,2276,1654,150,5,11,NA,11,91,10,NA,7,5,24,4,9,6,35,56,6,8,41,8,2,NA,NA,NA,NA,4,NA,NA,5,NA,NA,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2448,2824,2062,175,1,18,1,3,118,2,21,6,6,24,1,27,13,65,33,37,9,53,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,45,NA,3,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2926,3371,2467,200,1,11,NA,4,108,6,29,8,13,106,NA,31,7,40,65,51,NA,15,6,3,NA,NA,NA,NA,5,NA,NA,NA,3,3,7,1,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3404,3918,2871,225,8,8,5,20,45,25,16,7,8,51,NA,169,10,59,86,32,2,5,2,4,NA,NA,NA,2,5,NA,15,2,44,NA,21,1,NA,2,NA,1,NA,NA,NA,NA,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3883,4467,3277,250,11,NA,9,8,5,23,16,8,4,19,1,133,3,50,103,19,NA,NA,3,1,NA,NA,NA,3,NA,NA,4,2,34,NA,3,1,1,NA,1,2,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361,5017,3682,275,3,2,4,19,25,8,NA,23,NA,5,1,433,15,36,67,7,1,NA,2,4,7,2,NA,NA,NA,NA,NA,NA,6,4,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,2,3,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4606,5200,3984,300,NA,4,2,2,21,28,10,24,4,1,1,163,6,16,100,6,NA,5,9,3,1,NA,NA,NA,2,NA,2,3,12,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4793,5317,4251,325,3,2,9,NA,7,8,24,NA,NA,NA,3,11,26,22,19,15,NA,9,NA,NA,NA,NA,1,NA,3,NA,2,9,1,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,138,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4979,5460,4489,350,3,1,3,10,54,27,3,58,15,NA,4,176,10,26,65,12,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,3,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,12,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5166,5620,4689,375,9,3,4,NA,3,5,17,1,NA,4,1,7,36,33,20,8,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,21,14,NA,NA,19,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,227,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5353,5833,4869,400,2,6,NA,6,17,40,2,18,5,1,6,109,16,33,56,7,NA,1,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,6,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,6,4,NA,NA,NA,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
