"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cyperus-type","Rhamnus","Dipsacoideae","cf. Juniperus","Liliaceae","Poaceae (Cerealia-type)","Myriophyllum","Equisetum","Plantago","Asteroideae","Quercus (evergreen)","Sparganium-type","Artemisia","Cyperaceae","Apiaceae","Cichorioideae","Poaceae","Pinus","Amaranthaceae","Thymelaeaceae","Erica","Triletes","Anthoceros-type","Selaginella-type","Ulmus","Ranunculaceae","Monoletes","Malvaceae","Scrophulariaceae","Lamiaceae","Ophioglossum","Corylus","Phillyrea","Botrychium-type","Urticaceae","Alnus","Olea","Tamarix","Cistaceae","Centaurea","Salix","Helianthemum","Quercus (deciduous)","Brassicaceae","Hedera","Pistacia","Carpinus","Ephedra fragilis-type","Ephedra distachya-type","Boraginaceae","Saxifragaceae","Rosaceae","Ephedraceae","Polypodium","Scabiosa","Vitis","Betula","Fabaceae","Fagus","Rubiaceae","Caryophyllaceae","Galium-type","Cistus","Lycopodium","Asphodelus","Buxus","Pteris-type","Plantago coronopus-type","Sanguisorba minor-type","Allium","Geraniaceae","Asplenium-type"
0,NA,NA,0,1,2,2,2,3,3,4,4,5,6,6,8,9,9,10,28,31,120,828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,NA,NA,10,NA,NA,NA,1,NA,1,NA,NA,NA,4,11,1,NA,2,NA,9,23,96,219,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,NA,NA,20,NA,2,2,1,NA,1,2,NA,3,6,3,5,2,NA,2,25,23,37,96,NA,NA,NA,NA,NA,1,1,1,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
658,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,3,6,3,NA,1,5,2,2,10,16,142,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
878,NA,NA,40,NA,NA,NA,7,NA,5,3,NA,6,5,16,11,2,13,3,31,27,49,215,NA,5,NA,NA,NA,NA,2,6,NA,NA,NA,4,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1097,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,NA,2,5,1,7,20,10,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1316,NA,NA,60,NA,NA,NA,13,3,4,4,NA,5,11,5,16,2,18,25,40,49,33,170,NA,12,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,5,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1536,NA,NA,70,NA,NA,NA,4,NA,1,NA,NA,5,6,13,4,4,9,17,31,23,20,76,NA,3,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1755,NA,NA,80,NA,NA,3,5,NA,2,2,NA,3,18,17,17,1,11,22,39,76,38,158,NA,11,4,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,90,NA,NA,NA,NA,NA,7,NA,NA,14,3,4,13,3,26,7,27,13,24,61,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
