"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Betula","Cichorioideae","Nymphaea","Vitis","Amaranthaceae","Filipendula","Quercus (evergreen)","Lythrum portula-type","Oxyria-type","Indeterminable (corroded)","Indeterminable (crumpled)","Unknown (trilete) undiff.","Artemisia","Pistacia","Sanguisorba minor-type","Tilia cordata-type","Indeterminable (degraded)","Indeterminable (hidden)","Nuphar","Salix","Ulmus","Fraxinus ornus","Apiaceae","Fraxinus excelsior-type","Alnus","Sparganium","Cyperaceae undiff.","Myriophyllum verticillatum","Typha latifolia-type","Corylus avellana-type","Ostrya-type","Abies","Carex","Juniperus","Polypodiophyta (monolete)","Poaceae undiff.","Quercus (deciduous)","Pinus","Spike","Liliaceae undiff.","Solidago-type","Indeterminable (broken)","Rumex undiff.","Asteroideae undiff.","Cladium","Carpinus betulus","Crassulaceae","Thalictrum","Plantago undiff.","Centaurea undiff.","Rubiaceae","Caryophyllaceae","Ephedra fragilis-type","Plantago coronopus-type","Platanus","Helleborus","Myriophyllum undiff.","Mentha-type","Rumex acetosa-type","Ranunculus-type","Brassicaceae","Ephedra distachya-type","Pediastrum","Helianthemum","Poaceae (Cerealia)","Euphorbia","Fagus","Plantago lanceolata-type","Urtica pilulifera","Cirsium","Rosaceae","Urtica undiff."
14568,NA,NA,1330,1,8,NA,NA,NA,24,NA,NA,NA,NA,1,NA,NA,42,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,27,17,NA,195,NA,14,117,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
14874,NA,NA,1350,1,9,NA,NA,NA,25,NA,NA,NA,NA,NA,2,NA,43,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,1,3,5,NA,NA,NA,NA,NA,22,14,2,189,1,15,162,NA,NA,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA
15180,NA,NA,1370,1,7,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,4,NA,NA,NA,28,11,NA,210,6,3,158,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15485,NA,NA,1390,1,3,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,2,1,8,NA,NA,NA,33,9,NA,185,4,16,301,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
16555,NA,NA,1460,1,4,NA,NA,NA,34,1,NA,NA,1,1,2,NA,55,NA,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,3,2,1,NA,NA,NA,NA,36,8,NA,196,NA,6,237,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
16861,NA,NA,1480,1,2,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,9,9,9,16,NA,NA,NA,31,5,NA,201,NA,4,151,NA,NA,4,NA,2,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
17167,NA,NA,1500,1,4,NA,3,NA,14,NA,NA,NA,1,3,2,1,26,NA,NA,NA,1,NA,NA,1,1,1,1,2,1,3,NA,7,4,1,5,3,39,8,2,195,12,21,89,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,1,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
17473,NA,NA,1520,1,1,NA,NA,NA,7,NA,NA,NA,NA,1,1,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,8,NA,1,NA,NA,34,2,NA,265,4,5,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17778,NA,NA,1540,1,3,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,4,3,NA,1,NA,NA,51,5,2,261,NA,10,127,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
18084,NA,NA,1560,1,4,NA,NA,NA,13,NA,NA,NA,NA,NA,1,NA,56,NA,NA,NA,3,NA,NA,1,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,90,NA,1,169,2,27,1002,NA,1,1,1,4,NA,NA,NA,NA,1,NA,4,1,NA,NA,NA,NA,NA,1,NA,1,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1
