"age_NA","ageolder_BP","ageyounger_BP","depth","Pollen concentration","Asteroideae","Centaurea","Pinaceae","Unknown (monolete)","Cichorioideae","Polypodium","Unknown","Pinus","Lamiaceae","Cupressaceae","Poaceae","Amaranthaceae"
NA,NA,NA,16,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2,3,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11,16,1,NA,17,NA,8,1,2,4,NA,NA,NA,NA
NA,NA,NA,20,15,NA,NA,4,15,12,NA,NA,2,1,4,NA,NA
NA,NA,NA,19,82,4,NA,80,29,20,NA,6,25,NA,NA,NA,NA
NA,NA,NA,3,12,2,NA,6,6,1,1,3,5,NA,NA,NA,NA
NA,NA,NA,18,66,2,NA,24,14,76,1,2,14,NA,NA,NA,NA
NA,NA,NA,1,119,NA,NA,28,160,17,7,11,8,NA,NA,6,NA
NA,NA,NA,14,47,1,1,23,2,52,NA,4,8,NA,NA,3,NA
NA,NA,NA,13,15,3,4,16,1,NA,1,1,2,NA,NA,2,NA
NA,NA,NA,15,80,4,NA,60,5,60,4,16,9,NA,NA,3,NA
NA,NA,NA,17,42,2,NA,30,1,30,4,5,10,NA,NA,1,1
