"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pseudopediastrum boryanum","Castanea","Geum-type","Cichorioideae","Sagittaria","Xanthium","Pistacia","Ranunculus","Plantago major-type","Papaver","Convolvulus","Capsella-type","Centaurea solstitialis-type","Ephedra distachya-type","Ephedra fragilis-type","Paliurus","Betula","Nuphar","Asteroideae","Persicaria maculosa-type","Poaceae (Cerealia-type)","Polypodium","Caryophyllaceae","Nymphaea","Ulmus","Populus","Juniperus","Nymphoides","Olea","Pteridium","Juglans","Alisma","Myriophyllum alterniflorum","Polygonum aviculare-type","Tilia","Plantago lanceolata-type","Artemisia herba-alba-type","Poterium sanguisorba","Apiaceae","Isoëtes","Abies","Ericaceae","Amaranthaceae","Rumex acetosa-type","Dryopteris-type","Alnus","Fagus","Fraxinus ornus","Sparganium-type","Brassica-type","Carpinus betulus","Corylus","Unknown","Quercus ilex","Cyperaceae","Pinus","Ostrya/Carpinus orientalis","Poaceae","Myriophyllum spicatum/M. verticillatum","Quercus robur-type","Acer","Liliaceae","Ranunculaceae","Rosaceae","Helianthemum","Lotus-type","Hypericum perforatum-type","Thalictrum","Galium-type","Matricaria-type","Fallopia convolvulus-type","Platanus","Vitis","Lysimachia","Malva","Butomus umbellatus","Trifolium-type","Plantago media-type","Fraxinus excelsior","Ranunculus repens-type","Thymus/Mentha","Ranunculus sect. Batrachium-type","Crataegus-type","Typha latifolia","Stachys-type","Phillyrea angustifolia","Ophioglossum","Lythrum","Plantago undiff.","Fabaceae","Rumex hydrolapathum","Menyanthes trifoliata","Potamogeton","Humulus/Cannabis","Mercurialis","Clematis-type","Artemisia vulgaris-type","Colchicum","Calligonum","Equisetum","Cornus","Ranunculus sceleratus-type","Persicaria amphibia","Hedera","Centaurea cyanus-type","Asphodelus albus-type","Scilla-type","Cladium mariscus","Muscari","Scorzonera-type","Ranunculus circinatus","Helleborus","Viburnum-type","Oleaceae","Campanula-type","Plantago coronopus-type","Plantago maritima-type","Abutilon","Centaurea scabiosa-type","Bupleurum-type","Centaurea jacea-type","Potentilla-type","Pediastrum duplex","Rhinanthus-type","Teucrium","Scrophularia/Verbascum","Onobrychis-type","Salix","Ranunculus acris","Pediastrum divergens","Urtica","Pediastrum longicorne","Valeriana","Knautia","Allium","Solanum dulcamara","Boraginaceae","Euphorbia","Trifolium pratense","Geraniaceae","Centaurea undiff.","Salvinia","Thelypteris palustris","Monactinus simplex","Pseudopediastrum kawraiskyi","Filipendula","Ilex","Buxus","Sphagnum","Cistaceae","Taxus","Pseudopediastrum brevicorne","Lemna","Geranium","Hippophaë","Caltha","cf. Lycopodium","Armeria/Limonium","Saxifraga rotundifolia","Cirsium/Gundelia","Senecio-type","Scabiosa","Noaea-type","Lonicera","Linum","Utricularia","Hippuris","Aquilegia-type","Epilobium","Azolla","Erodium","Herniaria-type","Sambucus nigra-type","Fraxinus","Juniperus sabina","Myosotis","Adonis","Nigella","Lamiaceae","Dipsacoideae","Leontice leontopetalum","Saxifraga oppositifolia","Dipsacus-type","Genista-type","Spergularia-type","Rhamnaceae","Botrychium","Picea","Stratiotes","Symphytum-type","Echinops","Acorus calamus","Cistus","Viscum","Succisa","Brassicaceae","Rumex patientia var. kurdicus","Delphinium-type","Rhus","Vicia-type","Matthiola"
2378,2713,2042,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,7,7,8,8,8,8,8,13,14,16,18,20,27,32,36,43,58,70,98,156,186,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2716,3043,2395,80,NA,NA,NA,3,NA,NA,1,2,NA,NA,NA,NA,2,NA,NA,NA,1,NA,4,2,1,NA,5,8,1,NA,NA,1,1,8,NA,21,NA,14,3,1,6,NA,9,9,3,6,11,3,2,7,2,6,25,1,4,12,25,29,130,49,51,116,40,199,1,1,1,1,1,1,1,2,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3224,3538,2912,95,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,9,1,NA,NA,3,8,6,NA,1,NA,1,4,1,39,NA,58,1,4,5,2,12,2,6,19,12,1,6,13,3,11,39,6,4,25,23,41,118,89,76,159,29,203,1,NA,1,NA,NA,NA,1,3,NA,4,39,1,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3562,3875,3255,105,3,NA,NA,12,NA,1,1,1,NA,NA,NA,5,1,NA,NA,NA,NA,NA,9,3,3,NA,5,32,8,NA,2,NA,1,5,NA,15,NA,19,2,1,11,NA,19,1,8,10,15,3,5,8,6,7,65,6,9,9,26,20,157,96,92,347,21,286,1,NA,NA,1,NA,NA,NA,1,1,2,NA,NA,2,NA,NA,3,NA,1,NA,2,NA,7,1,1,1,1,1,2,6,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3901,4217,3593,115,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,1,2,NA,1,NA,NA,NA,11,3,1,1,1,24,3,NA,1,NA,3,1,NA,16,NA,34,1,2,20,1,32,6,6,12,15,1,8,13,5,7,49,3,14,19,29,32,104,74,89,109,33,193,1,NA,NA,NA,NA,NA,NA,1,2,4,7,NA,1,NA,NA,2,NA,NA,NA,5,5,NA,NA,NA,NA,2,NA,NA,1,3,1,1,1,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4239,4560,3923,125,2,NA,NA,9,NA,NA,NA,3,NA,NA,NA,3,3,NA,1,NA,NA,NA,3,NA,11,NA,5,56,7,NA,NA,NA,2,15,NA,70,NA,17,2,8,3,1,15,1,5,3,16,NA,1,4,4,3,141,6,2,7,26,1,336,73,65,265,21,154,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,2,1,NA,5,NA,NA,NA,NA,2,6,NA,2,1,NA,1,2,NA,NA,2,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4408,4733,4086,130,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,1,12,1,6,NA,2,53,4,NA,NA,NA,2,12,NA,12,NA,8,NA,3,13,NA,23,1,1,13,18,1,5,4,NA,3,136,NA,5,19,25,10,103,61,46,123,38,146,NA,NA,NA,1,NA,NA,NA,2,4,2,2,NA,5,NA,NA,1,NA,1,NA,3,NA,NA,1,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4645,4978,4313,137,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,3,1,NA,NA,1,19,5,NA,NA,NA,1,3,NA,3,NA,NA,4,NA,3,2,7,8,16,5,11,NA,8,2,3,2,41,5,6,11,10,NA,32,53,36,92,20,117,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5085,5442,4730,150,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,10,3,2,2,26,3,NA,NA,NA,NA,2,NA,4,NA,3,3,1,2,2,4,6,16,2,6,NA,5,3,8,NA,16,NA,6,11,15,4,59,105,43,114,19,132,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,2,7,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5490,5818,5161,160,NA,NA,NA,2,1,NA,NA,5,1,NA,NA,2,5,NA,1,NA,NA,1,6,NA,4,2,NA,24,7,1,NA,NA,3,11,1,5,NA,9,6,10,3,3,16,32,7,10,14,1,8,8,7,7,21,4,13,19,30,7,159,58,79,215,92,235,NA,NA,2,1,NA,NA,NA,NA,1,3,4,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5960,6229,5692,170,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,1,9,2,1,NA,4,6,4,NA,2,NA,NA,2,NA,3,NA,28,44,2,9,NA,29,6,NA,2,20,NA,14,2,1,1,2,11,NA,28,119,4,40,13,62,77,55,268,NA,NA,2,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6431,6666,6189,180,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,5,1,2,NA,NA,NA,5,1,7,3,3,NA,21,NA,1,NA,NA,51,NA,2,2,36,44,NA,6,4,23,1,3,2,9,NA,30,5,NA,6,18,4,9,63,10,2,25,30,138,125,59,112,NA,NA,NA,NA,NA,NA,NA,1,1,7,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6901,7126,6641,190,3,NA,NA,17,NA,NA,9,NA,NA,NA,NA,11,7,NA,NA,NA,NA,NA,15,NA,10,NA,13,16,16,NA,3,NA,NA,9,NA,13,NA,21,23,NA,7,1,16,NA,19,NA,20,3,8,5,3,3,26,3,7,34,105,1,146,60,86,461,44,316,2,1,NA,NA,NA,NA,1,4,1,3,NA,NA,1,NA,NA,9,NA,NA,3,2,4,1,NA,1,NA,NA,1,2,7,4,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
