"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pseudopediastrum boryanum","Fagus","Polygonum aviculare-type","Apiaceae","Lysimachia","Galium-type","Olea","Delphinium-type","Cirsium/Gundelia","Matricaria-type","Myriophyllum spicatum/M. verticillatum","Unknown","Thelypteris palustris","Artemisia","Nymphaea","Juniperus","Centaurea cyanus-type","Maianthemum","Capsella-type","Quercus pubescens-type","Rumex acetosa-type","Quercus coccifera-type","Anthericum-type","Caryophyllaceae","Poaceae (Cerealia-type)","Brassica-type","Dryopteris-type","Butomus umbellatus","Ranunculus repens-type","Asteroideae","Cedrus","Poaceae","Cichorioideae","Centaurea solstitialis-type","Sparganium-type","Amaranthaceae","Pinus","Cyperaceae","Carya","Ulmus","Juglans","Plantago lanceolata-type","Ephedra fragilis-type","Turgenia-type","Abies","Potentilla-type","Alnus","Fabaceae","Malva","Betula","Picea","Iris","Centaurea scabiosa-type","Ostrya/Carpinus orientalis","Pteris","Lomelosia rotata-type","Convolvulus","Elaeagnus","Euphorbia","Utricularia","Equisetum","Helianthemum","Ephedra distachya-type","Pteridium","Corylus","Ericaceae","Salix","Typha latifolia","Linum","Noaea-type","Arctium/Jurinea","Cheilanthes","Erodium","Rhus","Tilia","Vitis","Hypericum perforatum-type","Armeria/Limonium","Fraxinus ornus","Geranium","Senecio-type","Asphodelus fistulosus-type","Carthamus","Cornus sanguinea","Thymus/Mentha","Asphodeline","Anemone","Valerianella","Polypodium","Dipsacus-type","Hibiscus","Phillyrea","Aesculus","Acer","Humulus/Cannabis","Thalictrum","Myrica","Urtica","Asparagus-type","Taxus","Nigella","Isoëtes","Myriophyllum alterniflorum","Chrozophora","Carpinus betulus","Onopordum-type","Rumex undiff.","Sanguisorba-type","Spergula","Jasione-type","Botrychium","Knautia","Rumex hydrolapathum","Platanus","Populus","Vicia-type","Datisca","Sphagnum","Fagopyrum","Solanum dulcamara"
147,615,-307,10,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,5,5,5,6,7,8,10,13,16,18,29,40,42,50,79,111,192,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,792,-46,25,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,5,1,NA,NA,NA,2,1,NA,3,NA,4,4,1,2,NA,3,21,16,47,78,96,93,190,158,240,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591,970,214,40,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,5,NA,2,NA,NA,NA,1,NA,1,NA,2,1,NA,10,1,NA,65,49,37,240,233,33,179,283,42,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,1210,557,60,NA,NA,2,2,NA,3,NA,1,NA,NA,NA,1,NA,6,NA,1,NA,NA,NA,NA,NA,1,NA,2,10,1,21,1,NA,68,119,71,188,305,56,202,402,55,3,1,NA,1,NA,NA,3,NA,1,NA,NA,1,1,1,1,1,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1183,1457,898,80,NA,1,2,5,NA,1,NA,NA,NA,2,NA,1,NA,20,1,NA,NA,NA,NA,NA,NA,3,NA,1,8,NA,78,NA,NA,75,282,19,100,145,110,25,553,106,11,2,3,1,2,NA,6,NA,3,1,NA,5,2,NA,1,1,1,5,NA,21,1,1,1,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,1648,1151,95,NA,1,4,3,NA,NA,NA,NA,NA,4,NA,NA,NA,13,3,NA,NA,NA,NA,1,NA,6,NA,3,2,1,23,3,5,56,143,15,90,66,84,34,317,103,4,2,2,1,1,1,5,NA,5,NA,NA,1,1,NA,1,2,1,3,NA,10,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1628,1844,1402,110,NA,1,2,1,NA,1,NA,NA,NA,1,2,1,NA,38,5,1,NA,1,NA,5,NA,9,NA,2,4,6,8,2,6,24,289,26,37,68,100,13,375,351,12,2,13,1,NA,1,13,NA,2,NA,NA,NA,NA,NA,2,1,NA,4,NA,4,NA,NA,NA,8,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,2111,1724,130,NA,NA,8,10,NA,2,NA,NA,6,8,7,NA,NA,66,3,NA,NA,NA,NA,1,NA,4,NA,26,32,12,22,8,89,126,89,49,109,181,151,17,302,177,6,3,7,NA,2,NA,2,NA,5,2,NA,NA,NA,NA,4,NA,NA,4,1,2,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,NA,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2072,2247,1880,140,NA,1,16,6,NA,2,NA,NA,7,2,19,3,NA,26,16,1,NA,NA,NA,6,NA,6,NA,10,17,7,26,3,28,84,143,83,139,111,111,36,257,1414,2,3,3,NA,NA,NA,2,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,3,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2220,2389,2037,150,NA,NA,10,5,NA,NA,NA,2,2,2,2,NA,NA,66,NA,1,NA,NA,NA,2,1,NA,NA,11,13,NA,23,NA,5,89,82,25,104,166,31,47,268,155,NA,1,1,1,3,NA,2,NA,2,5,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
