Depth (cm),Acacia/Parkia,Acioa,Alchornea,Amaranthaceae/Chenopodiaceae,Amaryllidaceae,Ambrosia-type,Apocynaceae,Artemisia,Balanites,Caesalpinioideae,Calligonum,Canthium,Cassia-type,Celastraceae/Hippocrateaceae,Celtis (Africa),Cissus,Combretaceae/Melastomataceae,Commelinaceae,Commiphora,Compositae Liguliflorae,Compositae Tubuliflorae,Crossopteryx,Cyperaceae,Drypetes molunduana,Elaeis guineensis,Ephedra distachya-type,Ephedra fragilis-type,Euphorbia,Euphorbiaceae,Fern spores,Gramineae,Heliotropium,Hymenocardia,Indeterminata/Varia,Indigofera-type,Lannea,Liliaceae,Maerua-type,Manilkara,Meliaceae,Mimosoideae,Monolete spores,Monolete verrucate spores,Mussaenda,Nyctaginaceae,Papilionoideae,Pinus,Plantago,Polygala,Ptychopetalum,Rhizophora,Rhus,Rubiaceae,Rubiaceae monade,Sapindaceae,Sterculiaceae,Tribulus,Trichodesma,Trilete spores,Typha angustifolia-type,Uapaca,Ulmaceae,Umbelliferae,Zygophyllum
79,,,2,27,,,,47,2,,1,,,,,,12,,,,5,,9,1,1,1,10,,1,9,276,,1,2,2,,,,,,,3,,,1,1,,1,1,,1,,,2,,1,,1,6,1,3,,1,
96.800003,,,1,17,,,1,13,,6,,1,1,1,9,1,14,,,1,6,3,22,,1,,2,,,19,271,1,7,4,2,,1,,2,4,1,8,,1,,,2,1,,1,,1,,,1,2,,,11,8,5,,,
112.300003,2,1,2,23,2,2,,9,3,4,5,,2,,,,9,1,1,4,1,,34,,2,1,43,1,1,14,271,,2,7,,2,2,2,,2,,6,1,,,,6,,,,,,2,,,,2,,7,3,,1,,1
