"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Typha/Sparganium","Ranunculaceae","Cistus","Cedrus","Quercus (deciduous)","Cyperaceae","Juniperus","Poaceae (Cerealia-type)","Pistacia","Poaceae","Valerianoideae","Scabiosa","Quercus (evergreen)","Helianthemum","Ephedra","Artemisia","Asteraceae","Amaranthaceae","Pinus","Apiaceae","Liliaceae","Fabaceae","Olea","Solanaceae","Rhamnus","Alismataceae","Caryophyllaceae","Ulmus","Centaurea","Corylus","Plantago","Brassicaceae","Fraxinus","Populus","Alnus","Carpinus betulus","Lamiaceae","Ericaceae","Juglans","Malvaceae"
512.973,NA,NA,260,1,1,2,3,3,4,4,4,5,7,8,9,9,13,15,28,52,88,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
536.6486,NA,NA,272,2,2,3,4,4,4,10,11,7,8,5,5,15,11,12,25,45,72,61,1,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
562.2973,NA,NA,285,10,7,6,15,10,34,14,32,16,16,NA,NA,1,4,NA,9,26,33,40,2,3,NA,5,NA,NA,2,9,1,1,2,2,3,5,6,NA,NA,NA,NA,NA,NA
591.8919,NA,NA,300,6,6,NA,17,18,25,NA,26,6,9,NA,NA,NA,5,NA,5,21,37,61,NA,4,1,17,NA,NA,5,5,3,2,1,NA,6,2,19,1,1,2,NA,NA,NA
623.4595,NA,NA,316,5,4,2,9,12,16,9,21,5,15,NA,NA,2,5,NA,10,37,32,61,NA,3,NA,13,NA,1,4,13,8,5,NA,NA,5,1,11,2,NA,NA,NA,NA,NA
674.7568,NA,NA,342,3,13,2,13,12,22,5,5,18,4,NA,1,3,NA,NA,7,20,35,85,NA,NA,2,11,NA,2,3,1,4,NA,NA,1,NA,5,8,2,NA,1,NA,NA,NA
690.5405,NA,NA,350,12,12,NA,15,3,24,2,11,12,5,NA,NA,4,3,NA,12,30,19,55,NA,4,13,8,6,2,9,5,3,7,1,3,3,1,11,6,NA,1,1,4,NA
710.2703,NA,NA,360,2,4,1,3,10,19,NA,42,13,25,NA,NA,1,NA,NA,13,12,21,52,NA,3,14,20,1,6,7,2,NA,8,1,6,10,4,5,4,1,NA,NA,7,NA
730,NA,NA,370,11,8,5,4,9,24,7,45,13,14,NA,NA,6,4,1,12,22,20,60,NA,NA,11,18,7,NA,6,6,4,7,NA,6,9,1,10,1,NA,NA,NA,11,NA
842.3405,NA,NA,380,5,11,NA,29,5,28,11,37,8,23,NA,NA,4,5,NA,7,37,17,45,NA,NA,12,12,6,2,8,9,NA,1,1,2,3,NA,3,4,2,NA,NA,5,NA
954.6808,NA,NA,390,13,15,2,5,15,46,5,33,11,11,NA,NA,3,5,1,6,16,21,75,NA,NA,3,6,NA,1,3,2,8,1,1,4,NA,3,14,3,NA,1,NA,NA,NA
1067.021,NA,NA,400,11,14,NA,11,11,30,5,35,21,19,NA,NA,1,5,NA,4,19,38,51,NA,6,4,4,4,5,8,2,9,NA,NA,NA,NA,1,7,2,NA,2,NA,NA,NA
1123.192,NA,NA,405,3,5,6,10,8,11,9,26,31,4,NA,2,14,15,NA,3,22,109,71,1,NA,3,7,NA,2,13,3,2,1,1,NA,1,NA,3,1,NA,1,NA,NA,NA
1179.362,NA,NA,410,9,8,1,9,8,13,9,19,14,19,NA,2,11,4,NA,6,13,66,78,NA,8,4,11,NA,4,7,1,NA,1,NA,NA,1,NA,4,1,NA,2,NA,NA,NA
1404.043,NA,NA,430,2,2,3,4,4,4,NA,11,7,8,5,5,15,11,12,25,45,72,61,1,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1684.894,NA,NA,455,5,5,11,14,7,11,6,29,10,10,NA,NA,13,2,NA,12,58,37,40,NA,1,4,5,1,4,7,14,1,6,NA,3,NA,1,1,4,NA,2,NA,NA,NA
1741.064,NA,NA,460,4,4,5,15,9,12,13,21,5,22,NA,1,11,1,NA,29,53,40,45,NA,1,1,3,NA,3,13,13,2,NA,1,2,NA,2,6,NA,NA,1,NA,NA,NA
1853.404,NA,NA,470,2,3,8,15,7,11,10,22,15,6,1,NA,11,9,NA,45,41,49,48,NA,4,2,6,NA,3,12,4,NA,3,2,2,1,1,7,NA,NA,NA,NA,NA,NA
1965.745,NA,NA,480,3,4,2,1,8,15,12,36,20,10,NA,1,14,NA,NA,58,33,44,72,NA,NA,NA,12,2,5,9,4,NA,2,NA,1,1,2,9,1,NA,NA,NA,NA,NA
2078.085,NA,NA,490,4,3,7,11,6,13,11,32,15,7,NA,6,12,2,1,50,19,97,71,NA,3,6,11,NA,4,11,NA,NA,1,NA,NA,NA,2,9,1,1,1,NA,NA,NA
2190.426,NA,NA,500,4,1,6,13,7,11,9,25,19,4,NA,1,17,15,1,14,26,98,78,NA,3,3,5,1,6,16,3,3,NA,NA,NA,3,2,3,NA,NA,2,NA,NA,NA
2302.766,NA,NA,510,11,7,5,16,5,17,6,27,10,11,NA,6,17,11,NA,14,37,59,39,NA,6,3,6,NA,6,9,4,NA,NA,NA,2,NA,NA,6,3,NA,NA,NA,NA,NA
2415.106,NA,NA,520,3,5,6,10,8,11,9,26,31,4,NA,2,14,15,NA,3,22,109,75,1,NA,3,7,NA,2,13,3,2,1,1,NA,1,NA,3,1,NA,1,NA,NA,NA
2527.447,NA,NA,530,9,8,1,9,8,13,9,19,14,19,NA,2,11,4,NA,6,13,66,83,NA,8,4,11,NA,4,7,1,NA,1,NA,NA,1,NA,4,1,NA,2,NA,NA,NA
2583.617,NA,NA,535,7,7,4,14,7,11,11,25,14,6,NA,5,18,2,NA,16,14,99,32,NA,7,7,7,NA,2,9,5,2,NA,1,NA,2,5,5,1,NA,NA,NA,NA,NA
2639.787,NA,NA,540,13,4,3,13,11,17,12,26,14,9,NA,NA,9,2,1,6,40,22,45,3,2,8,2,NA,2,7,6,2,3,1,7,4,1,7,3,NA,1,NA,NA,NA
2707.191,NA,NA,546,6,4,NA,16,9,19,8,22,13,22,NA,2,11,NA,NA,2,18,21,52,2,7,7,2,2,6,8,7,6,4,NA,6,8,NA,8,3,NA,11,NA,NA,NA
2740.894,NA,NA,549,15,2,NA,13,11,19,7,17,17,14,1,1,9,NA,2,10,15,30,60,4,3,6,4,NA,4,7,6,4,3,2,3,7,3,11,6,NA,7,NA,NA,NA
2808.298,NA,NA,555,3,4,3,13,8,4,10,5,11,11,NA,1,2,1,11,36,25,63,51,NA,1,3,5,NA,NA,3,7,2,NA,NA,3,1,NA,1,3,NA,1,1,NA,NA
