"age_NA","ageolder_BP","ageyounger_BP","depth","Ostrya-type","Ephedra distachya","Quercus","Apiaceae","Pinus","Rubiaceae","Amaranthaceae","Artemisia","Juniperus-type","Poaceae","Ulmus","Alnus","Hippophaë","Ephedra fragilis","Betula","Fagus","Abies","Acer","Salix","Corylus","Buxus","Carpinus betulus","Picea","Tilia","Fraxinus","Hedera","Taxus"
NA,NA,NA,1928,NA,4,25,1,37,8,21,30,3,122,1,7,NA,1,2,8,14,NA,NA,1,NA,2,1,1,NA,NA,NA
NA,NA,NA,2305,2,NA,33,3,27,5,5,27,5,116,1,3,NA,1,7,2,NA,1,2,1,NA,NA,1,1,NA,NA,NA
NA,NA,NA,2505,NA,1,34,1,20,3,30,33,26,77,5,33,2,NA,3,15,34,2,NA,1,NA,3,NA,1,NA,NA,NA
NA,NA,NA,1945,NA,NA,66,4,55,5,3,19,3,72,3,4,NA,1,5,25,29,4,NA,1,NA,5,NA,1,1,NA,NA
NA,NA,NA,2665,NA,NA,110,1,34,1,4,6,4,76,14,25,NA,NA,2,15,7,4,1,2,NA,3,1,NA,3,NA,NA
NA,NA,NA,2485,NA,NA,22,4,17,2,16,6,36,82,2,16,NA,NA,5,12,24,1,NA,NA,NA,3,1,NA,2,1,1
NA,NA,NA,2620,1,NA,50,7,32,4,2,9,NA,95,16,7,NA,1,10,29,44,6,NA,2,NA,9,1,NA,2,NA,NA
NA,NA,NA,2065,1,1,46,2,30,3,22,26,NA,117,6,2,NA,1,13,14,33,3,1,NA,NA,1,NA,NA,1,NA,NA
NA,NA,NA,1965,NA,1,79,4,50,3,7,13,10,71,1,NA,NA,1,34,7,6,1,2,NA,NA,NA,3,1,1,NA,NA
NA,NA,NA,2265,NA,1,71,4,44,6,10,25,3,133,4,1,NA,NA,7,13,1,NA,1,2,1,1,NA,1,3,NA,NA
NA,NA,NA,2725,1,NA,123,6,19,4,11,9,NA,57,7,92,NA,NA,1,40,30,2,2,NA,2,4,NA,1,5,NA,5
NA,NA,NA,1939,1,NA,38,4,25,6,25,29,9,107,3,7,1,NA,5,4,13,NA,NA,1,NA,2,2,NA,1,1,NA
NA,NA,NA,2075,NA,1,36,2,38,8,13,15,2,91,5,3,NA,1,2,7,28,1,1,2,NA,3,2,NA,NA,NA,NA
NA,NA,NA,2045,1,1,54,12,109,8,28,31,1,185,1,4,1,1,2,6,12,1,NA,NA,NA,3,NA,2,NA,NA,NA
NA,NA,NA,2085,1,NA,55,5,50,4,9,24,3,92,4,1,1,1,13,9,35,1,NA,3,NA,3,2,NA,NA,NA,NA
NA,NA,NA,2155,NA,1,52,3,57,8,7,12,9,90,6,NA,1,2,18,11,1,4,NA,1,1,1,1,NA,NA,1,NA
NA,NA,NA,2645,1,NA,114,NA,18,3,1,6,1,61,25,48,NA,2,2,27,31,8,NA,1,2,11,NA,NA,8,2,3
NA,NA,NA,2625,NA,1,51,2,28,6,7,9,1,67,10,6,NA,NA,31,11,16,3,1,NA,1,3,NA,1,3,1,NA
NA,NA,NA,2135,1,NA,77,1,41,1,6,7,3,55,13,2,NA,1,17,19,20,4,1,2,NA,7,NA,5,2,1,NA
