"age_NA","ageolder_BP","ageyounger_BP","depth","Artemisia","Caryophyllaceae","Juglans","Plantago","Typha","Polypodium","Corylus","Tsuga","Botryococcus","Cyperaceae","Ericaceae","Asteraceae","Abies","Algae (Inaperturate spC1)","Amaranthaceae","Quercus (evergreen)","Quercus (deciduous)","Poaceae","Pinus","Olea","Anthoceris/Isotoma","Alnus","Ephedra","Picea","Plumbaginaceae","Cistaceae","Sparganium","Helianthemum","Ostrya/Carpinus orientalis","Ranunculaceae","Cupressaceae","Fungi","Dinoflagellata","Celtis","Sanguisorba","Centaurea","Brassicaceae","Sigmopollis","Knautia","Acer","Ulmus","Algae","Lythrum","Euphorbiaceae","Indeterminable","Fagus","Rumex","Thalictrum","Hippophaë","Zelkova","Betula","Algae (Inaperturate spC)","Liliaceae","Valeriana","Cedrus","Sphagnum","Lycopodium","Unknown (monolete)","Araliaceae","Malvaceae","Fraxinus","Pistacia","Osmundaceae","Anogramma","Polygonaceae","Asparagales","Unknown","Dryopteris","Turgenia","Linum","Erodium","Dipsacales","Apiaceae","Alismataceae","Centranthus","Cathaya","Riccia","Scabiosa","Armeria","Unknown (monolete, psilate)","Lamiaceae","Rosaceae","Castanea","Sagittaria","Fabaceae","Sideritis","Lemna","Myrica","Arceuthobium","Carya","Geranium","Rhamnus","Cryptogramma","Buxus","Selaginella","Carpinus betulus","Eucommia","Parrotia","Euphrasia","Parthenocissus","Solanaceae","Daphne","Iridaceae/Liliaceae","Potamogeton","Phlomis","Polygalaceae","Salix","Pterocarya","Unknown (trilete)","Hamamelidaceae","Viscum album","Scrophularia","Unknown (trilete, psilate)","Cicatricosisporites","Filipendula","Populus","Ilex aquifolium","Saxifraga","Coriaria","Boraginaceae","Epilobium","Rubiaceae","Tamarix","Drosera","Asplenium","Verbenaceae"
NA,NA,NA,76.58,97,2,NA,2,NA,NA,1,2,NA,12,NA,18,1,NA,55,12,11,66,165,NA,NA,NA,18,12,1,NA,NA,NA,NA,NA,6,7,96,7,NA,NA,2,29,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,66.24,62,1,NA,1,3,NA,NA,NA,1,15,NA,12,11,80,96,4,18,53,224,NA,NA,NA,19,1,NA,1,NA,NA,NA,NA,3,9,851,NA,1,NA,NA,NA,NA,NA,NA,11,NA,1,NA,NA,NA,NA,NA,NA,1,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,101.79,93,3,1,1,NA,NA,NA,NA,3,1,40,35,3,NA,45,29,12,43,360,NA,NA,NA,NA,13,3,3,NA,NA,3,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,21.43,60,NA,2,1,NA,NA,1,NA,NA,6,NA,30,2,17,45,100,29,85,37,1,NA,NA,NA,NA,3,1,NA,NA,NA,1,3,NA,55,NA,1,NA,NA,NA,NA,NA,2,60,NA,NA,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,24.22,16,NA,2,NA,NA,NA,NA,NA,NA,5,6,24,3,49,71,31,24,50,317,1,NA,1,2,1,1,3,NA,NA,1,NA,5,10,148,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,17.8,10,1,NA,NA,NA,NA,NA,1,1,2,1,46,23,24,25,62,91,59,395,1,NA,NA,NA,6,8,NA,NA,1,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,91.09,174,1,NA,1,NA,NA,NA,NA,3,8,NA,19,NA,NA,47,NA,3,71,64,2,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,5,4,1,NA,NA,3,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,19.07,27,NA,NA,NA,NA,NA,NA,NA,NA,2,5,14,1,147,29,55,19,50,139,3,NA,NA,1,NA,1,3,NA,NA,5,1,NA,7,338,1,2,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,18.24,4,1,NA,NA,NA,NA,NA,1,4,7,17,51,8,17,49,49,81,61,740,NA,NA,NA,NA,NA,3,4,NA,NA,NA,7,NA,4,207,NA,1,11,NA,NA,NA,NA,NA,9,NA,NA,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,84.67,45,1,NA,2,1,NA,1,NA,NA,2,2,17,10,NA,25,31,51,43,462,1,NA,NA,NA,41,2,NA,NA,NA,NA,NA,5,3,NA,1,NA,NA,NA,130,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
