"age_NA","ageolder_BP","ageyounger_BP","depth","Artemisia","Caryophyllaceae","Juglans","Plantago","Typha","Polypodium","Corylus","Tsuga","Botryococcus","Cyperaceae","Ericaceae","Asteraceae","Abies","Algae (Inaperturate spC1)","Amaranthaceae","Quercus (evergreen)","Quercus (deciduous)","Poaceae","Pinus","Olea","Anthoceris/Isotoma","Alnus","Ephedra","Picea","Plumbaginaceae","Cistaceae","Sparganium","Helianthemum","Ostrya/Carpinus orientalis","Ranunculaceae","Cupressaceae","Fungi","Dinoflagellata","Celtis","Sanguisorba","Centaurea","Brassicaceae","Sigmopollis","Knautia","Acer","Ulmus","Algae","Lythrum","Euphorbiaceae","Indeterminable","Fagus","Rumex","Thalictrum","Hippophaë","Zelkova","Betula","Algae (Inaperturate spC)","Liliaceae","Valeriana","Cedrus","Sphagnum","Lycopodium","Unknown (monolete)","Araliaceae","Malvaceae","Fraxinus","Pistacia","Osmundaceae","Anogramma","Polygonaceae","Asparagales","Unknown","Dryopteris","Turgenia","Linum","Erodium","Dipsacales","Apiaceae","Alismataceae","Centranthus","Cathaya","Riccia","Scabiosa","Armeria","Unknown (monolete, psilate)","Lamiaceae","Rosaceae","Castanea","Sagittaria","Fabaceae","Sideritis","Lemna","Myrica","Arceuthobium","Carya","Geranium","Rhamnus","Cryptogramma","Buxus","Selaginella","Carpinus betulus","Eucommia","Parrotia","Euphrasia","Parthenocissus","Solanaceae","Daphne","Iridaceae/Liliaceae","Potamogeton","Phlomis","Polygalaceae","Salix","Pterocarya","Unknown (trilete)","Hamamelidaceae","Viscum album","Scrophularia","Unknown (trilete, psilate)","Cicatricosisporites","Filipendula","Populus","Ilex aquifolium","Saxifraga","Coriaria","Boraginaceae","Epilobium","Rubiaceae","Tamarix","Drosera","Asplenium","Verbenaceae"
NA,NA,NA,85.01,53,NA,NA,2,NA,NA,NA,NA,NA,1,1,25,33,NA,15,87,40,49,700,NA,NA,NA,1,21,4,1,NA,1,2,NA,2,2,NA,3,NA,NA,NA,40,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,86.88,60,NA,1,NA,NA,NA,2,NA,NA,1,1,39,3,NA,11,71,34,44,191,3,NA,NA,NA,6,NA,NA,NA,NA,NA,4,23,8,292,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,50.53,124,2,NA,NA,NA,NA,NA,NA,223,12,1,62,NA,NA,23,2,3,34,1137,NA,NA,NA,23,12,3,NA,NA,NA,NA,NA,2,1,16,NA,NA,1,NA,65,1,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,105.77,52,NA,NA,NA,8,NA,NA,NA,4,4,2,17,39,5,22,66,16,59,1475,NA,NA,2,NA,3,2,NA,1,NA,NA,1,6,1,1,NA,NA,NA,NA,21,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,44.11,63,3,1,1,2,NA,NA,NA,68,9,5,31,NA,7,26,19,38,94,86,2,NA,NA,2,NA,NA,NA,NA,1,NA,3,8,2,62,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,101.41,102,1,2,1,NA,NA,NA,NA,NA,3,10,21,NA,NA,46,23,11,75,403,NA,NA,NA,NA,9,4,2,NA,NA,NA,NA,3,3,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,98.49,170,2,NA,NA,NA,1,NA,1,2,7,NA,49,NA,5,15,6,17,26,303,3,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,9,3,3,NA,1,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,97.7,156,NA,NA,NA,NA,NA,NA,NA,2,6,NA,36,2,NA,13,11,19,16,516,2,NA,NA,NA,24,6,NA,NA,NA,1,2,13,4,NA,NA,NA,1,NA,13,2,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,28.42,28,NA,5,2,1,NA,NA,NA,1,NA,4,52,7,33,42,83,41,91,53,NA,NA,1,NA,1,6,NA,NA,1,NA,1,7,1,770,NA,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,114.07,120,NA,1,3,1,NA,NA,NA,120,3,21,62,4,NA,31,22,16,55,109,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,9,7,4,NA,1,NA,8,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,85.35,92,1,NA,NA,3,NA,NA,NA,NA,NA,7,28,8,NA,25,48,69,34,112,3,NA,NA,1,4,3,1,NA,NA,2,2,1,4,NA,1,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,93.73,39,1,2,1,NA,NA,NA,3,NA,4,1,12,32,NA,29,40,26,45,1773,NA,NA,NA,NA,60,2,NA,1,NA,NA,NA,4,1,31,1,NA,2,NA,30,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,137.16,34,1,NA,3,NA,NA,NA,NA,12,1,15,39,14,NA,66,43,23,36,253,1,NA,NA,NA,66,4,8,NA,5,NA,NA,2,8,11,2,NA,1,2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,65.9,58,1,NA,3,NA,NA,NA,NA,1,6,3,27,9,NA,42,16,17,83,410,NA,NA,NA,20,6,NA,NA,2,NA,NA,NA,NA,3,23,NA,NA,NA,1,13,NA,NA,1,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,122.93,80,1,NA,2,1,NA,NA,NA,115,5,8,44,10,6,16,42,21,56,555,1,NA,NA,NA,19,1,NA,NA,NA,NA,6,22,23,NA,NA,NA,2,2,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,39.38,120,2,NA,NA,NA,NA,NA,NA,544,2,5,44,5,NA,76,7,13,61,317,NA,NA,NA,1,9,4,2,NA,NA,NA,NA,3,8,96,3,1,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,90.74,122,NA,NA,NA,2,NA,1,NA,375,17,2,21,2,NA,39,3,1,93,101,NA,NA,NA,NA,1,5,3,NA,NA,1,NA,NA,11,NA,2,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,72.11,6,NA,NA,NA,NA,NA,NA,5,NA,1,2,22,10,5,16,54,31,60,1067,1,NA,NA,NA,86,3,2,NA,NA,NA,2,1,7,19,NA,NA,1,NA,2,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,107.08,22,NA,NA,2,NA,NA,NA,1,15,1,2,58,8,NA,14,46,6,120,693,1,NA,NA,NA,1,2,NA,5,NA,NA,4,1,1,33,2,NA,1,NA,100,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,71.72,8,NA,NA,NA,NA,NA,NA,NA,20,5,3,14,6,NA,24,8,29,50,2505,2,NA,NA,NA,169,2,NA,NA,1,2,1,NA,4,NA,NA,1,4,NA,3,NA,NA,NA,3,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,123.32,50,3,NA,2,NA,NA,NA,2,3570,2,17,37,10,NA,33,35,18,41,476,NA,NA,NA,NA,34,NA,3,NA,2,NA,1,7,10,NA,NA,NA,2,NA,13,NA,NA,2,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,116.23,17,5,NA,NA,NA,NA,2,NA,7,1,8,25,14,NA,17,67,47,53,350,NA,NA,NA,NA,29,NA,3,4,1,NA,NA,10,8,140,1,1,NA,NA,35,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,96.72,10,NA,1,3,NA,NA,1,NA,NA,NA,5,13,12,2,15,2,5,17,13404,1,NA,NA,NA,224,7,NA,NA,NA,2,1,2,1,7,NA,NA,1,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,33.98,13,NA,NA,1,1,NA,2,1,1,NA,2,30,29,7,36,46,60,47,641,2,NA,1,NA,17,2,1,NA,NA,NA,NA,NA,2,7,NA,NA,5,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,47.65,42,3,NA,4,NA,NA,NA,NA,NA,2,1,18,21,NA,61,48,55,42,221,6,NA,NA,NA,9,NA,NA,2,1,3,NA,4,9,NA,NA,NA,NA,1,87,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,66.97,125,1,NA,1,NA,NA,1,NA,1,6,1,23,2,NA,34,25,17,78,146,NA,NA,NA,31,1,NA,NA,2,NA,NA,3,7,3,31,1,NA,1,1,9,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,14.21,29,1,NA,NA,NA,NA,1,2,40,11,6,34,8,20,72,10,6,107,303,NA,NA,NA,5,2,2,2,NA,NA,NA,1,4,37,40,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,128.08,62,1,NA,2,NA,NA,NA,NA,145,1,4,58,10,NA,16,8,17,64,250,1,NA,NA,NA,5,3,NA,3,NA,NA,NA,3,NA,34,NA,NA,3,NA,30,NA,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,20.8,40,NA,NA,1,NA,NA,2,NA,NA,6,1,21,13,NA,43,68,51,48,67,2,NA,NA,NA,3,3,1,1,NA,NA,2,2,NA,2,2,NA,1,NA,25,NA,NA,NA,NA,NA,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,58.45,31,NA,2,1,NA,NA,NA,NA,NA,3,NA,17,11,NA,59,52,28,85,350,1,NA,NA,NA,4,2,2,4,NA,NA,NA,10,6,3,2,1,NA,NA,583,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,54.98,52,2,NA,NA,1,NA,NA,NA,638,5,17,51,3,NA,93,19,11,79,149,NA,NA,NA,4,NA,3,NA,3,NA,NA,1,5,6,148,2,3,NA,NA,15,NA,NA,NA,23,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,89.15,162,NA,1,NA,NA,NA,NA,NA,46,3,3,21,4,3,39,2,2,39,79,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,5,13,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,23.38,17,1,NA,1,NA,NA,NA,NA,3,2,19,43,7,7,82,17,36,68,568,NA,NA,NA,2,6,1,5,NA,1,NA,1,1,1,54,2,NA,NA,NA,NA,1,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,114.42,30,3,1,NA,NA,NA,NA,NA,322,8,11,41,6,27,15,21,63,72,161,NA,NA,NA,NA,1,NA,2,NA,1,2,5,10,15,75,NA,NA,NA,NA,NA,NA,NA,2,1,NA,4,1,NA,NA,NA,NA,5,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,99.25,149,2,NA,1,1,NA,NA,NA,3,22,NA,41,1,NA,29,1,3,66,329,NA,NA,NA,NA,9,1,NA,11,NA,NA,1,2,6,1,NA,NA,NA,1,3,NA,NA,3,5,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,38.51,78,NA,NA,NA,NA,NA,NA,NA,4,6,14,32,1,3,71,12,5,33,215,NA,NA,NA,NA,1,1,2,NA,NA,1,1,13,7,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
