"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Carya","Castanea","Corylus","Fagus","Juglans","Linum","Trifolium-type","Cirsium/Gundelia","Ephedra fragilis-type","Ranunculus repens-type","Maianthemum-type","Narthecium-type","Calligonum","Asperula-type","Haplophyllum","Malabaila","Cheilanthes-type","Abies","Salix","Juniperus","Centaurea cyanus-type","Matricaria-type","Quercus cerris-type","Dryopteris-type","Pteridium","Caryophyllaceae","Polygonum aviculare-type","Sparganium-type","Filipendula","Delphinium-type","Fabaceae","Apiaceae","Plantago lanceolata-type","Galium-type","Poaceae (Cerealia-type)","Senecio-type","Artemisia","Cyperaceae","Butomus umbellatus","Brassica-type","Poaceae","Amaranthaceae","Asteroideae","Cedrus","Centaurea solstitialis-type","Cichorioideae","Pinus","Alnus","Rosaceae","Anemone","Convolvulus","Capsella-type","Bunium-type","Echium-type","cf. Prosopis","Unknown","Ulmus","Olea","Potamogeton","Ephedra distachya-type","Lomelosia rotata-type","Geranium","Potentilla-type","Stachys-type","Plantago undiff.","Spergularia-type","Vitex agnus-castus","Myriophyllum spicatum/M. verticillatum","Gossypium","Taxus","Dipsacus-type","Knautia","Arctium/Jurinea","Quercus ilex-type","Cousinia","Thymus/Mentha","Pteris","Pseudopediastrum kawraiskyi","Thalictrum","Tilia","Onopordum-type","Malva","Botrychium","Erodium","Ericaceae","Euphorbia","Rhus","Centaurea scabiosa-type","Populus","Sambucus nigra-type","Noaea-type","Cornus","Phillyrea","Utricularia","Humulus/Cannabis","Valerianella","Quercus coccifera-type","Ranunculus sceleratus-type","Turgenia-type","Vitis","Carthamus","Typha latifolia","Hippophaë","Lycopodium","Anthoceros laevis-type","Picea","Elaeagnus","Lysimachia","Rumex acetosa-type","Sphagnum","Ostrya/Carpinus orientalis","Nigella","Callitriche","Epilobium","Urtica dioica-type","Asphodelus albus-type","Armeria/Limonium","Scabiosa columbaria-type","Roemeria","Campanula-type","Fraxinus excelsior","Ranunculus sect. Batrachium-type","cf. Equisetum","Polypodium","Helianthemum","Anthericum-type","Poterium sanguisorba","Alisma","Allium-type","Myriophyllum alterniflorum","Ferula-type","Isoëtes","Acer","Caltha-type","Araceae","Symphytum-type","Rhinanthus-type","Carduus-type","Fraxinus ornus","Glaucium","Pimpinella-type","Fagopyrum","Sisyrinchium","Hypericum perforatum-type","Aesculus","Valeriana","Hydrocotyle-type","Orobanche","Scorzonera-type","Anchusa/Pulmonaria","Nuphar","cf. Lycopodium clavatum","Scrophularia/Verbascum","Pseudopediastrum boryanum","Tamarix"
9,499,-496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,5,5,5,5,6,7,13,15,18,19,58,73,73,79,93,157,185,195,214,272,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,570,-415,5,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,4,2,2,1,1,8,NA,2,3,4,NA,4,2,7,4,9,19,8,33,50,33,34,38,125,154,220,160,176,387,1,1,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,838,-110,20,NA,NA,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,1,NA,7,1,5,6,10,NA,9,3,4,9,14,31,4,59,71,1,8,86,192,196,261,251,223,400,4,2,NA,2,NA,NA,NA,NA,5,NA,9,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
752,1195,297,40,1,2,NA,3,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,9,1,3,7,9,NA,2,NA,1,1,8,20,NA,35,39,1,2,39,440,90,298,282,319,326,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1134,1554,705,60,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,1,NA,5,4,NA,4,NA,NA,NA,NA,9,NA,7,4,NA,1,17,156,60,265,167,202,196,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1515,1912,1112,80,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1,1,1,NA,5,16,NA,2,3,NA,NA,4,82,NA,14,22,NA,NA,40,140,124,391,202,182,203,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,2270,1519,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,2,10,8,112,42,16,357,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2278,2630,1927,120,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,6,NA,1,3,12,NA,1,NA,1,NA,1,NA,NA,2,14,NA,NA,3,45,42,248,304,381,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2659,2988,2333,140,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,2,NA,2,2,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,5,5,20,318,21,94,275,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3041,3347,2740,160,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,1,NA,NA,1,3,1,NA,NA,6,1,NA,NA,NA,1,NA,2,NA,2,2,NA,NA,5,6,4,467,3,8,159,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
