"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Artemisia","Lamiaceae","Dipsacoideae","Olea","Ulmus","Cedrus","Castanea","Corylus","Cyperaceae","Malvaceae","Thalictrum","Hypericum","Alnus","Juglans","Juniperus","Rumex","Ranunculaceae","Polygonum","Cichorioideae","Sanguisorba","Quercus coccifera","Poaceae (Cerealia)","Equisetum","Brassicaceae","Plantago","Asteroideae","Caryophyllaceae","Ericaceae","Quercus cerris","Centaurea","Poaceae","Pinus","Iridaceae","Populus","Saxifraga","Elodea","Potamogeton","Typha","Scabiosa","Liliaceae","Lemna","Valerianoideae","Ephedra","Amaranthaceae","Fraxinus ornus","Fraxinus","Alismataceae","Apiaceae","Helianthemum","Pistacia","Nymphaea","Rosaceae","Carpinus orientalis","Rhamnus","Matthiola","Aegilops","Euphrasia","Cistus","Acer","Celtis","Butomus","Vitis","Cercis","Hydrocharis","Scrophulariaceae","Orobanchaceae","Ligustrum","Myriophyllum","Betula","Urticaceae","Salix","Tilia","Polygalaceae","Galium","Sagittaria","Sambucus","Fagopyrum","Euphorbiaceae","Campanulaceae","Fumaria","Papaveraceae","Cerastium","Arceuthobium","Platanus","Boraginaceae","Humulus"
5,NA,NA,11,1,1,1,1,1,3,3,4,4,4,4,4,5,5,5,5,6,6,6,7,7,7,8,8,10,12,16,18,18,18,28,112,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,21,1,1,NA,1,1,3,4,5,5,2,1,NA,3,7,6,6,3,6,5,8,5,8,6,4,8,14,12,16,15,19,16,51,155,1,1,1,1,2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,31,1,4,2,NA,1,5,3,6,6,12,2,NA,5,7,7,5,4,8,7,5,7,9,10,NA,2,10,5,10,6,17,18,41,122,2,1,NA,NA,NA,4,10,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,42,NA,4,4,NA,NA,6,NA,5,5,11,6,NA,3,8,6,3,3,10,6,5,7,7,8,NA,NA,11,4,11,6,17,23,42,135,2,1,NA,NA,NA,12,11,8,10,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,52,1,5,3,NA,NA,8,1,3,6,22,2,NA,3,8,7,1,NA,9,3,1,2,5,4,NA,NA,10,2,6,7,18,20,60,119,2,NA,NA,NA,NA,41,2,10,8,2,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,62,1,4,2,NA,NA,8,3,NA,4,25,NA,NA,3,10,5,NA,NA,8,3,NA,2,5,4,NA,NA,12,1,6,5,16,18,59,123,2,NA,NA,NA,NA,81,1,10,14,1,NA,NA,1,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,72,1,42,8,NA,NA,3,NA,NA,1,3,NA,NA,NA,2,2,1,NA,3,NA,9,NA,3,NA,NA,NA,6,16,3,NA,7,12,68,188,NA,NA,NA,NA,NA,NA,NA,2,NA,10,NA,36,NA,NA,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,86,3,36,9,NA,NA,3,1,NA,1,4,NA,NA,NA,3,2,1,NA,2,NA,8,NA,3,NA,NA,NA,7,14,4,NA,8,20,73,192,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA,22,NA,NA,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,99,1,24,15,NA,NA,1,1,NA,3,1,NA,NA,NA,2,2,4,NA,3,NA,9,1,4,NA,NA,NA,10,20,4,NA,12,15,49,170,NA,NA,NA,NA,NA,NA,NA,3,NA,7,NA,11,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,103,1,27,21,NA,NA,1,1,NA,3,1,NA,NA,NA,2,2,1,NA,3,NA,8,1,3,NA,NA,NA,9,16,3,NA,10,18,51,175,NA,NA,2,NA,NA,NA,NA,4,NA,6,NA,11,NA,1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
