"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Carya","Corylus","Geranium","Thalictrum","Liliaceae","Lamiaceae","Triticum-type","Bistorta officinalis","Bupleurum-type","Scabiosa","Galium-type","Centaurea-type","Thymelaeaceae","Cistus","Ephedra fragilis","Plantago coronopus","Urtica pilulifera-type","Ziziphus-type","Polypodiophyta (monolete)","Cistaceae","Mentha-type","Typha angustifolia/Sparganium","Delphinium-type","Platanus orientalis","Potamogeton","Trifolium-type","Eucalyptus","Theligonum","Plantago indeterminata","Caryophyllaceae","Crataegus-type","Rumex","Centaurea scabiosa-type","Phillyrea-type","Polypodiophyta (trilete)","Salix","Fabaceae","Hordeum-type","Ranunculaceae","Juglans","Apiaceae","Pistacia","Cirsium/Carduus-type","Poaceae (Cerealia-type)","Varia","Brassicaceae","Rosaceae","Casuarina","Herniaria-type","Cyperaceae","Plantago lanceolata","Polygonum aviculare","Xanthium","Artemisia","Cichorioideae","Quercus ithaburensis","Asteroideae","Cupressaceae","Sarcopoterium","Amaranthaceae","Olea-type","Pinus","Myriophyllum","Poaceae","Quercus coccifera","Pediastrum","Lycopodium spike","Botryococcus","Prunus-type","Avena-type","Echinops","Veronica-type","Centaurea nigra-type","Pimpinella-type","Polygonum oxyspermum","Vitis","Chelidonium-type","Quercus indet.","Equisetum","Alnus","Urtica dioica-type","Ericaceae","Hypericum","Potentilla-type","Lemna","Solanum","Carpinus betulus","Dipsacoideae","Tamarix","Heracleum-type","Fraxinus syriaca","Acer","Polygonum indeterminata","Ebenus-type","Elaeagnus","Knautia","Ulmus","Anchusa","Agrostemma","Cannabis","Scrophulariaceae","Zea mays","Populus","Plantago major/P. media","Alisma plantago-aquatica","Papaver-type","Salvia-type","Lythrum salicaria-type","Campanula-type","Carpinus orientalis","Cedrus","Fraxinus ornus","Boraginaceae","Vicia-type","Stachys-type","Adonis-type","Asphodelus","Tilia","Papaveraceae","Echium","Ranunculus aquatilis-type","Centaurea solstitialis-type","Carthamus-type","Erodium","Apium-type","Lythrum portula-type","Fagus","Sambucus","Ephedra distachya","Ceratonia","Aesculus","Picea","Persicaria amphibia","Secale-type","Armeria-type","Epilobium","Osmunda","Helianthemum","Linum bienne-type","Abies","Symphytum","Acacia","Celtis","Euphorbiaceae","Convolvulus","Acanthus","Rhamnus-type","Rhus","Rhinanthus-type","Aconitum-type","Mercurialis","Linum austriacum-type"
206.3,NA,NA,45.5,NA,1,NA,NA,1,NA,1,NA,1,1,3,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,2,3,40,3,NA,2,8,4,2,4,2,NA,2,1,1,1,16,2,8,43,2,3,7,4,5,NA,15,9,7,1,NA,34,26,76,35,1,25,25,15,10,655,267,430,2,420,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232.6,NA,NA,49.5,NA,1,1,NA,NA,NA,4,NA,NA,NA,1,4,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,1,21,2,NA,1,11,7,NA,2,3,1,NA,3,1,1,7,1,3,24,NA,8,19,3,3,NA,2,5,11,1,1,33,9,90,12,2,36,33,40,13,1276,197,413,1,501,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.5,NA,NA,50.5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,1,3,2,29,2,NA,1,NA,4,1,3,2,NA,NA,3,NA,1,13,1,3,26,2,2,8,NA,3,NA,17,5,7,5,NA,28,6,71,13,NA,23,24,14,14,1079,209,589,NA,392,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268.2,NA,NA,54.5,NA,1,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,35,1,NA,NA,4,1,2,NA,3,2,NA,NA,1,1,10,NA,1,24,NA,3,4,2,1,NA,5,4,6,1,NA,30,6,72,16,2,19,19,4,9,915,163,530,NA,292,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289.8,NA,NA,57.5,NA,NA,NA,NA,2,1,1,NA,NA,NA,2,NA,NA,NA,1,2,1,NA,1,NA,NA,NA,NA,5,47,NA,NA,NA,4,5,1,2,5,1,NA,NA,5,3,20,5,10,27,NA,3,7,2,3,NA,16,11,18,1,NA,23,24,89,22,2,27,24,19,14,1140,294,790,NA,421,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304.2,NA,NA,59.5,NA,NA,NA,NA,NA,1,5,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,1,1,NA,3,17,5,NA,3,3,2,NA,1,3,1,1,NA,1,2,11,2,7,17,1,12,17,2,3,NA,8,5,5,1,NA,32,4,74,17,1,34,16,15,6,972,134,515,1,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340.2,NA,NA,64.5,NA,NA,1,NA,NA,1,4,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,2,7,4,NA,NA,2,3,3,4,2,2,1,1,NA,NA,6,NA,5,23,5,2,5,2,6,NA,22,15,8,4,NA,39,7,76,12,NA,20,23,15,17,1119,245,622,NA,350,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375.9,NA,NA,69.5,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,2,NA,NA,2,NA,NA,4,2,NA,NA,3,1,1,4,1,6,21,NA,4,9,1,1,NA,5,6,4,1,NA,29,5,81,3,NA,21,36,16,11,1288,149,578,NA,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,NA,NA,71.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,2,16,2,NA,NA,5,2,2,3,NA,NA,1,NA,1,1,5,NA,5,18,1,2,5,1,1,NA,9,9,5,NA,NA,19,9,61,9,3,13,14,10,11,624,192,530,NA,234,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404.1,NA,NA,73.5,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,3,16,4,NA,1,2,3,1,3,1,1,1,NA,1,2,5,1,1,21,NA,2,2,1,6,NA,7,7,12,1,NA,33,4,63,7,NA,19,NA,20,7,580,182,530,2,224,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
