"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Carya","Corylus","Geranium","Thalictrum","Liliaceae","Lamiaceae","Triticum-type","Bistorta officinalis","Bupleurum-type","Scabiosa","Galium-type","Centaurea-type","Thymelaeaceae","Cistus","Ephedra fragilis","Plantago coronopus","Urtica pilulifera-type","Ziziphus-type","Polypodiophyta (monolete)","Cistaceae","Mentha-type","Typha angustifolia/Sparganium","Delphinium-type","Platanus orientalis","Potamogeton","Trifolium-type","Eucalyptus","Theligonum","Plantago indeterminata","Caryophyllaceae","Crataegus-type","Rumex","Centaurea scabiosa-type","Phillyrea-type","Polypodiophyta (trilete)","Salix","Fabaceae","Hordeum-type","Ranunculaceae","Juglans","Apiaceae","Pistacia","Cirsium/Carduus-type","Poaceae (Cerealia-type)","Varia","Brassicaceae","Rosaceae","Casuarina","Herniaria-type","Cyperaceae","Plantago lanceolata","Polygonum aviculare","Xanthium","Artemisia","Cichorioideae","Quercus ithaburensis","Asteroideae","Cupressaceae","Sarcopoterium","Amaranthaceae","Olea-type","Pinus","Myriophyllum","Poaceae","Quercus coccifera","Pediastrum","Lycopodium spike","Botryococcus","Prunus-type","Avena-type","Echinops","Veronica-type","Centaurea nigra-type","Pimpinella-type","Polygonum oxyspermum","Vitis","Chelidonium-type","Quercus indet.","Equisetum","Alnus","Urtica dioica-type","Ericaceae","Hypericum","Potentilla-type","Lemna","Solanum","Carpinus betulus","Dipsacoideae","Tamarix","Heracleum-type","Fraxinus syriaca","Acer","Polygonum indeterminata","Ebenus-type","Elaeagnus","Knautia","Ulmus","Anchusa","Agrostemma","Cannabis","Scrophulariaceae","Zea mays","Populus","Plantago major/P. media","Alisma plantago-aquatica","Papaver-type","Salvia-type","Lythrum salicaria-type","Campanula-type","Carpinus orientalis","Cedrus","Fraxinus ornus","Boraginaceae","Vicia-type","Stachys-type","Adonis-type","Asphodelus","Tilia","Papaveraceae","Echium","Ranunculus aquatilis-type","Centaurea solstitialis-type","Carthamus-type","Erodium","Apium-type","Lythrum portula-type","Fagus","Sambucus","Ephedra distachya","Ceratonia","Aesculus","Picea","Persicaria amphibia","Secale-type","Armeria-type","Epilobium","Osmunda","Helianthemum","Linum bienne-type","Abies","Symphytum","Acacia","Celtis","Euphorbiaceae","Convolvulus","Acanthus","Rhamnus-type","Rhus","Rhinanthus-type","Aconitum-type","Mercurialis","Linum austriacum-type"
439.7,NA,NA,78.5,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,21,NA,NA,1,4,2,1,5,1,NA,NA,NA,1,1,8,1,4,14,NA,1,3,1,NA,NA,12,6,10,NA,NA,29,10,45,8,2,21,22,18,7,450,179,524,1,194,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446.9,NA,NA,79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,1,NA,NA,7,4,1,2,4,2,NA,1,NA,NA,5,6,4,19,NA,5,12,NA,1,NA,11,4,4,2,NA,39,10,45,10,1,34,43,23,18,591,173,521,NA,432,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489.6,NA,NA,85.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,3,48,2,NA,1,3,3,3,8,7,NA,3,NA,2,1,13,4,4,29,2,4,12,2,2,NA,15,14,11,1,NA,48,29,38,17,2,31,41,22,17,519,276,352,3,408,2,NA,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519,NA,NA,89.5,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,16,1,NA,1,10,4,5,2,3,1,3,1,1,2,15,6,5,26,1,7,7,1,3,NA,12,3,10,3,NA,55,14,70,23,NA,27,52,45,17,599,240,374,1,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
546.8,NA,NA,93.5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,22,3,NA,3,4,4,NA,6,4,1,1,1,1,NA,19,3,6,9,1,3,7,5,NA,NA,11,6,2,1,NA,45,11,79,18,4,21,89,25,17,683,191,385,6,288,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
560.7,NA,NA,95.5,NA,NA,NA,NA,1,2,1,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,10,NA,NA,1,8,2,NA,4,1,NA,3,1,NA,NA,29,3,3,20,1,7,9,2,NA,NA,13,4,6,1,NA,52,15,138,19,NA,18,91,38,22,736,179,358,2,377,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589.4,NA,NA,99.5,NA,NA,1,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,7,3,NA,3,9,5,1,1,NA,NA,3,2,1,2,82,1,2,16,1,11,9,3,3,NA,5,4,3,3,NA,18,17,123,18,NA,19,92,43,11,359,99,490,2,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607.8,NA,NA,102.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,2,1,1,NA,7,2,NA,1,3,1,2,1,1,2,1,NA,NA,NA,46,1,6,8,1,3,13,6,2,NA,2,10,3,2,NA,25,12,120,13,NA,20,164,18,7,396,99,591,4,186,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
627.1,NA,NA,105.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,NA,NA,1,1,1,NA,NA,NA,NA,2,NA,NA,2,68,NA,1,9,NA,2,12,1,1,NA,1,4,3,4,NA,23,10,189,10,NA,14,126,46,17,276,79,424,1,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
646.9,NA,NA,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,4,NA,NA,1,2,2,NA,NA,NA,NA,1,1,NA,3,76,3,3,13,1,4,5,3,2,NA,1,14,7,6,NA,26,13,110,9,NA,13,104,38,18,310,93,480,2,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
677.2,NA,NA,110.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,11,NA,NA,1,3,2,1,2,1,NA,2,NA,1,NA,54,4,7,4,1,1,6,3,2,NA,NA,5,3,3,NA,25,19,116,15,NA,18,21,22,14,426,135,505,8,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
727.6,NA,NA,114.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,4,NA,NA,1,1,3,NA,1,NA,NA,2,1,1,1,85,3,3,11,4,3,13,4,1,NA,1,8,2,NA,NA,23,17,71,14,NA,18,116,40,11,270,55,571,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
789.9,NA,NA,119.5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,2,1,NA,NA,NA,6,NA,NA,1,2,2,NA,NA,1,NA,3,NA,1,NA,27,NA,4,5,2,NA,23,3,4,NA,NA,10,2,2,NA,24,15,74,9,NA,9,62,30,13,225,104,547,21,106,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854.9,NA,NA,124.5,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,2,NA,NA,1,NA,NA,10,NA,NA,NA,5,3,NA,NA,NA,NA,1,1,1,1,77,2,1,8,2,8,23,NA,1,NA,2,10,NA,3,NA,24,13,64,11,NA,18,55,39,18,307,96,491,48,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
918.8,NA,NA,129.5,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,31,1,NA,2,6,3,NA,2,NA,NA,1,1,1,NA,129,3,NA,19,1,10,8,2,NA,NA,NA,4,7,6,NA,21,14,42,10,1,22,15,73,16,327,142,461,109,214,1,NA,NA,NA,NA,1,NA,NA,3,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
983.9,NA,NA,134.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,16,1,NA,1,3,2,NA,NA,1,1,1,NA,3,1,95,2,3,10,1,5,12,NA,1,NA,1,7,7,2,NA,16,8,41,6,3,31,8,65,23,276,152,452,87,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1046.9,NA,NA,139.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,12,1,NA,NA,7,1,NA,NA,1,2,1,NA,2,1,133,7,3,19,1,7,7,1,2,NA,NA,13,8,8,NA,10,15,45,7,8,24,2,67,29,306,130,448,158,200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1072.4,NA,NA,141.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,21,2,NA,1,5,1,NA,2,2,2,NA,NA,NA,1,98,1,3,11,NA,1,9,1,NA,NA,1,9,10,4,NA,29,11,26,6,13,27,16,113,24,222,162,445,128,129,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1098.2,NA,NA,143.5,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,38,1,NA,2,2,2,1,2,1,1,NA,NA,2,1,101,3,2,10,2,1,4,NA,2,NA,NA,11,3,6,NA,25,23,20,16,32,41,12,172,42,255,228,266,245,277,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1124.9,NA,NA,145.5,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,1,NA,1,1,NA,1,1,1,NA,1,1,3,1,85,4,NA,3,4,6,NA,2,4,NA,2,1,5,NA,98,7,8,10,1,5,16,2,7,NA,2,13,5,9,NA,28,42,11,34,44,48,12,270,49,259,220,71,37,329,NA,NA,NA,1,NA,NA,NA,NA,3,NA,1,NA,1,NA,NA,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,3,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1153.2,NA,NA,147.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,2,NA,1,NA,1,NA,4,2,79,4,NA,1,3,1,NA,5,4,NA,2,NA,2,5,105,17,7,8,5,1,10,3,1,NA,NA,16,11,7,1,32,66,14,21,30,28,20,278,32,221,204,50,20,352,NA,NA,NA,1,NA,NA,1,1,4,NA,1,NA,1,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1181.3,NA,NA,149.5,NA,1,NA,NA,NA,NA,3,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,3,NA,1,3,NA,NA,132,3,NA,1,6,4,NA,3,NA,1,2,2,6,1,76,19,8,4,3,24,15,3,8,NA,3,20,5,12,1,26,26,12,27,42,33,15,269,51,354,186,58,18,588,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1210.2,NA,NA,151.5,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,1,NA,2,1,4,1,NA,NA,3,4,NA,2,NA,5,1,NA,1,1,97,3,5,15,3,6,4,2,2,NA,3,2,3,3,NA,35,23,8,23,23,47,22,275,42,320,151,189,28,240,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1239.4,NA,NA,153.5,NA,NA,NA,NA,1,1,4,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,33,9,NA,2,2,3,NA,3,3,1,NA,NA,2,1,107,8,3,6,2,10,5,1,4,NA,1,14,4,11,1,44,34,17,19,28,44,14,317,53,329,202,123,181,479,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1268.3,NA,NA,155.5,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,3,1,2,1,1,44,3,NA,1,3,4,NA,1,3,1,3,NA,4,1,104,7,1,8,5,6,5,2,6,NA,NA,14,8,2,1,26,29,12,14,47,45,12,264,32,221,190,93,229,236,1,NA,NA,NA,1,NA,1,NA,NA,2,1,NA,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1297,NA,NA,157.5,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,2,NA,1,NA,NA,1,1,NA,1,1,1,NA,3,115,5,NA,1,5,1,NA,4,1,1,3,1,3,1,83,11,1,4,2,4,11,3,3,NA,NA,19,3,2,1,24,36,7,22,38,40,14,270,34,239,225,110,244,255,NA,NA,NA,1,NA,NA,1,NA,2,NA,2,1,NA,NA,NA,8,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1325.4,NA,NA,159.5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,1,1,3,NA,NA,NA,NA,1,1,4,123,5,NA,3,4,2,NA,4,5,1,NA,1,2,2,140,17,14,8,1,5,20,6,12,NA,1,14,14,11,NA,27,51,7,35,23,45,23,383,49,249,219,62,21,393,NA,NA,NA,1,1,1,2,NA,4,NA,2,NA,1,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,1,2,1,4,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1353.7,NA,NA,161.5,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,1,1,1,NA,1,3,52,4,NA,4,NA,7,2,1,3,NA,NA,NA,2,3,100,8,9,9,2,6,10,11,1,NA,4,13,7,12,1,40,47,12,24,37,47,18,283,26,329,242,136,235,351,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,11,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1381.7,NA,NA,163.5,NA,NA,NA,NA,NA,3,1,NA,NA,NA,3,1,NA,NA,NA,1,NA,NA,1,NA,1,4,NA,3,138,5,NA,3,7,5,NA,3,2,1,2,NA,6,7,91,13,2,3,4,10,8,1,1,NA,7,14,3,15,NA,25,52,14,17,24,35,11,271,27,358,205,81,116,382,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1452.8,NA,NA,168.5,NA,NA,NA,NA,2,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,1,NA,4,110,3,NA,1,6,1,NA,6,6,NA,NA,2,3,3,93,14,7,14,3,4,9,9,2,NA,1,18,13,17,NA,33,53,10,28,25,23,20,293,37,376,220,43,74,368,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,3,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
