"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Epilobium","Ericaceae","Typha latifolia","Fabaceae","Ononis-type","Centaurea solstitialis-type","Myriophyllum spicatum/M. verticillatum","Viburnum-type","Ferula-type","Betula","Cichorioideae","Ulmus","Poaceae (Cerealia-type)","Artemisia herba-alba-type","Thymus/Mentha","Dryopteris-type","Amaranthaceae","Sparganium-type","Corylus","Juniperus","Abies","Pteridium","Carpinus betulus","Unknown","Fagus","Poaceae","Quercus cerris-type","Cyperaceae","Pinus","Platanus","Salix","Apiaceae","Gentiana","Centaurea scabiosa-type","Ostrya/Carpinus orientalis","Sambucus racemosa-type","Populus","Sanguisorba-type","Equisetum","Plantago lanceolata-type","Alnus","Castanea","Polygonum aviculare-type","Vitis","Lythrum","Rumex acetosa-type","Bunium-type","Onobrychis-type","Menyanthes trifoliata","Galium-type","Mercurialis annua","Fraxinus","Cladium mariscus","Acer","Filipendula","Potentilla-type","Tilia","Juglans","Rosaceae","Urtica","Lysimachia","Anemone","Calystegia","Brassica-type","Olea","Rhinanthus-type","Matricaria-type","Scrophularia/Verbascum","Calluna-type","Trifolium-type","Plantago coronopus-type","Thalictrum","Caryophyllaceae","Nymphaea","Vicia-type","Digitalis","Ranunculus sect. Batrachium-type","Senecio-type","Pistacia","Medicago","Lemna","Butomus umbellatus","Epipactis","Cirsium/Gundelia","Ranunculus repens-type","Rumex hydrolapathum","Parnassia palustris","Plantago tenuiflora-type","Lycopodium","Asteroideae","Brassicaceae","Potamogeton","Eryngium-type","Lotus-type","Cotoneaster","Heracleum-type","Cerinthe-type","Ephedra fragilis-type","Caltha","Liliaceae","Ranunculaceae","Valerianella","Anchusa/Pulmonaria","Aquilegia-type","Pedicularis","Helianthemum","Taxus","Veronica","Hypericum","Loranthus","Plantago","Stachys-type","Zygophyllum","Ophioglossum","Solanaceae","Fallopia convolvulus-type","Hippocrepis-type","Persicaria amphibia","Centaurea","Plantago media-type","Quercus coccifera-type","Convolvulus","Artemisia vulgaris-type","Prunus-type","Polypodium","Cedrus","Plantago ovata-type","Pediastrum","Scrophulariaceae","Daphne","Lathyrus-type","Muscari","Nigella","Hedera","Teucrium","Ranunculus peltatus-type","Eremurus","Astragalus-type","Lobelia","Apium-type","Hedysarum/Ebenus","Ceratocephala","Micranthes nivalis-type","Melilotus","Bupleurum-type","Papaver","Hippophaë","Carya","Humulus/Cannabis","Delphinium-type","Rosa-type","Ephedra distachya-type","Carduus-type","Pterocarya","Arctium/Jurinea","Tulipa-type","Sanguisorba officinalis","Genista-type","Centaurea cyanus-type","Gagea-type","Centaurea jacea-type","Turgenia-type","Sambucus nigra-type","Persicaria maculosa-type","Cousinia"
3315,3614,3023,530,"1","1","1","1","1","1","1","1","1","2","2","2","2","3","3","3","4","5","7","7","8","8","9","10","23","41","59","89","303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3631,3956,3312,580,"","","","","","","","","","1","1","2","","3","","9","4","","14","6","14","","24","2","36","38","44","30","194","1","1","1","1","1","1","1","2","2","2","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3948,4299,3602,630,"","","","","","","","","1","","3","2","3","7","1","208","","1","14","11","9","3","24","1, 7","22","25","44","58","134","","5","","","","1","","","4","","2","3","1","1","1","1","1","1","1","2","2","2","3","3","6","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4074,4437,3718,650,"1","","","3","","","","","","2","2","1","4","10","2","384","2","2","28","33","17","3","28","9","18","69","27","294","192","","6","4","","","14","","","2","","1","9","","1","","12","3","","","23","8","","","","1","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4264,4642,3891,680,"","","1","","","1","1","","","","","1","6","5","4","114","2","16","11","6","20","","11","10, 11","20","126","49","310","191","1","15","2","","","","","2","2","1","4","2","","2","2","7","1","","","","11","","1","","","","","","","","","","","","4","1","","1","","","1","","11","","3","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4422,4814,4036,705,"","","1","2","","","1","","","","","1","12","4","1","56","2","3","4","8","11","8","9","5","4","88","29","210","122","","1","3","1","","","","","","","","1","","2","1","3","","","","","6","","","","","1","","","","","","","","","4","1","1","2","","","","","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","2","3","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4580,4985,4180,730,"","","","","","","","","1","","2","2","2","11","","280","1","5","2","7","17","9","14","13","33","141","34","260","118","","25","","","","1","","","1","","3","2","","","1","1","2","1","","","7","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","3","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4707,5122,4295,750,"","","","","","1","","","","","","2","4","1","","427","3","","6","10","21","1","15","4","29","45","44","187","45","1","2","4","","","1","","","1","","2","","","1","","4","2","","","","12","","4","","","1","","","","","","","","","","1","","1","","","","","1","","","","","","1","","","","","2","","","","","","","1","","","","","","","","1","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4802,5225,4382,765,"","","","2","","","","","","","1","1","9","3","","29","3","2","3","10","32","4","4","9","27","27","66","512","82","","2","1","","","1","","","","","","1","","","","6","","","","","8","","2","","","","","","","","","","","","","1","1","1","","","","","1","","","","","","","1","","","","","","","","","","","","5","","","","","","","","","1","1","1","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4929,5362,4497,785,"","","","","","","","","","2","2","1","2","1","","156","1","1","8","5","64","2","1","3","19","26","67","129","197","","4","1","","","","","","1","2","2","","","1","","3","","1","","","1","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","1","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
