"age_NA","ageolder_BP","ageyounger_BP","depth","Ericaceae","Apiaceae","Asteroideae","Rosaceae","Senecio-type","Poaceae (Cerealia-type)","Oleaceae","Centaurea solstitialis-type","Matricaria-type","Ostrya/Carpinus orientalis","Plantago coronopus-type","Plantago maritima-type","Ricinus","Dryopteris-type","Polypodium","Cryptogramma crispa","Anthoceros laevis-type","Sanguisorba-type","Unknown","Cyperaceae","Artemisia herba-alba-type","Juniperus","Capsella-type","Abies","Amaranthaceae","Poaceae","Brassica-type","Quercus cerris-type","Phillyrea","Pistacia","Cichorioideae","Olea","Quercus coccifera-type","Pinus","Caryophyllaceae","Vitis","Plantago lanceolata-type","Asphodelus albus-type","Nigella","Acanthus","Rumex acetosa-type","Pteridium","Cistus/Helianthemum","Mercurialis annua","Carya","Corylus","Euphorbia","Sparganium-type","Tilia","Alnus","Fabaceae","Vicia-type","Thymus/Mentha","Juniperus sabina","Platanus","Fagus","Thalictrum","Juglans","Papaver","Bupleurum-type","Calystegia","Ephedra fragilis-type","Datisca","Plantago ovata-type","Galium-type","Primulaceae","Taxus","Ulmus","Acer","Ranunculus sceleratus-type","Orobanche","Ophioglossum","Osmunda regalis","Betula","Campanula-type","Hippophaë","Rhinanthus-type","Teucrium","Carduus-type","Ephedra distachya-type","Scrophularia/Verbascum","Crupina","Fraxinus ornus","Allium","Cuscuta","Liliaceae","Plantaginaceae","Ruppia","Convolvulus","Plantago media-type","Hedysarum/Ebenus","Lomelosia rotata-type","Eryngium-type","Ranunculus arvensis-type","Filago-type","Valerianella","Delphinium-type","Centaurea cyanus-type","Cirsium/Gundelia","Arctium/Jurinea","Onopordum-type","Ranunculus asiaticus-type","Chrozophora","Bongardia","Unknown (trilete)","Theligonum","Urtica","Polygonum aviculare-type","Rhododendron","Fumaria","Gagea-type","Plantago tenuiflora-type","Calligonum","Spinacia-type","Andrachne","Carpinus betulus","Scilla-type","Calendula","Equisetum","Prunus-type","Rhamnaceae","Astragalus-type","Botrychium","Salix","Humulus/Cannabis","Knautia","Hypericum perforatum-type","Anagallis","Mercurialis perennis","Scorzonera-type","Aquilegia-type","Geranium","Zea mays","Fraxinus","Hippocrepis-type","Crataegus-type","Ligustrum","Stachys-type","Linum","Dipsacoideae","Rumex hydrolapathum","Anchusa/Pulmonaria","Bunium-type","Ranunculaceae","Helleborus","Heliotropium-type","Crassulaceae","Trifolium-type","Adonis","Heracleum-type","Artemisia vulgaris-type","Anthriscus-type","Centaurea scabiosa-type","Ranunculus repens-type","Echium-type","Tamarix","Xanthium","Thesium","Lycopodium","Cheilanthes","Rhus","Gentiana","Plantago major-type","Filipendula","Veronica","Hydrocotyle","Echinops","Lotus-type","Centaurea undiff.","Leontice leontopetalum","Hypericum hirtellum var. assyriacum-type","Isoëtes","Ferula-type","Anemone","Cousinia","Viburnum-type","Antirrhinum/Linaria","Roemeria hybrida-type","Inula-type","Viola","Onagraceae","Onobrychis-type","Spergula","Genista-type","Bidens-type","Castanea","Cerinthe-type","Nitraria","Carthamus","Malva","Loranthus","Noaea-type","Solanum nigrum","Psoraleeae","Ilex","Salvia","Apium-type","Thymelaea","Plantago cylindrica-type","Populus","Anisosciadium-type"
NA,NA,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,5,5,7,7,9,12,13,18,25,25,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,45,7,1,NA,1,NA,1,NA,NA,4,6,NA,1,NA,1,NA,3,NA,5,7,1,2,2,1,2,7,6,3,33,2,18,8,34,42,69,1,1,1,1,1,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,100,11,1,NA,NA,NA,2,NA,2,2,3,NA,NA,NA,1,1,5,NA,1,9,5,1,NA,NA,6,5,5,3,53,2,15,8,39,56,103,NA,1,1,NA,NA,NA,NA,4,1,3,1,1,1,1,1,1,1,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,20,2,1,1,NA,NA,4,NA,2,NA,6,NA,NA,NA,NA,NA,2,NA,5,12,5,5,7,1,4,7,8,8,29,NA,29,22,16,51,117,NA,NA,5,1,NA,NA,NA,4,1,3,NA,NA,1,1,NA,NA,NA,NA,1,NA,2,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,110,2,4,7,NA,NA,1,NA,2,NA,4,NA,NA,NA,NA,2,NA,NA,3,11,NA,2,NA,NA,11,5,11,11,44,11,5,21,29,39,93,3,2,NA,NA,NA,NA,1,5,1,3,NA,NA,NA,NA,1,NA,1,NA,4,NA,NA,1,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,6,NA,1,NA,3,NA,NA,NA,2,7,1,NA,NA,3,4,NA,NA,5,10,5,2,NA,2,12,9,17,4,71,5,13,17,27,59,196,1,NA,NA,NA,NA,1,NA,5,6,2,NA,2,NA,NA,NA,2,NA,NA,7,NA,1,2,NA,NA,NA,NA,NA,1,4,NA,3,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,210,NA,26,27,1,3,37,NA,1,12,NA,NA,1,NA,6,NA,NA,NA,9,38,6,1,NA,4,1,20,29,NA,48,NA,8,173,1,4,10,1,NA,3,2,1,NA,NA,1,3,6,NA,2,3,8,2,2,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,200,NA,46,15,1,4,17,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA,5,23,4,4,NA,4,1,23,29,NA,74,NA,11,205,2,3,8,2,NA,1,7,NA,NA,2,2,1,12,NA,7,3,13,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,3,NA,NA,4,NA,1,1,1,1,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,115,8,1,NA,NA,2,1,NA,3,2,9,NA,NA,NA,4,NA,7,NA,2,1,4,4,NA,1,14,15,9,3,61,NA,2,43,28,38,126,1,1,NA,3,NA,1,NA,7,4,3,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,18,1,NA,NA,1,4,NA,1,8,8,NA,NA,NA,3,1,2,NA,2,2,3,6,NA,NA,15,12,11,9,65,2,19,23,93,97,185,1,1,1,4,NA,NA,2,14,4,5,NA,3,NA,2,1,NA,NA,NA,3,NA,2,2,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
