sample_name,depth,Monoletes undiff.,Poaceae undiff.,Asteraceae undiff.,Cyperaceae undiff.,Triletes undiff.,Podocarpus,Euphorbia-type,Suaeda-type monoica,Rubiaceae undiff.,Amaranthaceae/Chenopodiaceae,Indeterminable,Undetermined,Hypoestes-type,Ericaceae undiff.,Juniperus procera-type,Rumex,Acacia,Plantago africana-type,Olea capensis-type,Euclea,Dodonaea viscosa-type,Acanthus-type,Combretum-type molle,Typha,Myrica,Nuxia/dobera,Lamiaceae undiff.,Lannea-type,Celtis,Acalypha,Hagenia abyssinica,Apiaceae undiff.,Clematis-type,Malvaceae undiff.,Syzygium-type,Artemisia,Allophylus,Phytolacca,Ricinus communis,Trilepisium-type madagascariensis,Urticaceae undiff.,Maesa lanceolata-type,Protea-type,Capparidaceae undiff.,Anthospermum,Cyathula-type orthacantha,Vahlia somalensis-type,Scrophulariaceae undiff.,Adenium-type obesum,Fabaceae undiff.,Polygonum senegalense-type,Sapotaceae undiff.,Portulacaceae undiff.,Bersama abyssinica-type,Brucea antidysenterica-type,Commelina-type benghalensis,Rosa abyssinica-type,Cichorieae undiff.,Achyranthes-type aspera,Sapindaceae undiff.,Anthocerotaceae undiff.,Polygala-type,Rhus-type,Hypericum,Phyllanthus-type amarus,Brassicaceae undiff.,Zanthoxylum-type usambarense,Menispermaceae undiff.,Monocotyledoneae undiff.,Steganotaenia-type,Ilex mitis,Dipsacus-type pinnatifidus,Galiniera-type saxifraga,Combretaceae undiff.,Celastraceae/Hippocrateaceae undiff.,Digera-type muricata,Resedaceae undiff.,Acanthaceae undiff.,Ephedra,Dombeya-type,Potamogeton thunbergii-type,Commiphora,Cucurbitaceae undiff.,Caryophyllaceae undiff.,Prunus africana-type,Cissus-type quadrangularis,Araliaceae undiff.,Trichocladus ellipticus-type,Ipomoea-type,Thymelaeaceae undiff.,Borassus-type aethiopum,Tribulus,Centaurea-type,Rhamnaceae undiff.,Pteridophyta undiff.,Croton-type,Caesalpiniaceae undiff.,Macaranga-type,Solanum-type,Aizoaceae undiff.,Laurembergia tetrandra,Salix subserrata-type,Ebenaceae undiff.,Alchemilla,Ekebergia-type,Ranunculaceae undiff.,Cussonia,Thalictrum,Caucanthus-type,Rubia-type,Corchorus-type fascicularis,Dyschoriste-type,Pinus,Trema-type orientalis,Tamarix,Carduus-type,Buxus hildebrandtii-type,Hydrocotyle,Polyscias fulva-type,Ficus,Balanites rotundifolia-type,Chenopodiaceae undiff.,Grewia-type tenax,Phoenix reclinata-type,Vernonieae undiff.,Kohautia-type caespitosa,Cyathea-type manniana,Teclea-type,Isoglossa,Euphorbiaceae undiff.,Flueggea-type virosa,Pilea-type bambuseti,Crassocephalum-type montuosum,Myrsine africana,Swertia-type kilimandscharica,Dorstenia foetida-type,Ranunculus stagnalis-type,Hallea-type rubrostipulata,Apodytes dimidiata,Carissa-type edulis,Tacazzea-type apiculata,Tarenna-type graveolens,Mimulopsis-type,Gunnera perpensa,Psydrax-type schimperiana,Lactuceae undiff.,Rubus pinnatus-type,Stoebe kilimandscharica-type,Vepris-type daniellii,Nymphaea lotus-type
,1,27,46,1,130,132,189,6,1,1,1,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,57,12,,6,85,284,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,55,34,1,15,55,465,1,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,51,42,,29,93,280,2,,,,,8,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,40,71,1,39,143,406,4,,,1,,2,,1,1,,1,,3,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175,25,245,5,20,18,103,,1,,2,3,19,,2,11,1,,5,2,,1,,1,2,11,2,1,2,1,1,2,2,3,1,2,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200,38,227,,22,20,56,,3,,8,,21,,3,1,,,1,7,,2,,,,8,,,,,,1,,,,5,,,,,3,2,5,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,225,21,132,8,7,15,78,,1,,1,,10,1,5,11,1,,5,3,,4,,,3,12,,,,,,3,,,,2,2,,,,,9,1,,,,1,1,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,33,291,3,36,9,83,,1,1,1,4,1,1,7,,3,,,7,,1,,1,9,4,,,,,,4,1,,1,,1,1,,,,,,,,8,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,275,25,294,8,34,20,81,,1,1,1,6,3,,8,3,,,,13,,2,,,6,6,,,,,,2,,1,,,1,,,1,1,1,2,,,7,,,,,1,,,,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
