"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Unknown (type 119, HdV)","Linum usitatissimum","Spike","Riccia","Turbellaria","Poaceae (Cerealia)","Artemisia","Typha/Sparganium","Rumex","Selaginella","Glomus","Cichorioideae","Quercus","Indeterminable (unknown)","Pseudopediastrum boryanum","Fabaceae","Cyperaceae","Monactinus simplex","Indeterminable","Asteroideae","Poaceae","Amaranthaceae","Pollen concentration","Acacia","Prunella","Brassicaceae","Polygonum aviculare","Commiphora","Huperzia","Tilletia","Apiosordaria"
2685.3,NA,NA,812.5,"2","1","2","2, 1132, 9666","2","3","3","4","4","5","5","5","6","9","9","11","13","15","17","45","56","75","115","3458","","","","","","","",""
3302.6,NA,NA,920,"2","2","2","2, 1197, 9666","19","26","7","","","","5","","11","30","3","3","3","45","6","8","80","71","51","3012","1","","","","","","",""
3934.2,NA,NA,1030,"2","","","2, 674, 9666","","9","13","","","","","","","","1","1","2","38","12","81","69","79","98","5793","1","","","","","","",""
4250,NA,NA,1085,"2","","","2, 361, 9666","","4","9","","","3","","","3","","2","","","2","1","125","157","74","39","11326","1","1","2","","","","",""
4651.9,NA,NA,1155,"2","1","1","2, 269, 9666","","5","10","","","","","","","","8","9","7","30","8","102","84","112","42","15487","","","","1","1","1","4","5"
