"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Lycopodium tablets","Euphorbia","Sanguisorba","Lythrum","Liliaceae","Juglans","Helianthemum","Nerium","Lamiaceae (hexacolpate)","Lamiaceae (tricolpate)","Ulmus","Vitis","Thymelaeaceae","Pistacia","Typha angustifolia-type","Cistus","Rumex conglomeratus-type","Sordariaceae","Prunus-type","Quercus (deciduous)","Phillyrea","Genista-type","Glomus","Berberis","Cyperaceae","Cichorioideae","Brassicaceae","Fungi undiff.","Asteroideae","Olea","Amaranthaceae","Plantago","Artemisia","Juniperus","Poaceae","Bryophyta","Pinus","Coniferae undiff.","Quercus (evergreen)","Pollen concentration","Lycopodium spike","Charcoal","Spirogyra (psilate)","Collembola","Copepoda (type 179, HdV)","Caryophyllaceae","Pteridophyta","Pteridophyta (monolete)","Euastrum bidentatum (type 985, HdV)","Tilletia","Puccinia","Unknown (type 222, HdV)","Pseudoschizaea","Centaurea","Ononis-type","Ephedra fragilis","Pluricellaesporites","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)","Euastrum ansatum (type 984, HdV)","Unknown (type 181, HdV)","Unknown (type 224, HdV)","Equisetum","Polyadosporites","Oribatida","Solanaceae","Lotus","Selaginella denticulata","Gelasinospora","Rhizopoda","Unknown (type 988, HdV)","Dictyosporiaceae","Invertebrata (type 219, HdV)","Teucrium","Ophioglossum","Chaetomium","Ericaceae","Trichuris","Betula","Rhamnus","Rivularia","Ranunculaceae","Gloeotrichia","Alnus","Corylus","Sparganium","Dipsacoideae","Zygnema","Apium","Botryococcus","Tetraëdron cf. T. minimum","Spermatophyta undiff. (aquatics)","Potamogeton","Epilobium","Polypodium","Crocus","Closterium idiosporum-type","Rubiaceae","Mougeotia","Unknown (type 128, HdV)","Unknown (type 119, HdV)","Ceratophyllum","Myriophyllum spicatum","Unknown (type 304, HdV)","Asplenium-type","Myrtus","Fraxinus","Campanula","Polygonum","Buxus","Nuphar","Salix","Apiaceae","Scrophulariaceae","Alisma","Botrychium","Thalictrum","Bupleurum","Isoëtes","Acer","Sorbus","Viola","Hydrocotyle"
1761,NA,NA,144,"1.4","12542, 2","","","","","","","","9","","","","","3","","","","","","","2","","66","","14","10","","151","","1","14","8","11","5","31","","85","90","8","28489.37","161","241500","","","","","1","","22","1","","12","11","","","7","21","12","13","27","11","47","63","","","","1","","1","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1777.9,NA,NA,145,"1.4","12542, 2","","","","","","","","8","","","","","8","","","","3","","6","7","","49","1","11","15","","138","7","","12","11","7","9","43","1","54","63","29","33291.99","148","528571.4","","","","","2","2","13","1","","23","13","","","5","32","23","8","23","15","39","44","1","","","","","","","9","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1830.6,NA,NA,146,"1.4","12542, 2","","","","","","","1","12","","","","","8","2","","","5","","2","","","54","","13","","","136","","1","10","6","","9","39","","53","62","26","41068.51","89","247928.6","","","11","","","","8","3","","9","24","","","","19","25","12","12","10","13","54","","","","","1","2","","","1","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1884.3,NA,NA,147,"1.4","12542, 2","","","","","","","","7","","","","","12","","","","6","","3","","","42","","8","","","156","11","","8","26","8","10","24","","39","49","31","48786.44","83","225285.7","","","4","","","","4","","","12","10","","","2","51","18","12","21","4","23","57","1","","","","","","","","","","","","12","","","","","","","1","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1937.8,NA,NA,148,"1.5","12542, 2","","","1","","","","1","6","","","","","1","3","","","8","","7","","","83","","16","1","","171","1","","17","12","3","7","38","","27","34","62","34365.85","109","297933.3","1","","12","","1","1","7","2","","1","12","","","","12","28","12","22","5","18","54","","","","","1","1","","11","","","","","1","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2044.8,NA,NA,150,"1.8","12542, 2","","","","","","","","2","","","","","9","4","1","","3","","7","","","10","","15","","","79","","","14","7","","4","23","","44","48","69","27519.79","119","158666.7","","","7","","1","1","7","","","15","","","","1","17","12","6","16","4","33","42","1","","","","1","2","","5","2","","","1","1","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2081.3,NA,NA,151,"1.8","12542, 2","","","","","","","","","","","","","","2","","","5","","7","","","49","","13","","","102","","2","6","2","4","7","32","2","62","69","29","24091.98","118","137666.7","2","","12","","1","1","3","","","2","3","","","","13","11","7","4","","34","29","","","","","","4","","6","","","","","","","","","","","1","","1","","","8","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2118,NA,NA,152,"1.5","12542, 2","","","1","","","","2","","","","","","2","3","1","","2","","1","","","19","","21","4","","59","3","","3","3","14","13","16","12","76","89","31","57956.64","73","63266.67","","","13","","4","4","6","","","3","2","","","1","8","22","12","17","4","37","27","1","","","","","4","","3","","","","","","","1","","","","","","","2","","4","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2154.7,NA,NA,153,"1.2","12542, 2","","","","","","","","","","","","","2","8","","","7","","4","","","62","","23","9","","105","","3","4","7","8","12","27","11","47","59","39","60334.62","88","22000","2","","14","","4","4","1","","","6","12","","","1","4","13","1","22","2","44","29","","","","","1","3","","2","4","","","","","","","","","","1","","","","","8","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2248.5,NA,NA,156,"1.6","12542, 2","","","1","","","","1","","","","","","4","2","","","","","6","","","48","","18","9","","154","","","","2","21","6","37","12","34","40","46","44841.02","93","34875","","","16","","6","4","6","","","8","4","","","2","13","9","1","17","7","59","93","","","","","","12","","","","","","","","","","","","","1","","","","","7","","7","4","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2311.5,NA,NA,159,"0.8","12542, 2","","","","2","","","","5","","","","","7","6","1","","19","","7","","","68","","42","2","","241","3","","9","3","9","4","29","14","60","64","67","171316.5","69","198375","","","13","","3","3","","","","3","11","","","6","39","12","","6","","95","99","1","","","","2","","","13","","","","1","","","","","","","","","","","","10","","","2","1","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2332.2,NA,NA,160,"1.8","12542, 2","","","","1","","","4","","1","","","","8","3","","","13","","10","","","54","","21","","","109","1","","9","4","16","6","16","25","72","78","77","64980.4","89","84055.56","12","","11","","7","4","","","","4","7","","","","1","2","","13","8","128","41","","","","","","7","","","","","","","1","","","","1","1","5","","","4","","12","","3","8","","","","3","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
2373.9,NA,NA,162,"1","12542, 2","","","","","","","","","","","","","5","4","","","12","","17","","","41","","17","","","112","4","","","2","9","9","54","2","57","66","69","88339.3","92","73600","13","","7","","","","","","","","13","","","1","19","","","4","11","63","39","","","","","1","","","","","","","","8","","","","","1","","","","","","11","","","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2414.8,NA,NA,164,"1","12542, 2","","","","1","","","2","1","","","","","8","4","","","","","34","","","54","","18","6","","100","1","","4","5","15","7","31","","30","37","65","97592.44","64","147200","12","","6","","2","1","","","","1","","","","","1","2","","2","4","12","43","1","","","","1","4","","","4","","1","1","1","","","","6","","1","","1","","","11","","3","8","","","","","","2","1","2","4","","","","","","","","","","","","","","","","","","","","","","",""
2495.1,NA,NA,168,"1.9","12542, 2","","","1","","","","","2","","","","","7","3","","","","","36","","","12","","19","7","","36","2","","1","2","","4","9","12","24","28","57","43951.31","79","87315.79","3","","8","","11","11","","","","","","","","1","","4","","2","1","59","23","","","","","1","8","","","","","","","4","","","","1","1","1","","","","","18","","7","","","","1","","","","","4","2","","","","","","","","","","","","","","","","","","","","","","",""
2576.2,NA,NA,172,"1.2","12542, 2","","","","","","","","3","","","","","1","4","1","","1","","24","","","11","","13","8","","35","1","","2","3","","5","18","","24","29","53","36345.43","111","166500","10","","11","","12","12","","","","","","","","","","","","6","4","17","23","","","","","","8","","","","","","","3","","","","","1","1","","","","","34","","7","7","","","","","","","","5","9","","","","","","","","","","","","","","","","","","","","","","",""
2655.6,NA,NA,176,"1.2","12542, 2","","","","","","","2","8","","","","","4","2","","","","","31","","","3","","2","1","","22","","","2","1","8","9","19","","38","47","47","39552.39","102","144500","7","","2","","1","1","","","","","","","","","","","","","1","9","19","","","","","","","","","","","","","7","","1","","","","5","","","1","","16","","","6","","","","","","","","3","13","","","","","","","","","","","","","","","","","","","","","","",""
2675.6,NA,NA,177,"1.5","12542, 2","","","","","","","","1","","","","","3","4","1","","","","19","","","4","","4","8","","6","","","7","3","3","4","8","","24","28","49","15487.47","176","82133.33","4","","","","","","","","","","","","","3","","","","","2","11","2","","","","","","","","","","","","","10","","","","","","","","","","","6","","","3","1","1","","","","","","","14","12","","","","","","","","","","","","","","","","","","","","","",""
2695.6,NA,NA,178,"1.2","12542, 2","","","","","","","","","","","","","7","","","","","","32","5","","6","","2","","","6","","2","9","6","3","4","37","","54","58","34","27650.61","158","368666.7","3","","2","","1","1","","","","","","","","","","","","","2","8","","","","","","","","","","","","","","2","","","","","","1","","","1","","2","","","2","2","2","","","","","","","21","10","","","","","","","","","","","","","","","","","","","","","",""
2715.7,NA,NA,179,"1.5","12542, 2","","","","","","","","","","","","","7","","","","","","34","2","","10","","7","","","10","7","","1","","2","7","23","","68","75","42","23455.17","154","318266.7","2","","","","","","","","","","","","","4","","","","","","8","","","","","","","","","","12","","","","3","","","","","","","","","","","7","","","2","1","1","","","","2","","","42","9","3","","","","","","","","","","","","","","","","","","","","",""
2736,NA,NA,180,"1.5","12542, 2","","","","","","","","","","","","","7","","","","","","14","3","","8","","13","","","8","","","3","2","4","3","51","","84","87","30","22812.42","173","207600","2","","","","","","","","","","","","","2","","","","","","9","","","","1","","","","","","","","","","3","","","","1","","2","","1","","","3","","2","8","6","5","","","","1","","","16","12","","1","","","","","","","","","","","","","","","","","","","",""
2754.8,NA,NA,181,"1.5","12542, 2","","","","","","","","","","","","","10","","1","","","","48","2","","4","","5","","","8","","","4","3","2","3","23","","13","16","52","20403.76","159","392200","3","","","","1","","","","","","","","","3","","","","","","8","4","","","","","","","","","","","1","","3","","","","","","1","","","2","","2","","1","","11","11","","","","11","","","31","14","","","1","","","","","","","","","","","","","","","","","","",""
2773.6,NA,NA,182,"1.5","12542, 2","","","","","","","","","","","","","8","","","","","","24","2","","4","","6","","","13","","","3","","5","10","28","","58","68","56","18918.57","198","448800","2","","","","","","","","","","","","","","","","","","","8","9","","","","","","","","","","","","","6","","","","","","","","","","","2","","21","","10","9","","","","7","","","27","25","","1","1","","","","","","","","","","","","","","","","","","",""
2792.6,NA,NA,183,"1.5","12542, 2","","","","","","","","","","","","","6","","","","","","29","2","","12","","5","","","20","","","8","","3","4","18","","42","46","43","27975.3","107","149800","1","","","","","","","","","","","","","2","","","","","","6","7","","","","","1","","","","8","","","","6","","","","","","","","","","","4","2","12","1","3","2","","","","2","","","49","21","","1","12","","","","","","","","","","","","","","","","","","",""
2811.5,NA,NA,184,"1.4","12542, 2","","","","","","","","","","","","","8","","2","","","","13","3","","9","","8","","","9","","2","1","4","11","14","47","","66","80","49","24262.8","192","384000","","","","","","","","","","","","","","1","","","","","3","2","","","","","","","","","","1","","","","12","","","","","","","1","","2","","2","1","2","1","13","13","","","","4","","","9","13","1","","1","","","","","","","","","","","","","","","","","","",""
2830,NA,NA,185,"1.4","12542, 2","","","","","","","","","","","","","6","","","","","","39","3","","4","","7","","","11","","2","1","1","13","8","34","","73","81","58","48532.84","103","257500","2","","","","","","","","","","","","","","7","","","","5","7","","","","","","","","","","4","","","","11","","","","","","1","","","1","","11","1","13","","14","12","","","","3","","","19","17","1","2","1","","","","","","","","","","","","","","","","","","",""
2846.7,NA,NA,186,"1.4","12542, 2","","","","","","","","","","","","","3","","","","","","41","4","","","","3","","","3","1","","9","3","5","4","35","","50","54","76","29476.59","155","354285.7","","","","","","","","","","","","","","","3","","","","","7","","","","","","","","","","2","","","","1","","","","","","","","1","","","4","","15","","12","9","","","","11","","","20","16","1","3","1","","","","","","","","","","","","","","","","","","",""
2863.4,NA,NA,187,"1.4","12542, 2","","","","","","","","","","","","","7","","","","","","53","6","","1","","8","","","9","","","9","","6","3","28","","36","39","53","38766.18","110","165000","","","","","","","","","","","","","","","8","","","","","8","","","","","","","","","","3","","","","2","","","","","","","1","","1","","2","","2","","17","8","","","","10","","","37","12","1","9","1","","","","","","","","","","","","","","","","","","",""
2880.4,NA,NA,188,"1.2","12542, 2","","","","","","","","","","","","","8","","","","","","42","5","","1","","10","","","1","2","","8","1","16","9","31","","35","44","46","30625.81","172","272333.3","4","","","","","","","","","","","","","","","","","","","16","","","","","","","","","","5","","","","5","","","","","","1","","","1","","11","","","1","17","11","","","","3","","","18","16","","6","1","","","","","","","","","","","","","","","","","","",""
3032.7,NA,NA,197,"1.4","12542, 2","","","","","","","","","","","","","7","","","","","","38","5","","3","","4","","","3","1","","6","4","3","4","33","","22","26","41","21212.25","174","211285.7","","","","","3","","","","","","","","","","","","","","","12","","","","","","","","","","8","","","","9","","","","","","","","","1","","4","","","1","13","13","","","","3","","","29","33","","","2","3","","","","","","","","","","","","","","","","","",""
3286.7,NA,NA,212,"1.4","12542, 2","","","","","","","","","","","","","7","","2","","","","27","3","","5","","10","","","14","6","3","","","","","25","","28","28","50","32286.34","101","79357.14","3","","","","2","","","","","","","","","1","9","","","","","1","","","","","","","","","","10","","","","10","","1","","","","","","1","","","5","1","","1","4","3","","","","13","","","16","15","","1","","2","","","","","","","","","","","","","","","","","",""
3353.9,NA,NA,216,"1.5","12542, 2","","","","","","","","","","1","","","15","","","","","","65","5","","7","","5","","","7","","","","1","","9","49","","9","18","68","21722.23","194","245733.3","","","","","3","","","","","","","","","","","","","","","2","","","","","","","","","","9","","","","11","","","","","","","","1","","","3","3","","1","5","5","","","","3","","","6","17","","","1","3","","","","","","","","","","","","","","","","","",""
3370.2,NA,NA,217,"1.5","12542, 2","","","","","","","","","","","","","","","3","","","","42","4","","2","","3","","","19","","","","","","5","34","","16","21","38","20113.98","143","152533.3","","","","","","","","","","","","","","","9","","","","","2","","","","","","","","","8","","","","","12","","","","","","","1","","","","2","6","","1","6","6","","","","","","","7","49","","","1","","","","","","","","","","","","","","","","","","",""
3387.5,NA,NA,218,"1.5","12542, 2","","","","","","","","","","2","","","3","","","","","","32","2","","","","8","","","2","","","","4","","8","12","","33","41","54","17500.46","172","183466.7","","","","","","","","","","","","","","1","2","","","","","7","","","","","","","","","","3","","","","8","","","","","","","","","1","","","","","","5","3","","","","3","","","11","27","","2","5","","","","","","","","","","","","","","","","","","",""
3404.7,NA,NA,219,"1.5","12542, 2","","","","","","","","","","","","","8","","","","","","31","4","","1","","4","","","13","4","","6","","8","14","14","","38","52","42","21283.39","154","154000","","","","","","","","","","","","","","","6","","","","","2","6","","","","","","","","","8","","","","8","","","","","","","","","","","","","20","","13","10","","","","12","","","12","42","","3","1","","","","","","","","","","","","","","","","","","",""
3422,NA,NA,220,"1.6","12542, 2","","","","","","","","","","","","","11","","","","","","42","2","","","","3","","","8","2","","5","","6","11","52","","76","87","48","32758.96","134","175875","","","","","8","","","","","","","","","","8","","","","","4","","","","","","","","","","17","","","","1","","","","","","","1","","","","2","3","15","1","5","3","","","","12","","","23","30","","2","2","8","","","","","","","","","","","","","","","","","",""
3438.3,NA,NA,221,"1.6","12542, 2","","","","","","","","","","","","","5","","1","","","","38","3","","","","8","","","13","","","8","","5","14","22","","33","47","53","21668.9","157","225687.5","","","","","3","","","","","","","","","4","4","","","","","1","6","","","","","","","","3","3","","","","7","","1","","","","","2","","","","","","","","9","9","","","","4","","","12","42","","","2","3","","","","","","","","","","","","","","","","","",""
3454.8,NA,NA,222,"1.6","12542, 2","","","","","","","","","","","","","3","","","","","","35","3","","","","3","","","18","","","","","","11","44","","26","37","47","23121.49","139","156375","3","","","","","","","","","","","","","","11","","","","","7","7","","","","","","","","","","","","","13","","","","","","","2","3","","","6","2","","","6","6","","","","","","","45","37","","","1","","","","","","","","","","","","","","","","","","",""
3471.3,NA,NA,223,"1.6","12542, 2","","","","","","","","","","","","","4","16","1","","1","","47","7","","","","9","","","1","","","4","3","2","7","32","","23","30","46","24636.07","147","229687.5","","","","","","","","","","","","","","5","","1","","","","13","","","","","","","","","","12","","","","8","","","","","","","","2","","","","","13","","2","1","","","","5","","","17","24","","1","5","","","","","","","","","","","","","","","","","","",""
3487.7,NA,NA,224,"1.3","12542, 2","","","","","","","","","","","","","6","3","","","","","45","2","","","","10","","","","","","3","2","4","13","40","","4","17","52","26785.04","152","140307.7","6","","","","","","","","","","","","","2","","1","","","","11","","","","","","","","","","24","","","","3","","","","","","1","","1","","","10","3","11","","7","5","","","","4","","","13","21","","2","","","","","","","","","","","","","","","","","","","",""
3546.3,NA,NA,228,"1.6","12542, 2","","","","","","","","","","","","","8","6","","","","","41","4","","","","5","","","","","","","1","","","32","","24","24","69","21508.77","164","143500","","","","","7","","","","","","","","","","","","","","","4","","","","","","","","","","3","","","","6","","1","","","","","","","","","1","3","12","1","11","9","","","","8","","","12","26","","2","13","7","3","","","","","","","","","","","","","","","","",""
3603.5,NA,NA,232,"1.3","12542, 2","","","","","","","","","","1","","","9","11","","","","","44","3","","","","14","","","","2","2","","5","","","32","","34","34","47","25618.17","177","204230.8","","","","","1","","","","","","","","","","","2","","","","6","","","","","","","","","","2","","","","1","","1","","","","1","1","","","","9","9","","4","7","7","","","","3","","","6","17","","","","1","5","","","","","","","","","","","","","","","","",""
3661.3,NA,NA,236,"1.4","12542, 2","","","2","","","","","","","2","","","14","9","","","","","41","5","","","","2","","","6","","","","1","","1","19","","18","19","76","58425.46","69","59142.86","","","6","","6","","","","","","","","","1","","1","","2","","3","6","","","","","","1","","","11","","","","5","","3","","","","1","3","7","","","3","","1","9","7","5","","","","11","","3","1","18","","2","1","6","","","","","","","","","","","","","","","","","",""
3718.3,NA,NA,240,"1.8","12542, 2","","","","","","","","","","","","","2","","","","8","","29","2","","","","8","","","12","","","","1","1","1","22","","12","13","40","15377.17","116","12888.89","8","","2","","","","","","","","","","","","3","","","2","","3","1","","","","","","7","","","4","","","","5","","1","","1","","1","","","","","6","","","","","","","","","1","","2","1","9","","","","","","1","","","","","","","","","","","","","","","",""
3776.4,NA,NA,244,"1.2","12542, 2","","","","","","","","","","1","","","","1","","","2","","32","2","","11","","13","","","29","","","5","","","1","31","1","15","16","51","26488.19","131","21833.33","14","","1","","1","","","","","","","","","","4","21","","15","5","","12","1","","","1","","3","","","4","","","","10","","","","1","1","1","1","","","","23","","6","10","","","","","","1","","4","","13","","","","","","","","","","","","","","","","","","","","","",""
3832.7,NA,NA,248,"1.5","12542, 2","","","1","","","","","","","2","","","1","1","1","","1","","31","","","2","","23","","","33","2","","","","","","16","2","6","6","40","17821.24","137","9133.333","7","","12","","12","12","","","","","","","","","9","2","","14","5","","20","","","","","1","5","","","8","","","","3","","2","","","","1","2","","","","16","","","","1","1","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","",""
3890.1,NA,NA,252,"1.3","12542, 2","","","1","","","","","","","2","","","5","","","","","","32","5","","5","","24","","","29","","","9","2","1","","29","23","8","8","41","28223.1","134","72153.85","14","","13","","2","1","","","","","","","","1","","17","","12","9","","21","1","","","1","3","12","","","2","","","","5","","1","","","","1","1","1","","","13","","","2","","","1","","","1","","1","3","13","","","","","","2","","","","","","","","","","","","","","","",""
3948.3,NA,NA,256,"1.6","12542, 2","","","1","","","","","","","1","","","5","4","","","1","","29","2","","19","","26","","","53","","","","4","","1","30","1","3","4","45","28798.89","92","132250","8","","1","","1","","","","","","","","","","5","12","","12","10","4","23","","","","1","4","1","","","1","","","1","1","","1","","7","","","2","2","","","15","","2","8","3","3","","","","","","","6","9","","","","","","3","","","","","","","","","","","","","","","",""
3992.1,NA,NA,259,"1.7","12542, 2","","","","","","","","","","2","","","8","3","","","11","","27","3","","21","","19","","","60","2","","2","3","","1","21","5","7","8","34","37349.34","64","52705.88","24","","2","","1","1","","","","","","","","2","9","11","","6","1","4","12","","","","","7","1","","","7","","","","","","4","","","","","4","4","","","5","","","2","2","2","","","","","","","5","5","","","","","1","2","1","","","","","","","","","","","","","","",""
4034.9,NA,NA,262,"1.4","12542, 2","","","","","","","","","","1","","","2","4","","","4","","24","2","","48","","71","","","89","","1","","","1","","49","","5","5","54","30984.53","133","28500","9","","1","","3","3","","","","","","","","","12","10","","9","1","2","22","1","","","","2","1","","1","4","","","","","","","","","","2","1","3","","","13","","","","3","1","","","","3","1","1","3","","","2","","","1","2","","","","","","","","","","","","","","","",""
4091.8,NA,NA,266,"1.2","12542, 2","","","","","","","","","","2","","","2","13","1","","7","","31","","","43","","52","","","83","3","2","","5","","5","12","6","","5","43","67670.11","59","34416.67","16","","4","","","","","","","","","","","","7","1","","","","6","21","","","","","4","8","","","7","","","1","","","","","1","","","4","1","","","14","","2","1","1","1","","","","","","","7","7","","","1","","1","1","","","","","","","","","","","","","","","",""
4148,NA,NA,270,"1","12542, 2","","","","","","","","","4","1","","","1","13","1","","2","","34","","","4","","10","","","23","","","","2","","1","61","","21","22","76","85095.09","79","79000","4","","12","","6","6","","","","","","","","1","3","5","","17","","","9","","","","","4","1","","1","4","","","","","","","","","1","1","10","16","","","5","","","","8","6","","","","1","","1","10","3","","2","","","1","","","","","","","","","","","","","","","","",""
