"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Lycopodium tablets","Euphorbia","Sanguisorba","Lythrum","Liliaceae","Juglans","Helianthemum","Nerium","Lamiaceae (hexacolpate)","Lamiaceae (tricolpate)","Ulmus","Vitis","Thymelaeaceae","Pistacia","Typha angustifolia-type","Cistus","Rumex conglomeratus-type","Sordariaceae","Prunus-type","Quercus (deciduous)","Phillyrea","Genista-type","Glomus","Berberis","Cyperaceae","Cichorioideae","Brassicaceae","Fungi undiff.","Asteroideae","Olea","Amaranthaceae","Plantago","Artemisia","Juniperus","Poaceae","Bryophyta","Pinus","Coniferae undiff.","Quercus (evergreen)","Pollen concentration","Lycopodium spike","Charcoal","Spirogyra (psilate)","Collembola","Copepoda (type 179, HdV)","Caryophyllaceae","Pteridophyta","Pteridophyta (monolete)","Euastrum bidentatum (type 985, HdV)","Tilletia","Puccinia","Unknown (type 222, HdV)","Pseudoschizaea","Centaurea","Ononis-type","Ephedra fragilis","Pluricellaesporites","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)","Euastrum ansatum (type 984, HdV)","Unknown (type 181, HdV)","Unknown (type 224, HdV)","Equisetum","Polyadosporites","Oribatida","Solanaceae","Lotus","Selaginella denticulata","Gelasinospora","Rhizopoda","Unknown (type 988, HdV)","Dictyosporiaceae","Invertebrata (type 219, HdV)","Teucrium","Ophioglossum","Chaetomium","Ericaceae","Trichuris","Betula","Rhamnus","Rivularia","Ranunculaceae","Gloeotrichia","Alnus","Corylus","Sparganium","Dipsacoideae","Zygnema","Apium","Botryococcus","Tetraëdron cf. T. minimum","Spermatophyta undiff. (aquatics)","Potamogeton","Epilobium","Polypodium","Crocus","Closterium idiosporum-type","Rubiaceae","Mougeotia","Unknown (type 128, HdV)","Unknown (type 119, HdV)","Ceratophyllum","Myriophyllum spicatum","Unknown (type 304, HdV)","Asplenium-type","Myrtus","Fraxinus","Campanula","Polygonum","Buxus","Nuphar","Salix","Apiaceae","Scrophulariaceae","Alisma","Botrychium","Thalictrum","Bupleurum","Isoëtes","Acer","Sorbus","Viola","Hydrocotyle"
-49,NA,NA,0,"1.3","12542, 2","1","1","1","1","1","1","1","1","1","2","2","2","3","3","3","3","3","4","4","4","4","4","5","6","6","6","7","8","8","10","12","14","17","22","23","68","85","112","47254","147","859384.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1195.8,NA,NA,108,"1.6","12542, 2","1","2","","","","4","1","","","","4","","2","","2","4","13","3","","4","2","24","","2","3","9","112","10","6","8","7","7","8","38","1","68","76","7","25348.69","154","529375","1","1","1","1","1","1","2","2","2","3","4","4","4","4","4","7","8","10","22","32","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1252.8,NA,NA,112,"1.6","12542, 2","","","","","","4","","2","","","","","9","","4","","7","1","3","","","57","","3","13","","139","15","3","14","4","15","11","33","","70","81","8","31216.26","113","268375","","","1","","3","2","17","","","4","6","1","4","3","7","13","9","11","23","","54","1","1","1","1","2","2","4","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1315.3,NA,NA,116,"1.3","12542, 2","1","1","","","","","1","","","","1","","2","","","2","41","1","2","","1","89","1","6","","2","293","1","1","24","12","","13","66","","78","91","9","30989.56","165","545769.2","1","","1","1","1","","4","2","2","16","3","","","2","29","23","1","7","14","28","128","","","","","1","","","","1","1","1","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1378,NA,NA,120,"1.5","12542, 2","","","","","1","","1","1","","","1","","","","","1","35","2","1","","","18","","1","","1","174","14","1","16","13","8","8","47","2","76","84","15","29780.09","146","457466.7","","1","1","1","2","2","11","1","9","18","26","1","","","7","11","1","3","10","41","102","1","1","1","","1","2","1","","","","","1","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1439.6,NA,NA,124,"1.7","12542, 2","1","1","","","1","","","","","","1","","","","","","4","","","","","83","1","12","","12","164","1","","16","12","8","12","56","","98","110","12","29317.71","153","279000","","1","1","1","1","","7","","","27","23","","","","12","1","4","12","3","57","64","","","","1","","5","1","","","","","1","","","","","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1502.4,NA,NA,128,"1.6","12542, 2","1","","","","","","","1","","","","","14","","","2","1","","3","","1","26","","2","7","4","145","19","6","20","11","21","7","50","2","114","121","12","32481.53","167","250500","2","1","2","","2","1","13","1","2","24","16","1","","1","39","2","7","36","13","41","63","","1","1","","1","3","1","12","1","1","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1565.4,NA,NA,132,"1.4","12542, 2","","","","","","","2","","","","","","9","","","","4","","1","","","30","","9","14","","127","21","9","19","7","8","10","61","","91","101","1","39011.09","141","271928.6","","","3","","","","3","","5","13","48","","","9","11","6","3","34","7","33","76","1","","2","","","","1","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1630.3,NA,NA,136,"1.4","12542, 2","","","","","","","","11","","","","","","1","6","","12","","","1","","41","","7","11","4","162","11","","16","7","8","7","35","","76","83","12","30883.5","152","401714.3","","","4","","1","","2","2","1","55","21","","","11","36","2","5","21","4","31","67","1","1","","1","","1","2","3","","1","","","1","","","","","1","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1693.3,NA,NA,140,"1.5","12542, 2","","","","","","","","","","","","","7","","","","12","","5","1","","87","","16","","5","208","","","23","8","11","10","22","3","78","88","12","29518.04","132","369600","1","","3","1","2","1","15","1","","58","6","","","1","51","6","6","14","25","22","50","2","","","1","","1","","7","1","","","","","","","","","","","1","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
