"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Potamogeton undiff.","Ulmus","Poaceae (Cerealia)","Rubiaceae","Carpinus betulus","Filipendula","Olea","Buxus","Veronica-type","Cornus suecica-type","Urtica undiff.","Indeterminable (corroded)","Pediastrum","Cladium","Salix","Vitis","Pistacia","Amaranthaceae","Ranunculus-type","Rumex undiff.","Quercus (evergreen)","Plantago coronopus-type","Lythrum salicaria-type","Sanguisorba minor-type","Nuphar","Juglans","Populus","Myriophyllum undiff.","Fraxinus excelsior-type","Urtica urens","Indeterminable (broken)","Artemisia","Platanus","Asteroideae","Mentha-type","Indeterminable (hidden)","Indeterminable (degraded)","Alnus","Corylus avellana-type","Apiaceae","Fraxinus ornus","Fagus","Pinus","Nymphaea","Ostrya-type","Unknown (monolete)","Cyperaceae undiff.","Carex","Quercus (deciduous)","Poaceae undiff.","Juniperus","Sparganium","Abies","Cichorioideae","Cannabis sativa-type","Tamarix","Phillyrea","Digitalis-type","Chrysosplenium-type","Sambucus nigra","Unknown (trilete) undiff.","Frangula","Indeterminable (crumpled)","Caryophyllaceae","Myriophyllum verticillatum","Myriophyllum alterniflorum","Myriophyllum spicatum","Ephedra fragilis-type","Oxyria-type","Brassicaceae","Typha latifolia-type","Betula","Plantago undiff.","Rosaceae","Crassulaceae","Ericaceae","Potamogeton","Androsace","Solanum dulcamara","Scrophularia-type","Rhamnus","Thalictrum","Acer campestre-type","Myricaria germanica","Tilia cordata-type","Hedera","Pedicularis","Liliaceae undiff.","Helianthemum","Viburnum","Lythrum portula","Ephedra distachya-type","Caltha-type","Gentianella campestris-type","Lamiaceae","Urtica pilulifera","Reseda lutea-type","Lonicera","Plantago lanceolata-type","Cirsium","Indeterminable (reworked)","Polygala","Centaurea undiff.","Gentianaceae undiff."
597,NA,NA,75,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,6,6,7,9,12,12,14,17,23,32,37,46,72,80,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
916,NA,NA,112,1,NA,2,3,NA,3,1,2,1,NA,NA,NA,1,4,13,1,2,2,3,3,4,3,6,NA,2,4,6,1,1,1,1,6,13,4,NA,2,9,5,5,8,1,7,13,23,10,11,13,29,18,53,102,22,34,1,1,1,1,1,1,1,1,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1242,NA,NA,150,1,2,NA,3,NA,1,1,NA,1,NA,NA,1,6,2,12,2,2,2,6,2,8,4,3,NA,2,3,4,3,2,4,4,1,21,4,2,1,NA,12,1,7,3,NA,17,27,8,18,35,34,16,40,92,17,65,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,1,15,1,1,1,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1561,NA,NA,187,1,NA,2,NA,NA,1,NA,2,1,NA,1,NA,4,2,36,1,NA,8,5,NA,3,2,2,1,3,3,8,1,1,3,2,4,4,4,1,NA,1,10,8,3,NA,3,8,46,11,16,72,54,11,61,101,10,22,2,1,NA,NA,1,NA,NA,NA,1,NA,1,1,4,1,NA,NA,1,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1879,NA,NA,224,1,NA,1,NA,NA,4,NA,NA,3,NA,1,NA,2,1,15,NA,1,NA,1,NA,3,1,2,NA,NA,NA,12,NA,2,2,4,3,8,5,1,NA,4,6,7,4,NA,6,9,40,NA,17,35,58,15,67,103,8,5,1,NA,NA,NA,1,NA,NA,NA,3,NA,1,NA,19,NA,1,NA,NA,NA,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2206,NA,NA,262,1,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,1,NA,16,1,NA,2,5,NA,NA,1,4,1,1,1,4,NA,NA,1,1,6,5,2,NA,NA,22,5,8,3,3,12,11,42,3,22,39,103,9,114,60,3,2,2,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2524,NA,NA,299,1,NA,1,2,1,3,2,NA,NA,NA,NA,NA,1,1,9,1,NA,6,2,3,1,1,1,NA,1,2,4,NA,NA,1,14,5,4,6,1,1,5,13,4,6,7,7,9,26,NA,21,9,58,24,86,95,4,NA,NA,2,3,NA,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2851,NA,NA,337,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,5,1,NA,2,NA,11,17,2,1,1,2,1,146,NA,4,36,144,5,85,26,6,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3169,NA,NA,374,1,NA,4,1,1,3,1,NA,2,NA,2,NA,2,NA,2,NA,3,2,2,1,1,2,4,1,NA,1,3,NA,NA,3,4,NA,9,NA,3,1,3,11,20,6,6,NA,4,36,NA,19,18,35,13,66,96,4,3,NA,NA,7,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3487,NA,NA,411,1,NA,1,1,NA,9,NA,NA,NA,NA,NA,NA,6,NA,12,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,3,2,NA,NA,NA,4,7,6,NA,1,2,5,53,NA,18,2,349,112,76,48,5,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
