"age_NA","ageolder_BP","ageyounger_BP","depth","Pseudopediastrum kawraiskyi","Caryophyllaceae","Fagus","Nymphaea","Liliaceae","Asteroideae","Galium-type","Capsella-type","Matricaria-type","Cladium mariscus","Corylus","Plantago lanceolata-type","Carpinus betulus","Abies","Apiaceae","Fabaceae","Unknown","Alnus","Ostrya/Carpinus orientalis","Dryopteris-type","Poaceae (Cerealia-type)","Cyperaceae","Amaranthaceae","Juniperus","Poaceae","Cichorioideae","Salix","Polygonum aviculare-type","Quercus robur-type","Pteridium","Pseudopediastrum boryanum","Pinus","Pseudopediastrum brevicorne","Geranium","Thalictrum","Tilia","Ulmus","Xanthium","Juglans","Plantago major-type","Plantago coronopus-type","Vitis","Sanguisorba-type","Betula","Artemisia","Rumex undiff.","Sparganium-type","Thymus/Mentha","Typha latifolia","Centaurea solstitialis-type","Nuphar","Myriophyllum","Potamogeton","Rosaceae","Quercus ilex-type","Urtica dioica-type","Brassicaceae","Ericaceae","Ephedra fragilis-type","Picea","Sagittaria","Ranunculaceae","Filipendula","Cotinus coggygria","Artemisia herba-alba-type","Artemisia vulgaris","Monactinus simplex","Acer","Lysimachia","Knautia","Myriophyllum spicatum/M. verticillatum","Ophioglossum","Clematis-type","Aquilegia-type","Carya","Rumex acetosa-type","Lythrum","Alisma","Fraxinus ornus","Botrychium","Castanea","Celtis","Platanus","Humulus/Cannabis","Persicaria maculosa-type","Ranunculus sect. Batrachium-type","Erodium","Plantago undiff.","Lamiaceae","Bistorta officinalis-type","Genista-type","Plantago maritima-type","Sambucus nigra-type","Equisetum","Fraxinus excelsior","Utricularia","Isoëtes","Ranunculus","Brassica-type","Boraginaceae","Epilobium","Menyanthes trifoliata","Atractylis cancellata","Polypodium","Linum","Rhinanthus-type","Rumex hydrolapathum","Butomus","Hypericum","Potentilla-type","Campanulaceae","Pistacia","Papaver","Plantago media-type","Hedera","Scleranthus-type","Phillyrea","Noaea-type","Scrophulariaceae","Silene-type","Buxus","Myriophyllum alterniflorum","Lycopodium","Iris","Taxus","Lemna","Calystegia","Loranthus","Viburnum-type","Sedum-type","Fagopyrum","Cedrus","Caltha","Malva","Vicia-type","Bupleurum-type","Dianthus-type","Cistus","Delphinium-type","Onobrychis-type"
NA,NA,NA,300,NA,2,3,1,NA,19,6,1,NA,NA,31,13,NA,2,15,8,5,7,3,9,14,10,10,27,85,40,2,72,181,140,5,148,NA,1,NA,NA,4,NA,NA,NA,5,3,2,13,7,7,NA,NA,NA,NA,NA,NA,NA,3,6,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,60,NA,NA,18,24,NA,20,8,NA,NA,NA,9,9,8,NA,7,NA,20,17,13,39,1,21,57,6,425,3,12,16,143,12,NA,47,NA,NA,NA,NA,3,1,NA,NA,1,2,2,NA,27,NA,135,1,NA,14,8,2,1,2,NA,NA,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,49,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,1,1,2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,370,NA,1,NA,NA,NA,13,1,NA,NA,1,15,1,4,3,2,NA,3,8,6,10,1,5,13,14,48,32,5,21,66,53,3,74,NA,NA,NA,NA,3,NA,NA,NA,2,3,1,3,10,9,4,1,NA,1,NA,NA,1,NA,3,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,140,NA,1,9,13,NA,3,2,NA,1,NA,2,2,4,3,NA,6,2,8,10,62,4,48,46,NA,68,4,3,15,59,6,3,102,NA,NA,NA,NA,6,2,1,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,360,1,1,NA,NA,NA,7,2,NA,2,NA,72,8,1,4,5,2,6,48,51,15,2,15,22,9,65,26,64,53,55,93,8,116,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,2,3,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,230,NA,NA,1,NA,NA,7,3,2,2,4,6,6,5,2,7,2,4,14,29,11,3,166,22,26,219,36,3,54,126,30,46,80,NA,NA,NA,1,3,NA,NA,NA,6,1,2,NA,NA,NA,249,1,9,3,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,11,1,1,NA,NA,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,350,NA,4,9,NA,NA,17,4,NA,NA,1,40,14,3,7,9,1,2,3,22,33,5,16,20,54,119,37,32,39,126,136,3,253,NA,NA,1,1,2,3,1,NA,2,1,7,7,5,24,4,7,3,NA,NA,NA,NA,NA,5,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,50,NA,NA,26,79,NA,4,2,16,NA,NA,30,8,12,2,5,NA,3,54,13,197,5,30,11,6,197,1,20,5,209,5,NA,54,NA,NA,NA,NA,17,1,2,NA,2,2,1,16,17,3,100,11,NA,1,NA,11,15,3,NA,5,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,3,NA,5,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,400,NA,4,4,1,NA,19,2,NA,NA,3,15,8,3,1,4,4,7,15,19,12,9,13,14,71,89,22,30,56,107,82,4,56,NA,NA,1,3,NA,2,1,NA,2,5,NA,3,5,22,7,2,1,NA,NA,NA,NA,3,6,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,190,NA,NA,4,22,NA,16,2,NA,NA,5,17,4,3,2,7,1,9,23,5,70,1,42,58,2,167,44,8,16,63,30,10,91,NA,NA,NA,1,3,2,NA,NA,3,1,NA,6,4,3,155,1,11,7,2,NA,1,NA,1,6,42,1,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,30,NA,2,30,304,NA,17,8,NA,NA,NA,55,39,5,3,27,2,NA,49,20,1400,9,123,57,6,403,11,402,NA,147,13,NA,237,NA,NA,NA,1,7,17,4,NA,8,3,3,35,44,15,516,63,6,NA,NA,60,NA,5,23,7,36,9,1,NA,NA,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,6,56,2,NA,NA,1,NA,NA,4,NA,9,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,40,NA,5,36,96,NA,1,5,3,NA,NA,50,9,21,NA,8,NA,NA,80,22,252,6,40,11,3,236,2,24,4,306,6,NA,62,NA,NA,NA,1,15,5,2,NA,4,8,1,18,10,4,136,15,3,1,NA,14,14,NA,11,7,24,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,1,1,1,1,NA,NA,NA,3,NA,NA,1,NA,23,8,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,384,NA,2,2,1,NA,24,NA,2,NA,3,33,35,3,NA,9,5,27,13,6,24,9,15,53,160,165,29,9,92,187,141,7,107,NA,NA,NA,3,2,NA,NA,NA,2,6,1,7,11,26,4,10,4,3,NA,NA,NA,3,NA,2,3,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,NA,2,14,75,2,11,6,NA,NA,NA,6,6,7,1,25,4,3,21,18,310,15,70,28,6,376,4,32,5,280,4,NA,76,NA,NA,NA,2,9,1,1,3,NA,2,NA,4,19,9,168,6,4,1,6,13,1,1,31,7,126,3,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,2,1,2,5,4,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,70,NA,3,119,85,NA,32,12,NA,NA,NA,113,27,39,4,48,6,10,198,80,219,47,130,116,10,4475,9,26,35,798,15,NA,365,NA,1,NA,5,34,4,4,2,6,22,4,46,61,6,216,7,12,4,NA,118,10,13,55,2,27,14,2,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,2,1,7,6,6,NA,NA,NA,NA,NA,13,NA,99,9,6,2,9,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
