"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Thalictrum","Pistacia","Centaurea","Helianthemum","Typha latifolia-type","Poaceae (Cerealia-type)","Cistus","Quercus robur-type","Ericaceae","Sparganium-type","Unknown (trilete)","Unknown (monolete)","Apiaceae","Ephedra","Corylus","Poaceae","Plantago","Olea","Cyperaceae","Juniperus","Artemisia","Quercus ilex/Q. coccifera","Asteroideae","Cichorioideae","Pseudoschizaea","Pinus","Amaranthaceae","Lamiaceae","Solanaceae","Vitis","Caryophyllaceae","Polygonum","Daphne","Phillyrea","Myrtaceae","Alnus","Fabaceae","Rumex","Ulmus","Echium","Plantago coronopus-type","Geraniaceae","Rhamnus","Tamarix","Cannabaceae","Oleaceae","Rosaceae","Papaveraceae","Cedrus","Lygeum-type","Urticaceae","Potamogeton-type","Betula","Abies","Ranunculaceae","Euphorbia","Ligustrum","Convolvulus","Coriaria myrtifolia","Monocotyledoneae","Fagus","Rubiaceae","Brassicaceae","Buxus","Salix","Thymelaea","Botryococcus","Myriophyllum","Lythrum","Platanus","Scrophulariaceae","Acer","Tilia","Boraginaceae","Hedera","Scabiosa","Fraxinus","Dinoflagellata","Sanguisorba","Viburnum","Asphodelus-type","Juglans","Hypecoum-type","Sambucus","Sedum-type","Malvaceae"
7934,8108,7782,870,1,3,5,2,NA,1,7,18,NA,NA,6,6,19,19,NA,49,NA,5,8,1,6,45,7,30,1,131,602,NA,NA,NA,1,1,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7959,8136,7805,880,NA,2,NA,5,1,15,4,5,1,2,11,2,20,12,1,72,NA,8,17,NA,2,38,15,37,2,73,74,NA,NA,1,1,1,NA,3,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7983,8165,7829,890,1,3,NA,4,NA,9,5,12,NA,NA,7,NA,14,20,1,69,NA,9,13,4,18,39,19,29,8,84,70,NA,NA,NA,1,1,NA,2,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8008,8194,7852,900,5,26,1,3,2,19,NA,23,NA,3,1,1,12,5,1,53,1,25,6,4,7,66,6,9,1,65,213,NA,NA,1,NA,3,NA,6,NA,3,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8032,8223,7875,910,1,7,1,1,NA,14,1,22,NA,1,1,NA,15,6,NA,84,NA,8,13,1,19,58,8,8,NA,33,24,NA,NA,1,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8057,8252,7898,920,1,4,2,3,NA,4,8,10,NA,NA,5,12,30,8,1,84,NA,4,6,3,11,44,12,22,2,37,151,1,NA,1,2,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8081,8283,7922,930,NA,8,2,1,2,19,2,20,2,11,4,1,16,3,NA,81,1,17,8,1,19,63,7,16,NA,57,61,2,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8106,8311,7944,940,NA,2,1,3,2,5,6,8,1,7,5,NA,19,13,1,55,2,14,12,2,18,33,14,18,3,71,41,NA,NA,NA,1,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8130,8382,7967,950,NA,5,NA,7,NA,15,1,14,2,137,3,1,18,8,NA,92,NA,5,8,3,6,33,9,18,NA,84,21,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8155,8415,7992,960,3,6,NA,3,NA,22,NA,4,NA,3,3,NA,17,7,NA,113,1,8,7,2,4,28,7,33,3,65,36,NA,NA,1,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8179,8447,8016,970,NA,3,1,3,NA,4,2,4,NA,NA,4,NA,15,24,2,72,NA,10,7,NA,7,33,6,56,2,54,40,NA,NA,NA,NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8204,8479,8040,980,2,20,1,2,1,13,1,36,NA,1,7,1,24,7,NA,87,1,22,5,1,15,65,12,22,NA,48,40,1,NA,1,NA,NA,NA,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8228,8510,8063,990,4,31,1,NA,2,16,NA,37,NA,2,NA,NA,14,13,NA,95,NA,40,5,3,8,74,16,14,1,34,93,1,NA,1,NA,1,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,2,1,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8253,8542,8086,1000,1,5,NA,3,1,4,7,12,NA,5,10,1,19,17,NA,55,NA,2,16,1,4,35,22,26,3,130,50,NA,NA,3,NA,2,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8277,8576,8110,1010,2,7,NA,2,NA,16,7,38,NA,46,11,3,29,7,1,96,NA,16,12,5,10,82,9,17,2,59,23,1,NA,4,1,NA,NA,3,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8302,8607,8131,1020,1,6,3,NA,NA,6,2,39,1,2,2,1,22,13,NA,45,NA,14,4,4,5,41,6,11,1,52,25,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
8326,8640,8153,1030,NA,5,NA,8,2,24,2,44,NA,1,7,NA,39,11,NA,77,NA,23,13,2,14,86,12,14,NA,32,41,NA,NA,4,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,2,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8351,8674,8176,1040,1,3,NA,3,NA,6,4,16,NA,3,3,1,18,8,NA,91,NA,20,4,4,9,52,14,12,1,41,30,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8375,8708,8197,1050,NA,1,NA,1,NA,13,4,18,NA,7,1,NA,15,9,1,103,NA,13,3,NA,11,44,7,10,2,35,39,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8400,8742,8219,1060,3,6,1,2,NA,12,2,15,NA,3,1,3,21,6,1,78,1,25,NA,5,11,55,12,11,NA,36,42,1,NA,2,NA,1,NA,5,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8424,8777,8240,1070,3,6,2,3,NA,12,1,18,1,3,7,2,26,15,3,73,1,21,2,3,26,79,4,16,3,34,43,NA,NA,2,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8449,8814,8262,1080,2,10,NA,1,NA,4,6,21,1,NA,1,NA,22,12,2,83,NA,6,12,4,5,63,8,8,2,66,11,NA,NA,5,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8473,8850,8283,1090,4,12,1,3,NA,7,1,12,NA,1,NA,NA,22,7,4,75,NA,18,8,6,9,47,12,26,NA,46,83,NA,NA,3,1,2,NA,3,NA,2,2,NA,NA,NA,NA,NA,3,NA,NA,4,1,NA,NA,NA,NA,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,6,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8498,8886,8304,1100,1,7,NA,NA,1,9,2,54,2,1,3,1,18,4,2,95,NA,17,10,7,8,85,11,18,NA,29,21,1,NA,1,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8522,8923,8325,1110,2,7,1,3,NA,5,2,37,NA,1,5,2,37,3,NA,76,NA,14,3,6,19,92,9,19,NA,24,16,1,NA,4,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8540,8943,8341,1120,1,4,2,NA,NA,7,3,34,NA,2,3,3,29,5,NA,77,NA,13,7,3,9,93,8,17,1,35,24,1,NA,1,NA,NA,NA,1,NA,1,2,1,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8552,8950,8354,1130,NA,6,NA,3,2,16,2,22,NA,1,2,2,16,11,NA,136,2,17,6,6,14,68,10,18,2,43,12,2,NA,3,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
8563,8955,8365,1140,2,7,1,6,NA,9,3,15,NA,1,7,2,34,3,NA,77,NA,21,6,4,7,70,11,6,2,42,25,NA,NA,4,2,3,NA,4,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8575,8915,8378,1150,1,12,1,2,2,10,2,7,NA,2,5,1,33,5,1,90,NA,28,5,5,6,67,9,34,1,34,31,NA,NA,4,2,1,NA,4,NA,2,4,1,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,3,NA,5,NA,NA,NA,NA,1,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8586,8924,8390,1160,1,17,NA,1,NA,20,1,13,NA,2,2,NA,31,6,2,117,1,21,4,1,6,106,9,21,NA,47,67,NA,NA,1,NA,1,NA,5,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,3,NA,1,NA,NA,NA,NA,3,1,NA,NA,4,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA
8598,8934,8403,1170,1,8,3,1,NA,4,2,13,NA,4,2,1,23,15,NA,76,NA,13,7,NA,4,60,15,21,2,38,55,2,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8609,8945,8415,1180,1,11,NA,4,NA,9,NA,4,1,3,2,1,24,18,NA,73,NA,21,5,1,4,64,13,18,2,31,27,NA,NA,2,NA,1,NA,4,NA,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8621,8956,8427,1190,1,5,NA,3,NA,13,3,6,NA,NA,6,4,54,13,1,79,NA,22,10,1,7,86,12,24,3,17,23,NA,NA,6,NA,3,NA,4,NA,2,NA,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,2,NA,6,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8632,8968,8438,1200,1,2,NA,3,1,11,4,5,NA,3,2,2,25,7,2,102,NA,21,3,2,2,80,7,16,1,39,22,NA,NA,3,NA,2,NA,1,NA,2,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8644,8985,8449,1210,3,5,1,3,NA,6,1,8,NA,3,3,NA,14,12,2,99,NA,20,8,2,7,68,11,13,1,36,37,1,NA,1,1,NA,NA,5,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8655,8996,8461,1220,NA,5,NA,1,NA,13,1,21,5,3,2,NA,21,10,1,97,1,6,9,1,6,49,11,14,4,48,32,3,NA,4,NA,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8667,9006,8473,1230,NA,9,NA,4,NA,19,4,5,NA,4,8,1,28,8,1,127,NA,21,4,1,5,93,9,20,2,23,48,NA,NA,1,NA,NA,NA,3,NA,2,4,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,1,NA,NA,1,2,NA,8,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8678,9014,8484,1240,2,13,NA,1,1,17,5,9,2,1,NA,NA,28,11,NA,95,NA,21,5,2,2,70,9,18,1,31,44,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8690,9020,8494,1250,2,16,NA,1,NA,15,3,14,1,2,3,1,34,3,2,131,NA,16,7,2,7,84,21,24,NA,36,48,NA,NA,3,NA,1,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8701,9027,8505,1260,NA,28,NA,NA,NA,21,2,14,NA,NA,5,NA,23,5,1,98,2,22,6,2,7,68,10,12,NA,23,60,NA,NA,3,NA,1,NA,6,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
8713,8955,8515,1270,1,34,NA,NA,NA,16,5,31,NA,5,NA,4,16,8,4,99,NA,35,3,7,12,74,6,16,NA,24,112,NA,NA,1,2,2,NA,4,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,1,NA,7,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
8724,8965,8527,1280,4,32,3,3,NA,19,1,11,1,NA,NA,1,23,8,3,102,NA,37,9,1,7,74,6,20,NA,29,96,NA,NA,1,NA,NA,NA,3,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
8736,8974,8538,1290,3,42,NA,3,2,20,2,8,NA,1,2,NA,22,9,2,92,NA,26,4,4,2,83,3,14,1,40,88,NA,NA,1,1,1,NA,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,NA,4,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8747,8983,8550,1300,2,18,2,4,1,15,1,21,NA,4,NA,NA,18,8,2,86,1,35,6,5,9,52,3,16,NA,30,68,NA,NA,3,NA,NA,NA,4,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8759,8994,8562,1310,NA,25,NA,1,NA,25,3,11,NA,4,4,NA,25,9,3,87,1,35,8,1,4,70,12,19,NA,32,118,NA,NA,NA,1,NA,NA,3,NA,1,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,6,1,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8770,9005,8575,1320,2,27,1,NA,NA,12,1,39,NA,3,2,2,19,14,2,98,NA,37,8,3,7,69,4,17,1,23,78,NA,NA,2,NA,1,NA,3,NA,1,4,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA
8782,9014,8585,1330,2,23,1,NA,2,19,NA,10,1,5,1,2,27,13,NA,108,NA,36,6,1,6,93,10,14,1,34,102,1,NA,3,1,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,4,1,NA,NA,1,NA,NA,NA,1,NA,2,1,9,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8793,9025,8596,1340,1,10,NA,5,2,17,3,12,NA,1,4,2,26,7,2,113,NA,28,4,2,7,60,14,16,NA,31,55,1,NA,5,NA,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,12,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8805,9036,8607,1350,NA,12,1,2,1,24,2,10,1,NA,1,2,23,9,1,101,NA,26,4,1,11,67,8,16,NA,28,75,NA,NA,3,1,NA,NA,2,1,1,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
8816,9046,8617,1360,NA,30,NA,3,2,22,2,12,1,3,1,NA,20,6,NA,92,NA,21,6,NA,18,78,7,12,3,18,158,NA,NA,1,NA,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,9,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8828,9102,8629,1370,1,18,NA,NA,1,9,5,22,NA,1,5,2,9,2,3,103,NA,15,6,1,6,39,5,8,3,27,67,NA,NA,2,NA,NA,NA,1,1,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8839,9111,8641,1380,2,15,1,2,NA,15,1,6,NA,NA,2,NA,15,8,3,75,NA,21,2,NA,9,52,8,5,NA,27,46,1,NA,1,NA,1,NA,5,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8851,9118,8653,1390,NA,21,NA,1,NA,11,1,14,NA,NA,NA,NA,13,7,1,81,1,11,NA,1,3,82,NA,8,NA,34,41,NA,NA,1,1,NA,NA,4,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8863,9126,8666,1400,NA,7,NA,2,NA,18,5,12,NA,NA,4,1,23,10,1,115,1,24,8,1,5,68,14,13,2,40,33,NA,NA,2,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,3,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8874,9130,8680,1410,2,31,NA,2,NA,27,2,6,1,3,4,1,12,12,4,130,1,19,5,NA,7,74,11,10,3,34,59,NA,NA,NA,1,1,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,10,2,NA,NA,6,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
8886,9124,8694,1420,1,7,NA,1,NA,11,5,5,NA,1,4,2,21,4,2,139,NA,14,8,7,1,33,9,16,2,55,29,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
