"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Boraginaceae","Castanea","Taxus","Fabaceae","Poaceae (Cerealia-type)","Olea","Plantago coronopus-type","Arbutus unedo","Cistus ladanifer-type","Quercus suber","Chaetomium","Coniochaeta","Rhytidospora cf. R. tetraspora (type 171, HdV)","Artemisia","Campanulaceae","Erodium","Anthemis-type","Urtica dioica-type","Polypodiophyta (monolete)","Caryophyllaceae","Juniperus-type","Bistorta officinalis-type","Quercus (evergreen)","Pteridophyta (trilete)","Glomus","Apiaceae","Erica arborea-type","Cichorioideae","Pteridium aquilinum","Alnus","Cyperaceae","Sambucus","Plantago lanceolata-type","Cytisus/Genista-type","Sporormiella","Plantago major/P. media-type","Rumex acetosa-type","Aster-type","Quercus (deciduous)","Rumex acetosella-type","Pinus pinaster","Pinus sylvestris/P. nigra-type","Poaceae","Ulmus","Populus","Salix","Helianthemum-type","Sordaria","Fungi (type 18, HdV)","Fraxinus","Betula","Rosaceae","Rubiaceae","Dipsacoideae","Ilex aquifolium","Unknown (type 181, HdV)","Gelasinospora","Calluna vulgaris","Centaurea cyanus","Centaurea nigra-type","Daphne gnidium-type","Liliaceae","Lamiaceae","Asphodelus albus-type","Ranunculaceae","Amaranthaceae","Brassicaceae","Corylus","Viburnum","Geranium","Saxifraga"
857,NA,NA,55,1,3,NA,3,2,8,NA,NA,NA,NA,2,1,NA,8,4,NA,1,1,2,7,4,NA,3,3,1,3,3,8,2,12,8,NA,5,2,9,13,32,13,27,25,21,28,278,3,NA,3,3,1,NA,2,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
900,NA,NA,60,1,1,NA,5,NA,1,NA,NA,1,NA,2,NA,NA,5,NA,1,3,2,1,10,1,NA,7,1,NA,3,11,5,5,24,7,NA,1,3,4,4,37,11,52,29,11,69,280,2,NA,4,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA
917,NA,NA,62,3,3,NA,1,1,NA,NA,NA,NA,NA,3,1,NA,5,3,2,NA,11,1,5,NA,NA,8,NA,NA,5,4,2,NA,16,15,NA,3,5,1,16,43,14,31,43,7,67,256,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA
944,NA,NA,65,NA,1,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,5,3,1,3,4,2,6,1,NA,5,NA,NA,5,4,7,3,29,12,NA,2,3,1,7,27,6,34,33,6,77,263,1,NA,6,2,1,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA
972,NA,NA,68,4,NA,2,2,2,1,1,NA,NA,1,3,NA,NA,8,3,NA,4,1,NA,11,1,NA,3,1,NA,3,7,2,5,17,21,1,4,5,NA,18,32,16,43,27,11,56,200,1,NA,2,4,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA
993,NA,NA,70,7,3,NA,4,1,2,NA,NA,NA,NA,2,1,NA,7,2,NA,2,10,NA,NA,2,NA,12,NA,1,2,8,NA,6,28,20,NA,8,6,3,23,49,8,48,35,22,43,213,3,NA,2,1,4,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1052,NA,NA,75,NA,2,NA,2,NA,NA,2,NA,NA,NA,1,NA,NA,5,4,NA,3,4,1,10,NA,NA,7,NA,NA,7,5,5,5,21,46,NA,2,1,4,18,34,9,38,21,7,55,265,NA,NA,2,1,3,NA,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,1,NA,NA,NA
1079,NA,NA,77,2,7,5,2,2,NA,NA,NA,1,NA,1,1,NA,4,1,1,4,23,1,8,2,NA,8,2,NA,2,7,3,NA,11,11,NA,7,2,NA,9,24,32,45,37,6,46,185,1,2,3,NA,2,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,1,NA,NA
1125,NA,NA,80,NA,NA,1,4,NA,NA,2,NA,NA,NA,NA,NA,NA,4,3,6,5,6,1,16,NA,NA,4,NA,NA,11,4,2,6,18,18,NA,1,5,NA,15,20,NA,33,13,2,41,272,1,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
1178,NA,NA,83,3,1,1,5,1,NA,1,NA,NA,NA,2,NA,NA,4,2,NA,2,1,NA,11,2,NA,6,NA,NA,5,5,3,7,28,13,NA,1,1,1,10,24,10,25,29,36,3,300,NA,NA,2,NA,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,1,NA,NA
1218,NA,NA,85,3,1,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,4,NA,7,2,NA,9,1,NA,4,4,1,1,24,16,NA,4,1,7,14,42,17,38,28,2,63,251,1,NA,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA
1285,NA,NA,88,3,NA,NA,2,1,NA,NA,NA,NA,NA,2,NA,NA,6,5,1,4,2,NA,13,2,NA,6,NA,NA,2,10,8,8,92,22,NA,3,2,2,2,13,7,49,29,3,52,256,NA,NA,NA,NA,1,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,1,NA,NA,1,NA,NA
1335,NA,NA,90,4,3,NA,3,NA,2,NA,NA,3,NA,3,NA,NA,1,2,NA,2,NA,32,8,1,NA,2,1,NA,6,7,11,6,150,13,NA,NA,NA,10,13,29,5,33,13,3,40,250,NA,NA,1,NA,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1
1390,NA,NA,92,9,5,1,1,1,NA,2,NA,5,1,1,NA,NA,3,NA,NA,1,6,9,10,3,NA,11,5,NA,3,13,5,1,83,55,1,2,2,5,18,21,12,71,25,1,59,120,4,1,6,NA,5,11,3,2,NA,2,NA,NA,NA,NA,2,NA,NA,2,1,1,NA,NA,NA,NA,2,NA,NA,NA
1481,NA,NA,95,5,2,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,1,1,NA,2,9,2,14,2,3,15,1,NA,11,10,5,1,56,30,1,6,5,4,15,30,12,71,30,1,27,181,3,NA,3,4,1,3,1,10,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
