Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia groupe i,Acacia groupe iii,Acanthaceae,Adansonia digitata,Aerva javanica-type,Aerva lanata-type,Aeschynomene-type,Afraegle paniculata,Alchornea,Allophylus africanus,Amaranthaceae/Chenopodiaceae,Ambrosia maritima,Anthocleista,Anthostema senegalense,Antidesma venosum,Aphania senegalensis,Ascolepis,Balanites aegyptiaca-type,Basilicum-type,Bauhinia rufescens,Borassus/Hyphaene,Boscia-type,Bridelia micrantha,Canthium-type,Caperonia senegalensis,Caryophyllaceae,Cassia-type,Casuarina equisetifolia,Ceiba pentandra,Celtis integrifolia,Centaurea perrottetii,Chenopodium-type,Cissampelos mucronata,Clerodendron,Clutia,Combretaceae,Combretum aculeatum-type,Combretum molle-type,Commelina benghalensis,Commelina forskalaei-type,Commiphora africana,Cyperaceae,Detarium,Dichrostachys cinerea,Elaeis guineensis,Ephedra,Erythrococca africana,Euphorbia,Euphorbia hirta-type,Euphorbiaceae,Fagonia,Ficus,Galium-type,Gardenia imperialis,Gomphrena,Gramineae,Grewia-type,Gynandropsis gynandra,Heliotropium strigosum,Indeterminables,Indetermines,Ipomaea-type,Ixora brachypoda-type,Jussiaea-type,Justicia flava-type,Justicia odora-type,Kohautia,Landolphia-type,Lannea/Sclerocarya,Laurembergia villosa,Leucas-type,Liguliflorae,Lycopodiaceae,Lygodium microphyllum,Macaranga,Maerua/Ritchiea,Maytenus senegalensis,Meliaceae,Mimosa pigra,Mitracarpus villosus,Mitragyna inermis-type,Mitragyna stipulosa-type,Monocotyledoneae,Monoletes,Moraceae,Musanga,Myrianthus serratus,Nymphaea lotus-type,Ormocarpum-type,Papilionoideae,Paullinia-type,Phoenix reclinata,Phyllanthus,Phyllanthus reticularus,Piliostigma reticulatum,Plantago lanceolata,Polycarpaea,Polycarpon prostratum,Polygala,Polygonum senegalense-type,Potamogeton,Pteris-type,Pterocarpus,Rhizophora,Rhus,Rubiaceae,Salacia senegalensis,Salix,Salvadora persica,Sapindaceae,Sapotaceae,Securinega virosa,Solanum-type,Spermacoce radiata,Spermacoce-type,Spondias monbin,Spores indeterminees,Suaeda,Syzygium,Tamarix senegalensis,Tapinanthus-type,Tetracera alnifolia,Treculia africana,Trifolium-type,Triletes,Triletes lisses,Triumfetta-type,Tubuliflorae,Typha,Uapaca,Urticaceae,Vahlia,Vernonia perrottetii,Ximenia americana,Zanthoxylum zanthoxyloides,Zygophyllum
0,5,,,,,,3,,1,,,11,,,,,,,,,,,,,,,,2,,,,1,4,,,,,,1,1,1,1,225,,,,,,1,,,,,,,,891,,1,,13,,,,,,,,,1,,,,,,,2,,,,7,,,,1,,,,46,,,,,,,,,,2,1,1,24,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,407,,,,,,,
162.2005,17,,2,,,14,1,,,,,19,,,,,,,,,,,,,,,,3,,,4,,,,,,,2,6,,,,214,,,,,,2,,,,,,,2,782,,,,11,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,32,,1,,,,,,,,1,,2,65,,,1,,1,,,,,,,,3,,,,,,,,,,,1,,,5,404,,1,1,1,,,
588.1364,35,,2,,,16,,,,,,,,,,,,,,,,1,,,,,1,1,,,1,,28,,,,1,1,2,1,,,184,,,,,,2,,,,,,,,765,,,,10,1,,,3,,,,,,,,,,,,2,,,,,,,,,,,,47,,,,,,,,,1,1,1,,43,,,,,,,,,,,,,9,,,1,,,1,,,,,,,,3,435,,,,1,,,
943.0829,50,,4,,,4,4,,,,,13,2,,,,,,,,,,,,,,1,,,,1,,5,,,,2,,1,,,2,126,,,,1,,,,,,,,,,569,,,,7,1,,,,,,,,,,1,,,,,,,,,8,,,,1,,,,94,,1,,,,,,1,5,2,1,,80,,1,,,,,,1,,,,,2,,,,2,,1,,,,,,,,1,819,,,,,,,
1534.66,75,,1,,,,7,,,,,1,1,,,,,,1,,,1,1,,,,,1,,,6,,6,,,,1,,4,,,,178,,,,,,,,,,,,,1,386,,,,6,4,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,33,2,,,1,,,,,,,1,,7,,,,,,,5,2,,,,,6,,,,1,1,,,,,,1,,,1,345,,,,,,1,
2126.238,100,,1,,,,1,,,,,11,,,1,,,,,,,,,,,,,1,,,2,,,,,,,,5,,,,130,,,,,,1,,,,,,,3,782,,,,13,,1,,3,,,1,,1,,,,,,,,,,,7,,,,,,,,100,,,,,,,,,1,,,,,,,2,,,,,,,,,1,8,,,,,,1,,,,,,,,5,1323,,,,,,,
2410.195,112,,,,1,,,,,,,5,1,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,64,,,,,,,,1,,,,,2,640,,,,6,,,,1,,,,,1,,,,,,1,,,,,5,1,,,5,,,,79,,,,,,,,,,,1,,,,,1,,,,,,,,,,14,,,,,,1,,,,,,1,,2,1079,,,,,,,1
2661.669,125,1,,,,2,,,,3,,7,,,1,,,,,,1,,,1,8,,,,,,3,,,,,,5,3,12,,,,97,,,,1,,,,,,,,,,306,,,,25,4,,,,,,,,3,1,,,,,6,,,,,3,1,10,,12,,,,10,,2,2,,,,,,2,,,1,,,,84,,,,2,,,2,,,1,1,,3,,8,1,,,1,,1,,,9,43,,,,,,1,
2972.515,150,,,1,,,1,,,6,1,6,,4,5,,,,,1,,,,,5,,,,,,8,,,,,,3,5,18,1,,,87,,1,1,,,1,,,,,,,,393,,,,23,7,,,,,,,,1,,,1,,,4,2,,,,4,8,14,,9,,,,6,,1,,2,,,,,,,,,,,,124,,,1,4,,,,,,6,1,,,,19,,,,,,,,,10,43,4,,,,,,
3283.36,175,,,,,3,,,,6,,,,,3,,,,,,,,,,1,,,,,,7,,4,,,,3,6,14,,,,56,1,1,,,,1,,,,2,,,,251,,,,15,3,,,,,,,,,,1,2,,,3,,,,,4,10,3,,11,,,,8,,,,,,,,,,1,,1,,,,143,,,,1,,,,,,4,,,4,,31,,1,,2,,1,,,1,31,3,,,,,,
3594.206,200,,,,,,1,,,10,,4,1,,1,,,,,,,,,,,,,3,,1,8,,,,,,2,5,16,,,,87,1,,,,,2,,,,,,,,336,,,,30,6,,,,,,1,,1,,1,1,,1,,,,,,1,2,5,,,2,,,8,,6,2,,,,,1,,,,,,,,140,1,,1,2,,1,2,1,,1,,,3,,17,,,,,,,,,2,37,3,,,,,4,
3905.052,225,,1,,,,,,,3,,5,1,,,1,,,1,,,,,,2,,,,,,2,,,1,1,,2,2,24,,,,60,2,1,,,,,1,,,3,,,,210,,,1,11,2,,,,,,,,3,,,,,,3,,,,,3,,8,,2,,,,9,,1,,,,,,,,1,,,,,,105,,,1,,1,,,,,3,,,,,28,1,,,2,1,,,,4,33,,,,1,,3,
4215.897,250,,1,,,,1,,,8,,1,1,1,1,,1,,,,,,,,1,,,,,,1,,1,,,,,1,13,,,,62,1,,,,,,,,,,,,,204,,,1,12,1,,,,,,,,1,1,,,,,4,,,,,3,4,7,,6,,,,5,,,,1,,1,,1,,,,,,,,89,,1,,,1,,2,,,2,,,,,15,,,,2,,,,,3,21,1,,,,,1,
