Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia groupe i,Acalypha,Acrostychum aureum,Adansonia digitata,Aerva lanata-type,Albizia,Alchornea,Allophylus africanus,Alternanthera,Amaranthaceae/Chenopodiaceae,Ambrosia maritima,Anacardiaceae,Anthocerotaceae,Antiaris africana,Balanites aegyptiaca-type,Borassus/Hyphaene,Bosqueia,Caesalpinia-type,Capparis,Caryophyllaceae,Cassia-type,Casuarina equisetifolia,Ceiba pentandra,Celastraceae,Celtis integrifolia,Combretaceae,Commelina benghalensis,Commiphora,Cruciferae,Cyperaceae,Detarium,Dichrostachys cinerea,Diospyros,Dodonaea viscosa,Elaeis guineensis,Erythrococca africana,Euphorbia,Fagonia,Ficus,Galium-type,Gomphrena,Gramineae,Hibiscus-type,Hydrocharitaceae,Hymenocardia,Indeterminables,Indetermines,Ipomoea-type,Jussiaea-type,Justicia betonica-type,Kohautia,Labiatae,Landolphia-type,Lannea/Sclerocarya,Laurembergia villosa,Lepistemon owariense-type,Liguliflorae,Lotus arabicus-type,Lygodium microphyllum,Macaranga,Mitracarpus villosus,Mitragyna inermis-type,Monocotyledonae,Monoletes,Moraceae,Musanga,Pancratium-type,Papilionaceae,Phaulopsis-type,Phoenix reclinata-type,Phyllanthus reticulatus-type,Polycarpaea,Polygonum senegalense-type,Potamogeton,Priva-type,Resedaceae,Rhamnaceae,Rhizophora,Rhus,Ricinus communis,Rubiaceae,Salix,Salvadora persica,Salvinia,Sapotaceae,Schrebera arborea,Scrophulariaceae,Securinega virosa,Sesbania-type,Solanum-type,Spondias monbin,Sterculia-type,Syzygium,Tacca,Tamarix senegalensis,Teclea-type,Tiliaceae,Treculia africana,Trema,Triletes,Triumfetta-type,Tubuliflorae,Typha,Uapaca,Umbelliferae,Urticaceae,Wahlenbergia,Ximenia americana,Zanthoxylum zanthoxyloides,Zygophyllaceae
NA,2,,,,,,,2,,,2,9,,,1,,,,,,1,,3,,,,1,,,,30,1,,,,1,,,,,,,25,,,,28,,,,,,,,,,,,,2,5,1,,1,13,,,,,,,,,,,,,,70,1,,,2,1,1,,,,,,,,,1,,,,,,,,,,17,,,,,,,
NA,9,,,,,,,15,1,5,6,105,,,,,2,,,,,,,,,,4,1,,,487,,,,,2,,,,1,,2,78,,,,16,3,2,,1,,,,,,,1,,4,2,4,,8,27,,,,,,2,,,,,,,,27,,,,,1,3,1,,,,,,,,1,,,,,,,,,2,56,,,,,,,
NA,15,,,,1,,,6,,1,8,86,,1,,1,1,,,,1,,,,,,,1,,,141,,,,,,,,,,,1,28,,,,41,28,,,,,,,1,,,,,2,,7,,,101,,,,1,,1,,,,,4,,,7,,,,,,22,,,,,,,,,2,,,,,,,3,,,67,,,,,,,
NA,28,,,,,,,8,,,1,,,,,,,1,,,,,,,1,,,1,,,189,,,,,,,,,,1,,32,1,,,31,8,,,,,1,,,,,,1,4,8,1,,,58,2,,,,,2,,,1,,,,,26,,,,,,18,,,,,,,,,3,,,,,,,,,56,87,,,,2,,,1
NA,40,,,,,1,,16,1,,6,8,,,,,,,,,,,,,,1,2,,,,267,1,,1,,,,,,1,,,54,,,,15,22,,,,,1,,,,,1,1,6,22,6,3,,109,,,,,,1,,1,2,,,,,33,,,1,1,,3,1,,,1,,1,,,4,,,,,,1,,,2,84,3,,,,,,1
NA,46,,,,,,1,28,,,5,,,,,,1,,,,,,,1,1,1,3,2,,,120,,,,,1,,1,,4,,,50,,1,1,29,21,,,,,,1,,,,,,8,25,5,8,2,116,,2,,,,3,,6,1,4,,,1,46,1,2,1,,,9,1,,,1,,,,1,10,,,1,,1,,,1,9,55,,1,,1,,,
NA,52,,,,,1,,22,,,,1,1,,,,,,,,,1,,,,1,,,,,96,4,1,,,1,,,,1,,,54,,,,20,17,,,,,,,,,1,1,,10,32,3,9,1,83,,2,,,,2,,1,,,,,,115,,,1,,,,2,,,1,,,,,8,,,,,,1,,,5,26,3,,1,,,,
5593.234,59,1,,,,,,48,,,,,,,,,,,,,,,,,4,1,,,1,,8,,,,1,,,,,4,,,8,,,,28,24,,,,1,,,,,,,,7,20,,12,,21,,,1,3,,1,,1,,,,,1,277,,,2,,,1,4,,,,,,,,6,,1,,,2,,1,,2,,,,,,,,
5704.407,79,,,,,,,14,,,,,1,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,7,,,,23,10,,,,,,,,,,,,4,11,1,5,,6,1,,,,,,,,,,,,,160,,,2,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,1,
5787.786,94,1,,,,,,12,1,,2,,,,,,,,,,,,,,1,1,1,,,,6,,,,,1,,,1,2,,,12,,,,35,10,,,,,,,,,,1,1,10,10,,2,,5,,,,,,4,,,,,,,,255,,,,,,1,2,,,,,,1,,,,,,,2,,,,,2,,,,,1,,
5848.931,105,,,,2,1,,8,,1,4,16,,,,,,,,,,,,,,2,2,1,,,284,1,,,,3,,,,1,,1,74,,,,29,14,,,,,,,,,,,1,1,19,4,5,2,34,,2,,,,2,,1,1,,,,1,101,,,,,,3,1,,,,1,,,,3,,,,,,,,,5,59,,,,,,,2
5860.048,107,,,,1,,,14,1,,3,18,,,,,,,,,,,,,1,1,4,,,,159,,,,,2,,1,,3,,,42,,,,33,17,,,,,1,,,,,2,1,2,11,4,6,,85,,,,,,2,,,,,,,,106,,,1,,,,,,,,1,,,,3,1,,2,,2,,,2,2,41,,,,,,,1
