Sample Age (cal yr BP) [cal yr BP],Depth (cm) [cm],Justicia,Acanthaceae,Burseraceae Commiphora,Capparaceae,Caryophyllaceae,Cheno-Amaranthaceae,Compositae Aster type,Compositae Cichorioideae,Convolvulaceae,Cruciferae,Euphorbiaceae,Gramineae ,Gramineae Cerealia,Labiatae,Leguminosae Acacia,Leguminosae Cassia,Leguminosae Indigofera,Leguminosae Prosopis,Leguminosae,Malvaceae,Nyctaginaceae Commicarpus,Palmae Phoenix ,Plantaginaceae,Plumbaginaceae Limonium,Resedaceae Ochradenus,Resedaceae,Rhamnaceae Ziziphus,Vitaceae Cissus ,Zygophyllaceae Tribulus,Zygophyllaceae,Cyperaceae,Gramineae Phragmites t.,Juncaceae Juncus,Leguminosae Lotus,Polygonaceae Polygonum,Potamogetonaceae Potamogeton,Typhaceae Typha,Celastraceae Maytenus,Combretaceae Anogeissus ,Combretaceae,Euphorbiaceae Jatropha,Geraniaceae,Labiatae Ocimum,Leguminosae Delonix,Oleaceae Olea,Sapindaceae Allophyllus ,Solanaceae,Verbenaceae,Cupressaceae Juniperus,Ephedraceae Ephedra,Araliaceae,Cistaceae Helianthemum ,Compositae Artemisia,Ericaceae,Myricaceae Myrica,Nympheaceae Nymphea,Urticaceae,Pinaceae Cedrus,Alismataceae,Betulaceae Alnus,Fagaceae Quercus,Tiliacae Tilia,cf. Primulaceae,Liliaceae,Liliaceae Asphodelus,Cucurbitaceae,Spore trilete,Indet.
,5,,,2,,,25,2,,,,4,274,13,3,,2,,,,,,1,,1,,,,,3,,10,22,,,,,,,,,,1,,1,,1,,0,,,,,,,,,,,,,,,,1,,,1.101,1
,26,,1,11,,,4,0,2,1,,2,145,8,4,1,2,1,1,5,,1,,,,,1,,,2,3,7,59,,,,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
,42,,1,5,,,9,,,,1,5,95,8,1,4,3,1,,2,3,2,,,10,,7,,,4,,1,8,,,,,,,,,,,,,2,1,,2,,,,,,,,,,,,,,,,,,,,4
,49,,3,13,,,3,3,3,,2,12,69,9,3,8,10,2,2,9,3,1,,,2,,5,,,3,,3,28,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,,,8
,57,,1,11,,,1,1,,1,,5,80,12,5,,5,4,,5,2,1,1,,,,3,1,,1,,8,21,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,7
,97,,1,,,,,,2,0,1,6,118,11,3,2,4,1,,5,,1,,,3,,,1,,3,,2,43,,,,,16,,,,,,,,1,,,,,,,,,,,,,,,,,,1,4,,,,5
1922,110,,,8,1,,1,,2,2,,6,141,28,5,1,7,,,5,,,,2,,,2,,,1,,6,101,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4
,120,,,28,,,2,1,2,2,0,4,112,9,6,4,8,,1,8,18,,,,,,5,,,,,5,124,,,,1,,,,,1,,,4,,,,,,,,,,,,,,,,,,,1,,,,,4
,130,,,12,,,2,,,,,6,52,14,3,3,4,,,4,8,,,,,,,,1,,,11,97,,,,1,1,,,,,,,12,,,,,,,1,,,,,,,,,,,,1,,,,,12
,140,,1,5,,,32,1,3,,2,2,97,3,4,,,1,1,7,1,,,,,,1,,,,,3,4,,,,,,,,,,,,,,,,,2,,,,,,,,2,1,,2,,,,2,,,,6
,160,,,18,,,474,,,,2,2,26,,2,,,,,8,1,,,,,,,,,,,,,,,,,,,1,6,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,2
,170,,2,21,,4,1,3,,,,6,39,2,4,,2,,,11,2,,,,1,,1,,1,,,1,40,,,,,,,,,,,,8,,,,,2,,,,,1,,,,,,,,,,,,,,4
,177,,,4,,,1,,,,,2,427,4,,,3,,1,6,1,1,,,,,1,1,,,,6,68,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,3
,180,,1,10,,,106,,,,,8,44,1,,,1,1,2,7,2,,,,,1,,,,,,,6,,,,,,,1,,,,,1,,1,,,,,,2,,,,,1,,,,,,,1,,,,5
,185,,,15,,,,1,1,1,1,1,28,1,4,,5,,4,13,,,,,1,,1,,1,,,4,130,,,4,4,,,,,,,1,2,,,,,,,,,,,0.904,,,,,,,0.904,,1,,,,2
2066,190,3,1,15,5,1,308,4,1,,,8,196,9,24,13,9,2,5.094,22,1,1,,,1,6,2,,,1,,12,147,,26,0,1,,1,,,,3,1,6,,,1,2,,,,,1,,,1,,,1,1,1,,,,,,,5
,225,,,18,,,,1,,1,1,5,39,,,,2,,,4,1,,,,,,,,,,,2,28,,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,2
,230,,,19,1,,2,,3,3,,2,78,6,5,,1,,,3,6,,2,,2,,1,,3,1,,17,202,,,,4,4,,,,,,,1,,3,2,,,,,,,,,,,,,,,,,6,1,3,,7
,235,,,40,,,3,2,1,4,,8,329,9,10,5,,,2,30,,,,,,1,3,,,,,15,134,2,,,1,1,,,,2,,,5,,,,,,1,,,,,,2,,,,,,,,24,,,,7
1943,247,,,62,,,,,,3,,2,75,,,6,,,,6,1,2,,,,7,,,,,,3,30,,,,1,,,,,10,,,2,1,,,,,,,,,,,,,,,,,,,1,,,,5
