"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pollen concentration","Euphorbia","Apiaceae","Plantago","cf. Adenocarpus","Morella faya","Poaceae (>47 µm)","Fabaceae","Ranunculus acris-type cf. R. sardous","Rubiaceae","Amaranthaceae","Caryophyllaceae","Pinus canariensis","Glomus","Polygonaceae","Sordariaceae","Asteroideae","Poaceae (<47 µm)","Unknown (trilete)","Cichorioideae","Sporormiella","Brassicaceae","Erica/Arbutus","Gelasinospora","Unknown (hexagonal mesh)","Diporotheca","Quercus robur-type","Artemisia","Cistus","Unknown (long spines)","Zygnemataceae","Lamiaceae","Alnus","Cyperaceae","Ephedra","Cedrus","Equisetum","Oleaceae","Ranunculaceae undiff.","Sanguisorbineae","Hypericum","Rumex","Ulmus","Juglans","cf. Typhaceae/Potamogetonaceae","cf. Aeonium","cf. Linum","Spirogyra","Urtica"
0,NA,NA,0,34543.65,1,1,1,1,1,1,2,4,6,10,12,19,20,21,26,28,33,56,170,186,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,NA,NA,17.5,2254.4,NA,1,NA,NA,NA,NA,23,NA,2,6,14,18,12,2,43,29,70,19,88,255,12,1,1,1,7,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,NA,NA,31.5,1307.5,NA,NA,NA,NA,NA,NA,17,NA,NA,5,8,11,2,3,50,33,69,14,46,101,15,NA,NA,4,8,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,NA,NA,45.5,1165.36,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,4,29,4,NA,34,24,65,8,115,178,7,NA,1,6,8,8,38,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
546,NA,NA,70,420.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30,NA,NA,19,13,29,NA,33,13,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
698,NA,NA,96,1017.775,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,26,11,NA,23,20,15,9,35,26,6,NA,2,11,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
791,NA,NA,112,1543.53,NA,NA,NA,NA,1,NA,NA,4,NA,NA,5,179,10,NA,21,16,171,7,123,NA,NA,NA,1,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
884,NA,NA,128,5076.37,NA,NA,NA,NA,NA,2,NA,2,NA,NA,2,194,NA,NA,3,19,163,22,132,NA,NA,1,NA,2,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,NA,NA,150,1936.03,NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,67,12,NA,27,6,76,5,40,15,1,NA,1,4,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,NA,NA,166,2513.66,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,152,NA,NA,3,24,156,11,158,NA,NA,NA,NA,10,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,NA,NA,182,2133.28,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,183,NA,NA,19,9,163,4,146,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1293,NA,NA,198,2731.33,NA,NA,NA,NA,2,3,NA,NA,NA,NA,2,247,NA,NA,1,18,113,5,115,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1386,NA,NA,214,1836.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,215,NA,NA,NA,18,144,6,124,NA,NA,NA,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1570,NA,NA,245.5,2972.03,NA,NA,NA,NA,1,2,NA,9,NA,13,23,204,NA,NA,8,17,158,3,77,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1655,NA,NA,260,2660.17,NA,NA,NA,NA,NA,3,NA,5,NA,1,7,215,NA,NA,4,5,182,9,82,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1748,NA,NA,276,1119.23,NA,NA,NA,NA,NA,1,NA,7,NA,NA,NA,98,NA,NA,172,20,75,20,59,NA,NA,NA,NA,14,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1795,NA,NA,284,2547.43,NA,NA,NA,NA,NA,2,NA,7,NA,5,1,249,4,NA,7,16,115,25,102,NA,NA,NA,4,15,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1842,NA,NA,292,4467.65,1,NA,NA,NA,NA,2,NA,6,NA,3,3,256,NA,NA,16,22,109,12,92,NA,NA,NA,24,11,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,310,5286.11,NA,NA,NA,NA,NA,2,NA,1,NA,NA,3,334,NA,NA,8,13,107,2,58,NA,NA,NA,9,16,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,320,3431.31,NA,NA,NA,NA,2,NA,NA,7,NA,NA,3,332,NA,NA,5,13,30,15,85,NA,NA,NA,15,35,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2052,NA,NA,328,2701.16,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,392,NA,NA,12,9,15,16,68,NA,NA,NA,33,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2107,NA,NA,337.5,1920.15,NA,1,NA,NA,NA,2,NA,6,NA,NA,NA,433,NA,NA,3,3,38,17,24,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2122,NA,NA,340,6398.61,NA,NA,NA,NA,NA,4,NA,6,NA,NA,NA,378,NA,NA,NA,2,64,32,27,NA,5,NA,NA,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2148,NA,NA,344.5,6533.031,NA,NA,NA,NA,1,22,NA,8,NA,NA,2,394,NA,NA,10,2,42,34,9,NA,5,NA,NA,8,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2192,NA,NA,352,12488.488,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,438,NA,NA,1,1,32,8,14,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2230,NA,NA,360,14384,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,457,NA,NA,NA,6,37,8,6,NA,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,13,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2256,NA,NA,368.5,8672.53,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,3,478,2,NA,7,12,8,2,8,NA,1,NA,NA,9,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2279,NA,NA,376,487.57,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,99,NA,NA,705,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2306,NA,NA,385,4837.443,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,470,5,NA,NA,6,6,7,13,NA,1,NA,1,21,NA,NA,13,NA,3,56,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2336,NA,NA,395,1883.32,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,495,21,NA,2,11,NA,NA,3,NA,3,NA,NA,8,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2364,NA,NA,404,7641.45,NA,NA,NA,1,NA,NA,NA,4,NA,1,NA,181,NA,NA,3,78,25,2,15,NA,NA,NA,NA,23,NA,NA,8,NA,3,11,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2388,NA,NA,412,5688.99,NA,1,NA,NA,NA,NA,NA,6,NA,NA,NA,243,NA,NA,2,27,12,7,6,NA,NA,NA,NA,11,NA,NA,3,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2429,NA,NA,420,4390.197,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,411,6,NA,NA,23,34,7,20,NA,NA,NA,10,20,NA,NA,6,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2523,NA,NA,428,7322.65,NA,NA,NA,NA,1,12,NA,5,NA,NA,2,450,8,NA,NA,7,40,14,7,NA,NA,NA,NA,8,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2616,NA,NA,436,2081.73,NA,NA,NA,NA,2,2,NA,4,NA,NA,NA,495,30,NA,NA,NA,11,10,5,NA,1,NA,NA,3,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2710,NA,NA,444,6914.66,NA,NA,NA,NA,2,4,NA,2,NA,NA,5,454,28,NA,1,11,14,NA,11,NA,3,NA,2,1,NA,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2803,NA,NA,452,3916.05,NA,NA,NA,NA,4,NA,NA,NA,2,NA,1,401,4,NA,NA,18,37,9,45,NA,NA,NA,NA,13,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2870,NA,NA,460,6248.4665,NA,NA,NA,NA,3,4,NA,2,1,NA,NA,408,3,NA,NA,16,56,5,32,NA,NA,NA,1,6,NA,NA,10,NA,3,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA
2948,NA,NA,470,3993.38,NA,1,NA,NA,2,2,NA,3,2,NA,21,346,2,NA,1,23,29,4,87,NA,NA,NA,NA,34,NA,NA,9,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3167,NA,NA,498,3093.412658,1,NA,2,NA,3,10,NA,6,NA,2,3,332,15,NA,8,7,109,43,47,NA,NA,NA,5,26,2,NA,4,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
3230,NA,NA,506,2679.384,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,430,7,NA,NA,14,27,5,40,NA,NA,NA,NA,5,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA
3292,NA,NA,514,3142.11,NA,NA,NA,1,NA,3,NA,4,NA,NA,NA,331,9,NA,NA,45,31,8,187,NA,3,NA,NA,14,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
3355,NA,NA,522,847.691,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,248,2,NA,NA,15,13,4,32,NA,NA,NA,2,21,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3417,NA,NA,530,7490.345,NA,NA,NA,NA,3,4,NA,NA,NA,NA,1,426,5,NA,NA,17,33,1,40,NA,NA,NA,NA,9,NA,NA,4,NA,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3480,NA,NA,538,2341.1,NA,NA,NA,NA,5,NA,NA,NA,1,NA,2,356,8,NA,NA,30,31,3,72,NA,NA,1,NA,20,NA,NA,8,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3703,NA,NA,566.5,146.73,NA,NA,NA,NA,5,2,NA,1,1,NA,7,57,105,NA,NA,10,6,NA,11,NA,3,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
3758,NA,NA,573.5,3025,NA,NA,NA,NA,5,5,NA,2,NA,NA,8,262,27,NA,NA,14,13,2,212,NA,NA,NA,NA,24,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3808,NA,NA,580,3529.36,NA,NA,NA,NA,4,4,NA,1,3,NA,6,247,2,NA,1,96,29,6,136,NA,1,NA,NA,230,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3883,NA,NA,589.5,6891.56,1,NA,NA,NA,2,2,NA,2,NA,NA,9,135,3,NA,NA,48,16,3,314,NA,NA,NA,NA,24,NA,NA,4,NA,NA,3,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3937,NA,NA,596.5,4809.13,NA,NA,NA,NA,1,NA,NA,1,2,NA,12,229,2,NA,NA,41,20,3,227,NA,NA,NA,NA,18,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
3992,NA,NA,603.5,339.95,NA,NA,NA,NA,NA,5,NA,NA,2,NA,1,43,5,NA,NA,13,12,2,31,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
4088,NA,NA,611.5,1917.87,NA,NA,2,NA,7,1,NA,3,NA,NA,6,222,8,NA,NA,17,43,9,194,NA,NA,NA,NA,43,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
4315,NA,NA,619,1489.8,NA,NA,NA,NA,2,8,NA,NA,NA,NA,NA,150,4,NA,NA,8,54,16,76,NA,NA,NA,1,27,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3
4496,NA,NA,625,3497.82,NA,NA,NA,NA,1,1,NA,10,NA,NA,NA,310,3,NA,NA,42,14,19,129,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4723,NA,NA,632.5,3416.18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,278,NA,NA,NA,7,140,17,88,NA,NA,NA,2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
