"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Asteroideae","Malva","Vicia-type","Sanguisorba-type","Lupinus","Astragalus-type","Bupleurum-type","Sanguisorba officinalis","Prosopis","Tamarix","Ostrya/Carpinus orientalis","Ranunculus repens-type","Calligonum","Pteropyrum","Arnebia-type","Psylliostachys","Geranium","Sparganium-type","Alnus","Juglans","Plantago lanceolata-type","Cousinia","Bunium-type","Filago-type","Pimpinella-type","Scutellaria","Ferula-type","Anisosciadium-type","Xanthium","Carthamus","Gladiolus","Cuscuta","Matthiola","Haplophyllum","Unknown","Poaceae (Cerealia-type)","Centaurea solstitialis-type","Scorzonera-type","Cyperaceae","Plantaginaceae","Cirsium-type","Quercus cerris-type","Plantago maritima-type","Senecio-type","Halothamnus-type","Plantago coronopus-type","Brassicaceae","Noaea-type","Matricaria-type","Plantago ovata-type","Pinus","Poaceae","Hammada-type","Atriplex-type","Artemisia herba-alba-type","Betula","Morus","Fabaceae","Rumex acetosa-type","Humulus/Cannabis","Galium-type","Eryngium-type","Olea","Plantago cylindrica-type","Punica granatum","Dryopteris-type","Elaeagnus","Cichorioideae","Helianthemum","Plantago media-type","Artemisia vulgaris-type","Plantago tenuiflora-type","Moltkia","Turgenia-type","Ephedra fragilis-type","Scilla-type","Picea","Platanus","Liliaceae","Carpinus betulus","Glaucium","Centaurea cyanus-type","Aquilegia-type","Leontice leontopetalum","Unknown (trilete)","Ephedra distachya-type","Armeria/Limonium","Pistacia","Lomelosia rotata-type","Plantago major-type","Caryophyllaceae","Gentianaceae","Juniperus","Papaver","Erodium","Fraxinus excelsior-type","Spinacia-type","Rhynchocorys","Roemeria hybrida subsp. dodecandra-type","Lotus-type","Dianthus-type","Ranunculus asiaticus-type","Symphytum-type","Ranunculaceae","Asparagus-type","Bellis-type","Digitalis","Rosaceae","Salix","Rhinanthus-type","Phaseolus","Quercus coccifera-type","Anchusa/Pulmonaria","Centaurea jacea-type","Centaurea nemecii-type","Anthoceros laevis-type","Abies","Corylus","Centaurea scabiosa-type","Onosma-type","Zea mays","Amaranthaceae","Echium-type","Jasione-type","Unknown (monolete)","Hippophaë","Allium","Valerianella","Atraphaxis","Asperula-type","Lomelosia olivieri","Thymus/Mentha","Anemone nemorosa-type","Hypericum hirtellum var. assyriacum-type","Ruta","Vitis","Onobrychis-type","Umbilicus-type","Fagus","Polygonum aviculare-type","Cedrus","Ulmus","Thymelaea","Mercurialis annua","Delphinium-type","Clematis-type","Heliotropium-type","Frankenia hirsuta-type","Trifolium-type","Spergularia-type","Tribulus terrestris","Ononis-type","Scrophulariaceae","Apiaceae","Crassulaceae","Hippocrepis-type","Ophioglossum","Persicaria maculosa-type","Ranunculus sect. Batrachium-type","Zygophyllum","Rhamnaceae","Urtica dioica-type","Lycopodium","Acer","Saxifragaceae","Ranunculus sceleratus-type","Casuarina","Convolvulus"
166,NA,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,6,6,6,7,7,7,7,11,12,17,19,20,21,23,41,53,58,142,177,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,6,NA,1,NA,NA,2,NA,5,4,6,NA,1,3,NA,2,NA,2,2,4,5,2,11,2,11,8,3,3,6,12,17,17,3,1,47,10,47,140,42,1397,245,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,NA,NA,30,NA,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,2,NA,NA,6,1,NA,NA,9,NA,NA,NA,NA,5,NA,9,13,25,NA,22,8,3,9,8,41,26,5,9,188,125,NA,49,231,15,1014,366,NA,NA,NA,1,NA,1,NA,9,NA,NA,NA,NA,6,NA,NA,1,4,NA,7,4,NA,1,1,1,1,1,1,1,1,1,2,2,3,3,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664,NA,NA,40,1,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,1,1,NA,NA,NA,4,6,1,NA,NA,7,NA,2,NA,1,10,NA,11,1,6,12,17,9,6,20,10,22,6,16,10,10,97,16,73,202,18,466,285,NA,NA,4,1,NA,2,NA,NA,1,NA,NA,NA,7,1,1,1,3,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,1,3,4,4,NA,2,1,1,1,1,1,1,1,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
830,NA,NA,50,NA,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,3,NA,NA,4,NA,NA,NA,8,NA,NA,NA,NA,2,5,4,4,296,1,8,3,7,10,33,17,25,109,7,59,53,NA,28,120,52,357,366,NA,NA,NA,1,1,2,NA,1,NA,NA,NA,NA,5,NA,NA,3,4,1,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,2,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
997,NA,NA,60,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,2,6,NA,1,NA,NA,10,5,8,NA,3,4,8,20,2,10,5,12,6,10,15,15,59,16,64,103,214,186,432,NA,NA,NA,4,NA,NA,NA,NA,8,NA,NA,NA,2,10,NA,NA,NA,NA,1,5,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2,NA,2,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1163,NA,NA,70,NA,11,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,5,NA,1,7,NA,5,NA,4,12,1,NA,1,16,NA,4,NA,4,6,7,14,1,14,20,29,12,6,11,27,62,24,40,8,9,176,34,176,424,131,382,896,NA,NA,2,9,1,1,NA,1,12,NA,NA,1,3,1,7,1,6,1,NA,8,NA,NA,3,NA,2,NA,NA,1,NA,1,NA,9,1,NA,NA,NA,NA,NA,3,1,3,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1329,NA,NA,80,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,6,NA,NA,NA,2,5,NA,6,11,NA,NA,NA,36,NA,NA,NA,2,9,5,10,2,12,NA,29,NA,2,20,10,14,2,23,8,44,73,NA,47,116,11,380,606,NA,1,1,1,NA,1,NA,3,NA,NA,NA,NA,5,1,1,13,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,10,5,NA,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1495,NA,NA,90,NA,2,1,NA,NA,NA,NA,3,2,4,2,2,2,NA,NA,6,2,1,NA,NA,NA,NA,NA,7,11,8,NA,NA,52,3,2,NA,3,25,6,10,6,36,21,26,10,9,19,5,58,7,27,47,44,187,20,138,249,338,1676,943,NA,NA,1,NA,1,1,NA,NA,8,NA,NA,NA,3,26,NA,1,2,1,1,39,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3,4,1,NA,10,NA,NA,3,7,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,4,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1661,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,2,3,NA,2,NA,18,NA,1,NA,NA,4,2,7,5,9,7,8,3,NA,13,16,18,19,24,24,29,74,15,82,128,174,545,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,2,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,2,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
