Depth (cm),Acacia,Acanthus,Acer,Alchornea,Alnus,Apiaceae,Argania,Artemisia,Asphodelus,Betula,Borago,Brassicaceae,Calligonum,Caylusea,Centaurea jacea-type,Chenopodiaceae/Amaranthaceae,Cistus,Combretaceae,Combretum,Corylus,Cyperaceae,Echinops,Echiochilon,Echium,Elaeis guineensis,Ephedra distachya-type,Ephedra fragilis-type,Erica,Euphorbia,Fagus,Gisekia,Gramineae,Gymnocarpos,Gymnosporia,Gypsophila,Helianthemum,Heliotropium,Isoetes,Juniperus,Knautia,Lamiaceae,Liguliflorae,Liliaceae,Molluginaceae,Moltkia,Olea,Ostrya,Papilionoideae,Pinus,Pistacia,Plantago spp.,Plumbaginaceae,Polycarpaea,Polycarpon,Polycnemum-type,Polygonum,Quercus ilex-type,Quercus pubescens-type,Ranunculaceae,Resedaceae,Rhizophora,Rhus,Rubiaceae,Rumex,Sanguisorba minor-type,Tamarix,Tilia,Tribulus,Tubuliflorae,Typha,Typha latifolia-type,Ulmus,Urticaceae,Veronica
12.5,3,,,,2,1,,5,3,7,,,,,,58,1,,,75,13,,,,,2,1,4,2,,,20,,,,1,,,3,,,2,,,,,,1,130,,4,,1,,4,,2,4,1,,,,,,,,3,,7,,,2,,
32.5,2,1,,,7,,,5,1,3,,1,,,,20,,,,17,20,,,,,,2,1,,,,3,,,,1,1,,1,,1,,,,,,,,7,,3,,,,4,,,4,,,,,,,,,,1,6,,,,,
52.5,,,,,,2,,18,1,,1,2,1,,1,234,,1,2,5,99,,,,,2,57,1,,,,31,,,1,3,,,3,,,3,,,,,,1,14,,7,,1,,16,,3,3,,,,1,,,,,,,7,,1,,,
72.5,,,1,,,,,60,,,,,,,,123,,,,2,14,,,,,16,95,1,1,,,16,3,,,,2,,3,,,5,,,,,,2,126,,1,,1,,33,,3,,,,,,,,,,,,5,1,,,,
107.5,,,,1,,,,82,,,,1,2,,1,133,,,,,13,,2,,,13,65,3,3,,,16,,,,,,,4,,,3,,,,,,3,115,,1,,,,52,,,3,,,,1,,,1,,,,4,1,,,1,
132.5,,,,,,,,90,,,,1,3,,,185,,,,1,40,,,,,9,129,2,,,,17,1,,,1,1,,3,1,,,,,,,,,75,,,1,,,36,,1,3,,,,,,,2,,,,2,1,,,,
152.5,,,,,,1,,60,,1,,4,,,,192,,,,3,49,,,,,4,98,,,,,18,,,1,1,,,1,,,3,,,1,,,2,98,,3,,,,9,,4,4,,,,1,,,1,,,,4,,,,,
172.5,,,,,,1,,73,,1,,2,,,,166,,,,,40,,,,,10,81,,,,,21,,,,,,2,8,,,1,,,,,,1,107,2,5,,,,23,,5,,,,,,1,,2,,,,9,,,,,
202.5,1,,,,3,2,,54,,,,2,3,,,188,,,,7,51,,,,,1,116,7,,,,14,2,,,,2,,2,,,1,,,,,,,45,1,2,,,,7,1,3,1,,,,,,,1,,1,,7,,1,,,
221,,,,,,2,,47,,,,1,,,,196,,,,4,37,,,,,5,127,2,,,,14,2,,1,1,,,1,,,1,,,,,,,51,,,1,,,3,,1,2,,,,,,2,,,,,7,1,,,,
242.5,,,1,,,3,,67,,,,13,,,1,210,1,,,1,81,,,1,,2,88,,,,,22,5,,,1,,1,,,,3,,,,,,,80,22,2,,,,2,1,2,4,,,2,,,2,,,,,7,1,,,,
262.5,,,,,1,3,,41,,,,3,,,,205,,,,,86,,,,,9,65,5,,,,20,,,,1,,1,4,,,,,,,1,,,53,,1,,,,3,1,2,,,,,,,1,,,1,,7,2,,,,
282.5,,,,,,,,38,1,,,,,,,121,,,,1,10,,,,,1,31,1,,,4,3,,,,,,,,,,,,,,,,4,6,,,,,,6,1,,,,,,,,,,,,,2,,,,,1
317.5,,,1,,,2,,110,,,,3,,,,203,,,,1,9,,,1,,18,95,3,,,,18,1,,,1,2,,8,,,,,,,,,1,76,,,1,,,2,,,1,,,,,,1,,,,,3,,,,,
342.5,,,,,,1,,84,,,,4,1,,,135,,,,1,38,,,,,12,105,7,,,,22,2,,,,1,4,2,,,1,,,,,,1,46,1,1,1,33,,5,,1,1,,,,,1,1,,,,,9,,,,,
362.5,,,,,,2,1,116,,,,6,2,,,262,,3,,5,53,,,,,6,32,1,,,,16,,,,,,,,,,8,,,,,1,3,17,,3,1,,,13,,2,,,,,,1,1,,,,1,14,1,,,,
382.5,,1,,,2,5,,100,,1,,7,1,,,129,,4,,4,52,,,,,16,37,,,,,25,,1,,,,2,2,,2,4,,,,,,,9,1,,,,1,4,,10,6,,,,,,,1,,,,3,5,,,,
407.5,,,,,,1,,82,1,1,,7,2,2,,197,,1,,1,33,1,,,,1,106,6,1,,,29,,,,,1,,,,1,5,,,,,,1,21,,1,,,,9,,2,2,1,,,,,2,,,,,6,2,,,2,
427.5,,,,,,1,,24,,3,,2,,,,74,,2,,5,4,,,,1,,53,,2,,,12,2,,,,,2,,,,,,,,4,,,11,1,1,,,,4,1,1,,,,,2,,,,2,,,8,,,,,
447.5,,,,,1,2,,26,,3,,2,2,,,237,,6,,1,123,1,,,,3,35,4,,,,32,,1,,2,1,1,2,,,2,,,,,,,37,,5,,2,1,1,,,,,,,,,,1,,,,8,,,,,
467.5,,,,1,1,,,19,1,3,,2,,,,43,,,3,5,39,,,,,3,11,2,,2,,22,,,,,2,5,,,,,,1,,,,,30,,,,,,1,,,,,,,,,,,,,,4,1,1,,,
487.5,,,,,2,1,,22,,,,2,,,,90,,,,10,6,,,,,2,12,2,,1,,7,,,,,,2,1,,,3,,2,,1,,1,20,,5,,,,1,,1,2,,,,,1,1,,,,,4,1,,,,1
507.5,,,,,,1,,5,,1,,,,,,11,,,,1,,,,,,,,1,,,,4,,,,,,,,,,,,2,,,1,,8,,,,,,,,,,,1,,,,,,,,,,,,,,
527.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,1,,36,,,,3,,,,213,,1,,,95,,,,1,5,32,1,,,,46,,,,,1,2,2,,,,3,,,,,,29,1,1,,,,14,,,6,,,,,,,2,,,,4,4,4,,,
