"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Myrica","Brassicaceae","Lamiaceae","Plantago","Cedrus","Cyperaceae","Apiaceae","Amaranthaceae","Ranunculus","Linaria","Abies","Potamogeton","Typha","Polygonum","Olea","Cichorioideae","Quercus (deciduous)","Pinus","Asteroideae","Poaceae","Quercus (evergreen)","Artemisia","Sparganium-type","Carduus","Alnus","Euphorbia","Ephedra","Fabaceae","Centaurea","Myriophyllum","Erica","Malvaceae","Mercurialis","Cistus","Rumex","Lycopodium","Lythrum","Ruta","Pistacia","Boraginaceae","Fraxinus","Corylus","Acacia","Helianthemum","Berberis"
0,NA,NA,0,1,1,1,1,1,1,3,3,4,4,4,6,6,8,11,25,28,28,32,42,62,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,NA,5,14,NA,NA,4,NA,3,19,4,29,NA,14,10,14,3,7,36,NA,77,29,45,80,238,1,1,1,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,NA,NA,10,3,NA,4,NA,1,NA,3,1,4,NA,49,1,2,1,8,13,1,60,1,4,60,148,3,NA,NA,NA,7,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
644,NA,NA,15,4,NA,3,4,NA,NA,NA,1,3,3,6,6,1,2,7,6,4,66,7,7,46,165,10,NA,1,NA,11,NA,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
859,NA,NA,20,7,NA,3,NA,NA,NA,NA,1,4,4,10,1,28,6,3,4,4,45,6,6,60,153,NA,NA,NA,NA,7,1,11,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1074,NA,NA,25,4,NA,NA,NA,NA,NA,6,3,8,3,NA,6,NA,2,1,3,6,98,11,28,64,175,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1289,NA,NA,30,1,NA,1,NA,4,3,1,1,7,1,NA,3,NA,NA,8,6,4,71,6,11,63,116,3,NA,1,NA,4,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1509,NA,NA,35,7,NA,1,NA,4,NA,NA,NA,5,3,3,NA,16,6,6,3,11,32,1,21,39,87,NA,1,NA,NA,6,NA,7,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1747,NA,NA,40,8,NA,NA,7,NA,1,1,NA,4,NA,NA,1,2,1,NA,15,15,45,6,31,56,80,NA,NA,3,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,45,15,NA,NA,4,NA,NA,3,4,5,NA,4,NA,NA,7,NA,14,6,63,22,76,45,140,NA,NA,1,NA,3,1,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
