Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acalypha cf. crenata,Acanthaceae,Adenia,Aerva-type,Albizzia,Alchornea,Amaranthaceae/Chenopodiaceae,Annonaceae,Antidesma,Apocynaceae,Artemisia,Bombax,Borreria,Brassicaceae,Bridelia,Butyrospermum,Caesalpinioideae,Capparidaceae,Capparis,Caryophyllaceae,Cassia,Celtis,Chrozophora,Cissampelos cf. mucronata,Cissus,Combretaceae,Commelinaceae,Commiphora,Compositae,Cyperaceae,Detarium,Diospyros,Elaeis guineensis,Ephedra,Euphorbiaceae,Ficus,Gramineae,Gynandropsis,Heliotropium,Hymenocardia,Hyphaene/Borassus,Indeterminables,Indetermines,Indigofera,Ipomaea,Irvingiaceae,Khaya,Kohautia,Lamiaceae,Lannea/Sclerocarya,Laurembergia,Liliaceae,Ludwigia,Macaranga,Malvaceae,Mimosa pigra,Mitracarpus scaber,Mitragyna,Monocotyledoneae,Monoletes,Moraceae,Morelia senegalensis,Nymphaea,Oldenlandia,Olea hochstetteri,Papilionoideae,Parinari,Periplocaceae,Phoenix,Phyllanthus,Phyllanthus reticularus-type,Piliostigma,Polycarpaea,Polygala,Polygonum cf. senegalense,Potamogeton,Pterocarpus,Rubiaceae,Salvadora,Sapindaceae,Scrophulariaceae,Securinega virosa,Sesbania,Solanum,Syzygium,Tephrosia,Triletes,Typha,Uapaca,Umbelliferae,Vernonia,Ximenia americana,Ziziphus
3567.385,109,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,,,,,,6,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3687.11,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,953,,,,,,7,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
3830.78,120,,,,,,,11,1,,,2,,,1,,,,,,,,,3,1,1,,1,,,,50,,,,,1,,398,,,6,3,,9,,,,,,,,1,,,,,,15,,,,,2,1,,,,,,,,,,,,,,,,2,,,,,,,,3,5,,,,,
3950.505,125,3,,,,,,3,7,,,,,,,,,,,,1,,,4,,,,3,,,2,68,,1,,1,1,2,429,,,,,,9,1,,,,,,,,2,,,,,6,,,1,,,1,,,2,,1,,,,1,,,1,,,,,,,,,,,,,2,2,,,,
4070.229,130,,,,,,,,2,,,2,,,1,,,,,,,,,2,,,1,2,,,,74,2,1,,,,,464,,,1,,,4,,,1,,,,,,,,,,,2,1,,,,,2,,,1,,,,,,,,,,,,,,,,4,,,,,1,1,,,,,
4189.954,135,,1,,,,,10,3,,,,,,,,,,,,1,,1,2,,,,7,,,,110,,,,1,1,,432,,,1,,,6,,,,,,,,,,,,,,1,2,,,1,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,1,1,,,,
4309.679,140,,,,,1,,3,,,,,1,,2,,,,,,,,,1,1,,,4,,,3,59,,,,,,,324,,,,,,2,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,3,,,,,1,,,,,,,,,,1,1,,,,
4381.514,143,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,467,,,,,,5,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
4453.349,146,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,285,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4597.019,152,,,,,,,19,2,,,1,,,,,,,,,,,1,2,,,,5,,,,101,,,,,1,1,474,,,,,,10,,,,,,,,,3,,,,,1,1,,,,1,,,1,3,,,,1,,,,,,,,,1,,,,,,,,1,4,,,,,1
4716.743,157,1,,,,1,,30,2,,,,,,4,,,,,,,,,,,1,,,,1,3,54,1,,1,1,1,,258,,,2,,,2,,,1,,,,,,,,,,,1,1,,,,1,3,,1,1,,,,,,,,,,,,2,,,,1,,,5,,,4,3,,,,
4836.468,162,,,,,,,15,5,,,,2,,,,,,,,,1,,2,,1,,6,,,1,92,,,,,1,,369,,,1,,,6,,,1,,,,,,1,,,,,7,,,1,,1,,,3,2,,,,,,,1,,,,,4,,,,,,,4,,,1,1,,,,1
5028.027,170,,,,,,,31,,,1,,,,3,,,,,,,,,,,,,5,,,2,113,,,,,2,,328,,,1,,1,9,,,2,1,,,,,,,,,,7,,,,,3,,,,,,,1,,,,,,,,,3,1,1,,,,,,1,,3,1,,,,
5123.807,174,,1,,,,,34,4,1,,,2,,3,,,1,,,,,,,,2,,7,1,,,70,1,,1,,1,,284,,,4,,1,6,1,,1,,1,1,,,,,,,,1,4,,,,4,1,,2,4,,,,,,,,,,,,,,,,1,,,10,1,,,1,,3,,
5267.477,180,,,,,,,23,2,,,1,,,1,,1,,,,,,,,,,,12,,,,91,1,,,,,,297,,,1,,,4,,,1,,,,,,,,,,,4,1,,,,1,1,,1,9,,,,,,,,,,,,2,,,,,,,10,,,2,5,,,,
5482.981,189,,,,,,,10,1,,2,,,,3,,,,,,,,,2,,,,4,,,,50,1,,,,1,,224,,,3,,,4,,,,,,,,,,,,,,4,,,,,4,,,2,5,,,1,1,1,,1,,,,,,,,,,,,2,,,1,5,,,,
5722.431,199,,,,,,,10,3,,2,,,1,,,,,,,,,,4,,,,8,1,,,77,1,,1,,1,,287,,2,3,,,6,,,,,,,,,1,,,,,3,1,,1,1,3,3,,1,3,,,,,1,,,,,,,1,2,1,,,,,6,,1,1,7,,,,
