"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Salix","Fraxinus","Betula","Fabaceae","Rumex acetosa-type","Rhamnus-type","Genista-type","Olea europaea","Convolvulus arvensis-type","Daphne gnidium-type","Abies","Cyperaceae","Alnus","Plantago major/P. media-type","Glomus cf. G. fasciculatum","Rumex acetosella-type","Anthemis-type","Asphodelus albus-type","Erica-type","Polypodiophyta (trilete)","Brassicaceae","Lamiaceae","Helianthemum-type","Quercus pyrenaica-type","Polygonum aviculare-type","Poaceae (Cerealia-type)","Boraginaceae","Juniperus-type","Cardueae","Quercus ilex-type","Cistus ladanifer","Polypodiophyta (monolete)","Cercophora undiff.","Pistacia","Fungi (type 55, HdV)","Amaranthaceae","Phillyrea","Urtica dioica-type","Pinus halepensis/P. pinea-type","Chaetomium undiff.","Artemisia","Plantago lanceolata-type","Aster-type","Coniochaeta cf. C. ligniaria","Pinus pinaster","Poaceae","Cichorioideae","Lonicera","Plantago coronopus-type","Liliaceae undiff.","Cedrus","Corylus","Hedera","Myrtus","Ulmus","Ilex","Lycium","Humulus/Cannabis","Selaginella denticulata-type","Cosentinia","Withania","Juglans"
4700,NA,NA,50,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,6,6,8,8,8,8,8,8,9,9,9,11,11,11,11,13,13,13,13,14,15,21,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4798,NA,NA,55,3,3,3,NA,NA,NA,NA,3,3,NA,3,3,3,6,21,4,4,3,4,5,4,3,4,5,6,9,7,6,9,11,8,11,9,8,9,4,9,9,13,21,8,21,22,33,7,23,44,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4896,NA,NA,60,NA,4,2,2,3,3,3,3,NA,4,NA,NA,5,7,5,5,3,NA,5,6,3,3,3,6,7,NA,6,5,7,9,8,6,9,7,11,12,9,8,13,16,9,4,33,34,8,33,56,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4994,NA,NA,65,4,4,NA,3,NA,1,1,6,4,3,2,4,NA,3,17,5,2,3,6,NA,1,3,NA,5,8,13,7,5,13,7,8,5,13,8,5,13,9,7,13,36,12,13,11,46,8,32,117,NA,4,NA,NA,2,2,2,3,NA,NA,NA,NA,NA,NA,NA
5092,NA,NA,70,3,NA,1,1,1,2,3,7,1,2,4,3,7,3,26,6,NA,5,5,8,NA,4,5,6,11,5,6,5,21,7,8,7,21,7,6,9,13,9,12,23,14,7,3,8,9,34,98,4,3,3,NA,4,3,NA,NA,4,NA,NA,NA,NA,NA,NA
5189,NA,NA,75,NA,6,3,4,1,2,NA,4,2,NA,5,5,8,5,6,3,1,6,4,7,4,5,2,4,15,6,5,6,13,12,8,8,4,9,8,8,5,13,9,13,21,8,14,9,8,21,65,5,4,3,2,5,NA,NA,3,NA,1,NA,NA,NA,NA,NA
5326,NA,NA,82,2,7,3,2,4,NA,2,3,3,5,2,2,NA,NA,7,1,2,7,5,6,5,3,3,7,6,13,NA,7,12,13,3,9,6,8,13,13,2,14,8,14,6,11,25,13,7,13,77,NA,3,NA,NA,6,4,1,NA,1,2,NA,NA,NA,NA,NA
5483,NA,NA,90,1,2,4,NA,NA,NA,2,7,NA,3,2,2,4,8,11,3,3,3,6,8,3,4,4,8,7,21,4,4,7,14,8,10,13,7,24,7,13,5,11,25,7,9,9,36,9,24,43,NA,NA,2,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
5581,NA,NA,95,NA,2,5,1,3,1,1,8,3,2,1,1,4,8,14,11,6,2,7,9,2,5,4,6,5,8,5,3,8,6,6,13,27,8,5,3,14,6,21,15,9,9,12,57,4,13,56,3,2,1,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA
5679,NA,NA,100,2,NA,NA,2,2,2,NA,8,3,NA,3,6,6,7,9,7,7,5,5,11,2,NA,6,6,8,15,6,1,9,7,7,2,15,8,6,13,11,9,9,6,12,12,13,28,13,25,67,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5796,NA,NA,106,NA,NA,NA,2,NA,2,2,8,2,NA,2,5,8,3,9,8,5,4,6,2,1,3,3,6,9,13,3,7,11,11,4,8,23,8,17,15,9,5,13,17,13,12,21,35,16,28,89,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
5875,NA,NA,110,NA,NA,NA,NA,4,4,NA,3,2,1,NA,3,4,NA,9,6,NA,NA,3,5,NA,4,2,4,7,10,4,3,6,6,3,11,2,6,11,9,11,9,7,9,9,9,8,41,6,13,21,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
6070,NA,NA,120,3,2,3,1,5,5,NA,3,3,NA,2,11,5,1,9,6,2,4,3,5,1,5,2,13,4,9,3,3,6,7,2,9,16,7,13,9,13,9,8,13,9,9,9,21,11,21,13,1,1,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
6266,NA,NA,130,NA,2,NA,NA,3,NA,NA,5,NA,6,2,5,3,NA,NA,7,3,5,5,7,1,4,1,6,6,NA,5,4,6,2,NA,8,17,5,4,13,21,11,9,21,11,11,13,21,13,19,21,NA,NA,NA,1,2,2,3,NA,NA,NA,2,NA,NA,NA,NA
6462,NA,NA,140,NA,1,3,2,2,7,NA,3,2,4,NA,13,2,3,11,1,5,NA,13,NA,NA,3,3,7,7,13,7,2,6,11,8,5,28,8,7,21,9,4,5,13,21,7,13,13,5,33,42,2,NA,NA,NA,2,2,4,2,NA,2,3,NA,NA,NA,NA
6658,NA,NA,150,2,NA,NA,NA,4,2,NA,3,2,2,3,21,NA,2,13,11,6,3,7,9,2,3,2,5,3,2,2,NA,6,5,7,7,3,13,9,6,15,11,11,14,13,6,4,14,17,11,23,NA,2,2,NA,1,1,6,2,NA,NA,6,NA,NA,NA,NA
6853,NA,NA,160,NA,NA,NA,NA,2,NA,NA,5,NA,2,NA,19,5,2,5,3,2,3,7,11,NA,3,1,7,3,5,3,1,6,6,1,21,3,11,13,6,17,7,7,6,7,8,15,24,4,21,56,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
7049,NA,NA,170,NA,NA,NA,NA,3,5,NA,6,NA,NA,NA,23,NA,NA,6,9,2,NA,8,3,NA,2,4,2,2,11,6,5,7,5,3,7,6,9,21,7,8,9,9,15,8,9,9,15,5,15,22,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7245,NA,NA,180,NA,3,NA,NA,NA,5,NA,4,NA,3,NA,35,9,NA,1,2,NA,NA,2,NA,NA,NA,NA,21,NA,NA,NA,11,NA,15,NA,11,NA,11,NA,2,19,3,13,NA,2,NA,NA,NA,4,9,2,5,NA,NA,NA,9,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
7441,NA,NA,190,NA,3,NA,NA,2,7,NA,3,NA,3,NA,23,9,NA,1,NA,NA,NA,3,5,NA,NA,NA,13,NA,NA,NA,11,1,21,1,13,NA,3,5,2,23,NA,22,3,NA,2,NA,NA,6,9,11,5,NA,1,NA,8,2,2,7,NA,NA,NA,NA,NA,NA,NA
7636,NA,NA,200,3,2,NA,NA,2,NA,NA,3,NA,2,NA,23,8,NA,3,1,2,NA,2,6,2,NA,NA,4,NA,NA,NA,10,NA,13,2,7,NA,5,3,1,15,5,15,NA,3,NA,2,NA,13,11,2,3,2,1,2,7,3,3,3,2,1,NA,NA,NA,NA,NA
7832,NA,NA,210,3,5,2,NA,NA,NA,NA,4,NA,6,2,43,7,NA,NA,NA,2,NA,NA,9,NA,NA,3,16,NA,NA,1,9,NA,24,NA,8,NA,7,NA,NA,23,NA,16,2,4,1,NA,2,2,13,2,2,NA,3,NA,8,4,6,2,NA,NA,NA,NA,NA,NA,NA
8028,NA,NA,220,2,6,2,NA,NA,NA,NA,5,NA,7,NA,27,6,NA,NA,NA,NA,NA,4,NA,1,NA,NA,8,NA,NA,1,9,NA,19,2,9,NA,8,NA,4,11,1,17,NA,3,NA,2,NA,7,4,9,3,NA,NA,2,9,NA,9,3,NA,NA,5,NA,NA,NA,NA
8224,NA,NA,230,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,36,4,NA,NA,NA,NA,NA,4,9,1,NA,NA,18,NA,NA,NA,9,NA,33,NA,9,NA,11,NA,3,8,NA,5,NA,NA,NA,NA,NA,13,8,5,4,1,NA,1,7,3,NA,5,NA,NA,NA,NA,NA,NA,NA
