"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Fabaceae undiff.","Liliaceae-type","Erodium","Matricaria-type","Quercus cerris-type","Abies","Rubiaceae","Portulaca","Fumaria","Solanum nigrum-type","Ceratonia siliqua","Centaurea nigra-type","Lavandula","Malva sylvestris-type","Polygonum aviculare-type","Lamiaceae","Smilax","Withania","Podospora-type","Boraginaceae","Quercus ilex-type","Cedrus","Genista-type","Olea europaea","Plantago major/P. media-type","Plantago lanceolata-type","Rhamnus-type","Phillyrea","Erica arborea-type","Myrtus communis","Periploca","Poaceae (Cerealia-type)","Juniperus-type","Aster-type","Ziziphus","Cercophora-type","Artemisia","Tamarix","Cistus","Pinus halepensis-type","Carduoideae","Amaranthaceae","Sordaria-type","Sporormiella-type","Pistacia","Poaceae","Cichorioideae","Geranium","Populus","Crataegus-type","Salix","Alnus","Fraxinus","Prunus-type","Ruscus","Taxus baccata","Ilex"
6145,NA,NA,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,5,5,6,6,6,6,8,9,9,9,9,9,10,11,11,11,11,13,13,13,13,15,19,23,25,31,35,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6370,NA,NA,5,NA,NA,NA,NA,2,3,NA,2,2,3,1,4,2,4,5,5,5,3,7,4,4,5,7,10,7,11,8,9,8,13,11,13,8,9,8,19,19,15,15,15,23,21,15,33,29,48,58,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6730,NA,NA,13,2,2,2,NA,1,1,3,1,1,4,1,4,3,5,6,6,7,5,8,6,6,4,5,11,6,9,11,13,13,11,13,9,8,13,9,13,15,18,19,22,19,25,19,24,28,39,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6885,NA,NA,25,NA,1,1,3,2,NA,3,NA,2,2,3,3,3,3,5,1,1,1,11,4,7,6,1,13,7,13,1,2,2,2,2,11,9,12,2,9,3,3,11,8,12,5,29,24,6,21,25,NA,NA,1,2,4,NA,NA,NA,NA,NA
7016,NA,NA,35,1,NA,NA,2,1,NA,1,3,NA,1,2,3,NA,3,7,2,NA,NA,9,4,13,5,NA,21,8,15,NA,1,3,1,1,15,13,14,1,23,2,2,3,6,13,6,33,31,11,18,34,1,2,NA,3,5,NA,NA,NA,NA,NA
7116,NA,NA,45,NA,NA,NA,NA,3,NA,NA,2,3,3,2,2,NA,4,6,1,1,NA,9,5,21,6,2,15,9,9,NA,NA,3,2,NA,8,14,9,NA,14,NA,1,4,8,9,5,23,19,9,17,37,NA,3,NA,2,4,2,3,3,NA,NA
7186,NA,NA,55,2,1,1,NA,5,2,NA,NA,1,3,1,4,1,3,5,NA,NA,1,7,5,16,7,NA,23,11,9,2,NA,4,2,NA,11,8,8,1,19,3,NA,3,8,11,7,25,15,8,23,27,NA,NA,2,5,6,NA,2,2,3,NA
7257,NA,NA,65,NA,1,1,1,4,NA,1,1,1,2,NA,3,NA,4,4,NA,NA,NA,9,6,22,6,NA,18,13,10,2,3,3,NA,1,12,7,9,2,22,1,2,5,9,13,5,32,23,9,13,33,2,1,NA,5,7,1,1,2,NA,NA
7327,NA,NA,75,2,2,NA,1,6,NA,2,4,2,3,NA,3,NA,2,5,NA,NA,NA,9,7,25,5,NA,24,7,13,1,2,2,1,2,7,9,8,NA,14,NA,3,6,6,14,4,18,19,6,10,34,NA,3,NA,3,9,3,2,3,NA,NA
7944,NA,NA,85,3,3,NA,1,7,1,NA,3,3,1,2,3,NA,5,6,1,NA,NA,5,5,19,4,1,31,8,12,NA,NA,3,1,NA,9,13,11,NA,16,NA,5,5,7,21,3,18,28,12,9,27,NA,3,NA,4,11,3,NA,2,2,1
