Depth,Giesecke et al. 2014 (MADCAP) - Calibrated radiocarbon years BP,EPD - Radiocarbon years BP,Acer,Aconitum,Alchemilla,Allium,Alnus glutinosa,Amaranthaceae-type,Ambrosia,Ammi,Anagallis,Anemone sect. Hepatica,Angelica archangelica-type,Angelica palustris-type,Angelica sylvestris,Anogramma leptophylla,Anthemis-type,Anthemis-type (small),Anthriscus sylvestris,Apiaceae undiff.,Apium nodiflorum,Arbutus unedo,Arenaria,Armeria,Artemisia,Asphodelus albus,Aster-type,Asteroideae undiff.,Astrantia,Bellis,Berula erecta,Betula pubescens,Botrychium,Brassicaceae,Bupleurum,Buxus sempervirens,Calluna vulgaris,Campanula,Carum verticillatum,Caryophyllaceae undiff.,Castanea sativa,Centaurea cyanus,Centaurea nigra-type,Centaurea scabiosa-type,Centaurium,Cerastium,Chaerophyllum temulum,Cichorioideae undiff.,Cicuta virosa,Cirsium-type,Cistus ladanifer-type,Colchicum montanum,Conium maculatum,Cornus sanguinea,Corylus avellana,Cuscuta,Cyperaceae,Cytisus grandiflorus,Daucus,Dianthus lusitanus-type,Dryopteris-type,Echium,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Equisetum,Erica arborea-type,Erica australis,Erica umbellata,Eryngium,Eucalyptus,Fabaceae undiff.,Fagus sylvatica,Fallopia convolvulus-type,Filago-type,Filipendula,Frangula alnus,Fraxinus angustifolia,Fritillaria lusitanica,Gagea nevadensis,Galium-type,Genista-type,Gentiana lutea/G. pneumonanthe,Gentianella campestris-type,Geranium,Gypsophila repens-type,Halimium/Tuberaria,Hedera helix,Hedwigia,Helianthemum,Heracleum,Herniaria-type,Hippophaë rhamnoides,Hydrocotyle vulgaris,Hypericum perforatum-type,Ilex aquifolium,Isoëtes,Jasione-type,Jasminum,Juglans,Juniperus communis,Jurinea,Lamiaceae undiff.,Lamium,Laserpitium,Lathyrus,Lavandula-type,Linaria,Lonicera periclymenum,Lotus,Lycopodium spike,Lycopodium spike,Lysimachia,Lythrum undiff.,Medicago,Menyanthes trifoliata,Mercurialis perennis,Meum-type,Micranthes stellaris-type,Minuartia recurva,Montia fontana,Myrica,Myriophyllum alterniflorum,Myrtus communis,Narcissus bulbocodium,Narcissus pseudonarcissus-type,Nymphaea,Oenanthe,Olea europaea,Ornithogalum-type,Ornithopus,Papaver rhoeas-type,Parnassia palustris,Paronychia polygonifolia-type,Pedicularis sylvatica,Pentaglottis sempervirens,Peucedanum-type,Phillyrea,Physospermum cornubiense,Picea,Pimpinella anisum,Pimpinella saxifraga-type,Pinus,Pistacia,Plantago coronopus sensu stricto,Plantago lanceolata-type,Plantago major-type,Plantago subulata-type,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodium,Potamogeton,Potentilla,Poterium sanguisorba,Prunus,Pteridium aquilinum,Quercus,Radiola linoides,Ranunculus,Ranunculus acris-type,Reseda/Sesamoides,Rhamnus,Rhinanthus/Veronica,Rosaceae undiff.,Rubus,Rumex acetosa-type,Rumex acetosella-type,Rumex obtusifolius-type,Sagina,Salix,Sambucus nigra,Sample quantity,Sanguisorba officinalis-type,Saxifraga granulata-type,Scleranthus annuus,Scrophulariaceae undiff.,Sedum-type,Selinum carvifolia,Senecio,Seseli libanotis-type,Silaum silaus-type,Silene,Silene ciliata-type,Silene foetida-type,Silene vulgaris-type,Solanum dulcamara,Solanum nigrum-type,Solidago,Sorbus aucuparia,Sparganium,Sparganium emersum-type,Spergula,Spergularia-type,Sphagnum,Spike tablets,Stachys-type,Stellaria,Succisa,Taxus baccata,Teucrium,Thalictrum,Thymelaeaceae,Torilis arvensis-type,Trifolium-type,Trinia glauca-type,Typha latifolia,Ulex,Ulmus,Urtica,Valeriana officinalis,Valerianella,Veratrum album,Viburnum tinus,Vicia,Viola,Vitis,Zea mays
-36,-0.000447883,--/-146/--,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,1,1,,,,,,,2,,,1,,,,1,,7,1,,,1,,,,,,46,3,2,,2,,,,,,,,,,1,4,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,2,84,11329,1,,,,,,,,,,,,,,,,81,,1,,,,,,1,,,,,,269,,4,1,1,,42,8,,,,,,,3,32,,78,,,,,,,,20,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
-34,-0.000452037,--/-135/--,,,,,3,1,,,,,,,,,1,,,,,,,,1,,,,,,,1,,1,,,2,,,,3,,1,,,,,4,,,,,,,,,4,1,,,1,,,,,,40,4,1,,3,,,,,,,,,,2,2,,,,,4,,,,,,,,1,,,1,,,5,,,,,,,,,,69,11329,,,,,,,,,,,,,,,,,41,,,,,,,,1,1,,,,,291,,1,4,,,154,10,,,,1,,,2,29,,45,,,,,,,,19,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
-32,-0.000450755,--/-124/--,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,1,,,,,,,1,2,,,,,,,,,1,1,,,,1,,,,,30,5,,,,,,,,,,,,,2,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,59,11329,,,,,,,,,,,,,,,,,35,,,,,,,,1,,,,,1,237,,,2,,,170,7,,,,1,,,1,12,,47,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
-30,-0.00040833,--/-114/--,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,4,,,,,4,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,45,,,,2,,,,,,,,,,1,2,,,,,1,,1,,,,,,,,,,,,2,,,,,,,,,,78,11329,,,,,,,,,,,,,,,,,29,,2,,,,,,,,,,,,129,,,3,,,162,11,,,,,,,3,11,,53,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,
-28,-0.000415282,--/-103/--,,,,,3,,,,,1,,,,,1,,1,1,,,,,,,,,,,,10,,5,,,3,,,1,3,,,,,,,5,,,,,,,,,4,1,1,,1,2,,,,,63,3,1,,1,,,,3,,,,,,1,2,1,,,,2,,1,,,,,,1,,,,,,,,,,,,,,,,213,11329,,,,,,,1,,,,,,,,,,49,,2,,,1,,,1,,,2,,,180,,2,2,,,382,14,,,,,,,2,10,,95,,,,,,,,33,,,1,,,,1,,,2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,1,
-26,-0.0003125,--/-92/--,,,,,4,2,,,,1,,,,,5,,,2,,,2,,2,,,,,,,17,,,,,5,,,2,,,,,,,2,5,,,,,,,1,,6,3,,,2,,,1,,,102,7,3,,,,,,1,,,,,,3,7,,,,,11,,1,,,,,,,,,,,,2,,,,,,,,,1,64,11329,1,,,,,,6,,,,,,1,,,,65,,,,,,,,1,2,,,,,251,,1,7,,,460,50,,,,,,,6,33,,80,,,,,,,,39,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,
-24,-0.00020284,--/-81/--,,,,,,1,,,,,,,,,3,,,,,,1,,,1,,,,,,17,,3,,,4,,,,1,,2,,,,,2,,2,,,,,,,1,1,,,2,1,,,,,118,6,1,,1,,1,,,,,1,,,8,4,,,,,16,,3,,,,,,,,,,,,4,,,,,,,,,,74,11329,1,,,,,,11,,,,,,,,,,47,,1,,,,1,,3,1,,,,,157,,5,2,1,,522,58,,,,,,,5,32,,61,,,,,,,,25,,,2,2,,,,2,,2,,,,,,,1,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,1,
-22,0/-75/-149,--/-71/--,,,,,3,1,,,,1,,,,,5,,,4,,,,1,,,,,,,,30,,5,,,5,,,,1,,1,,,,,6,,3,,1,,,,,6,2,,,4,2,,,,,175,14,4,,,,,,,,,,,,10,5,,,,,13,,4,,,,,,,,,2,,,2,,,,,,,,,,69,11329,1,,,,,,9,,,,,,1,,,,60,,1,,,1,,,1,,,,,,131,,2,6,,,597,76,1,,,1,,,15,26,,65,,,,,,,,33,,,,1,,,,3,,3,,,,,1,,,,,,,1,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,
-20,3/-63/-130,--/-60/--,,,,,3,1,,,,,,,,,3,,,1,,,4,1,2,1,,,1,,,22,,3,,,5,,,1,1,,,,,,,3,,1,,,,,,,6,,,,1,1,,,,,103,9,1,,,,,,1,,,,,,5,4,,,,,16,,4,1,,,,,1,,,,,,5,,,,,,,,,,52,11329,,,,,,,7,,,,,,,,,,35,,2,,,1,,,1,1,,,,,52,,4,4,,,449,46,,,,2,,,9,28,,42,,,,,,,,17,,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,1,
-18,6/-51/-112,--/-49/--,,,,,3,1,,,,,,,,,3,,,,,,1,,,,,,,,,11,,8,,,3,,,2,2,,,,,,2,5,,,,,,,,,5,,,,5,,,,,,124,7,7,,,,,,2,,,,,,4,3,3,,,,11,,7,,,1,,,,,,,,,2,,,,,,,,,,95,11329,,,,,,,4,1,,,,,,,,,41,,,,,3,,,4,1,,,,,108,1,1,3,,1,478,41,,,,,,,6,31,,53,,,,,,,,21,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,1,,,,,,,,,,,,,
