sample_name,depth,Gramineae,Cassia,Maerua,Combretaceae,Farne,Calligonum,varia unbestimmbar,Cyperaceae,Papilionaceae,Typha,Palmae,Caryophyllaceae,Plantogo,Nyctaginaceae,Acanthaceae,Asclepedoaceae,Monsonia,Sporen monolet,Cornulaca,Ephedra dist.-Typ,Pinus,Compositae tub.,Labiatae,Umbelliferae,Cruciferae,Tamarix,Tribulus,Liliaceae,Chenopodiaceae,Artemisia,varia,Capparidaceae,Salvadoraceae,Acacia
1477.5,,6,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,275,0,0,6,0,0,0,0,0
1417.5,,60,1,0,0,0,0,1,5,11,0,0,0,0,0,0,0,0,0,12,1,2,0,0,0,1,571,0,1,14,1,0,13,0,0
1317.5,,29,0,1,0,0,1,1,3,5,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,258,0,0,8,1,4,10,1,3
1277.5,,51,1,2,1,1,0,0,0,0,3,0,1,1,3,1,0,0,0,11,0,0,2,1,1,2,627,1,1,5,4,0,11,0,0
1247.5,,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,50,0,0,13,2,0,0,0,0
1197.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,2,0,0,0,0,0
1147.5,,3,7,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,290,0,0,453,2,1,10,0,0
1067.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957.5,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,53,0,0,0,0,0,10,0,0
742.5,,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,43,0,0,4,0,0,0,85,0,0,2,0,0,18,4,0
692.5,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,25,0,0
637.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,1,0,0,2,0,0
577.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0
412.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
372.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
292.5,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
252.5,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
132.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112.2,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
92.5,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,280,0,0,0,0,0,10,0,0
12.5,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
