"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Primulaceae","Ranunculaceae","Juglans","Lamiaceae","Polygonum","Centaurea","Geraniaceae","Eryngium","Asphodelus","Polygonum serrulatoides-type","Artemisia","Helianthemum","Typha latifolia","Urticaceae","Myriophyllum spicatum","Cistus","Potamogeton","Typha angustifolia","Apiaceae","Poaceae (Cerealia-type)","Amaranthaceae","Convolvulaceae","Olea europaea","Caryophyllaceae (periporate, excluding Paronychioideae)","Cupressus","Cyperaceae","Brassicaceae","Rumex","Cichorioideae","Poaceae","Quercus","Asteraceae","Cedrus","Pseudoschizaea","Fraxinus-type","Daphne","Plantago","Liliaceae","Fabaceae","Rubiaceae","Lonicera-type","Ilex aquifolium","Ephedra","Rosaceae","Euphorbiaceae","Alisma","Celtis","Alchemilla-type","Ericaceae","Pinus","Armeria","Juncus","Laurus nobilis","Ulmus","Trifolium-type","Taxus baccata","Typha minima","Lamium-type","Lycopodium","Acer","Corylus","Asphodeline","Sideritis-type","Riccia","Ostrya-type"
201,NA,NA,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,5,6,7,11,11,12,13,13,23,28,34,45,51,77,86,118,144,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,NA,NA,5,NA,3,NA,NA,NA,3,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,11,1,4,1,1,43,NA,4,58,1,80,49,69,57,98,1,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,NA,NA,10,NA,5,NA,NA,NA,5,1,NA,NA,NA,5,5,NA,NA,NA,NA,4,NA,17,1,3,NA,NA,21,NA,1,54,NA,44,52,59,64,64,1,NA,5,14,1,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,NA,NA,15,NA,1,NA,NA,2,4,1,NA,NA,NA,2,2,NA,NA,NA,NA,4,NA,14,3,3,NA,NA,21,NA,8,72,1,63,55,59,92,78,3,NA,1,15,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,NA,NA,20,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2,5,NA,NA,1,NA,NA,NA,9,4,6,NA,NA,24,NA,6,36,2,53,53,59,108,84,8,NA,1,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
629,NA,NA,25,NA,1,NA,NA,NA,4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,13,3,NA,NA,NA,23,NA,2,40,1,46,62,48,57,63,4,NA,NA,7,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715,NA,NA,30,NA,1,NA,NA,NA,4,NA,NA,NA,NA,2,2,NA,NA,NA,NA,4,1,7,1,2,NA,NA,14,NA,NA,19,4,28,40,33,49,35,2,NA,2,7,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
801,NA,NA,35,NA,2,NA,NA,NA,4,1,NA,1,NA,NA,2,NA,1,NA,NA,5,1,12,2,1,NA,NA,16,NA,NA,29,8,45,39,44,75,44,NA,NA,NA,7,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
886,NA,NA,40,NA,2,NA,NA,NA,2,NA,NA,1,NA,3,6,NA,NA,1,NA,8,NA,17,4,7,NA,NA,18,NA,NA,52,4,45,47,67,98,65,1,NA,2,28,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
972,NA,NA,45,NA,2,NA,NA,1,2,1,NA,1,NA,2,4,NA,NA,NA,NA,NA,NA,12,5,5,1,NA,14,NA,NA,52,5,74,59,70,90,58,NA,NA,2,15,NA,2,6,NA,NA,4,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1058,NA,NA,50,NA,1,NA,2,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,11,6,2,NA,NA,16,NA,NA,49,1,45,48,34,74,35,1,NA,3,15,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1144,NA,NA,55,NA,4,NA,7,NA,12,1,NA,NA,NA,2,2,NA,NA,1,NA,NA,4,16,4,3,NA,2,45,NA,NA,55,1,73,42,88,75,42,NA,1,1,21,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
