"age_NA","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Olea europaea","Humulus/Cannabis-type","Caryophyllaceae","Astragalus-type","Echium","Equisetum","Salix","Juniperus-type","Carpinus betulus","Ceratonia","Pinus","Pistacia","Rosaceae","Quercus pubescens/Q. robur-type","Fabaceae","Ruppia maritima","Lamium album-type","Amaranthaceae","Fraxinus excelsior-type","Myrtus communis","Plantago coronopus","Geranium","Triticum-type","Apiaceae","Juglans","Fraxinus ornus","Pteridium","Castanea","Centaurea jacea-type","Mercurialis annua","Cyperaceae","Ephedra fragilis-type","Varia","Alnus","Quercus ilex-type","Ulmus","Anthemis-type","Bidens-type","Artemisia","Plantago lanceolata-type","Polypodiaceae","Ostrya/Carpinus orientalis-type","Corylus","Lonicera","Vicia-type","Centaurea cyanus-type","Ficus carica","Urticaceae","Betula","Vitis","Rumex acetosa-type","Botryococcus","Fagus","Sparganium-type","Plantago maritima-type","Valeriana officinalis-type","Viburnum opulus-type","Hedera","Aspiromitus punctatus","Elaeagnus","Liliaceae","Rhinanthus-type","Phillyrea","Cistus/Helianthemum","Unknown","Foraminifera","Filipendula","Sanguisorba minor-type","Zea mays","Poaceae","Rubiaceae","Erica","Myriophyllum spicatum/M. verticillatum","Potamogeton natans-type","Brassicaceae","Poaceae (Cerealia-type)","Anogramma"
NA,NA,NA,260,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,6,6,7,8,9,10,11,11,17,17,19,19,22,27,29,38,52,76,96,204,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,220,NA,4,1,1,2,NA,NA,4,2,2,5,20,1,2,2,2,1,6,4,9,4,7,27,30,11,1,10,8,8,7,8,19,30,58,18,40,48,112,148,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,210,NA,3,NA,60,1,NA,5,4,NA,NA,4,NA,4,5,1,11,5,7,233,11,9,11,24,33,11,3,17,9,3,8,9,17,7,56,26,22,15,24,101,NA,NA,NA,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,200,NA,5,4,2,5,NA,1,4,NA,2,11,3,3,13,4,3,1,3,4,10,10,11,15,26,5,4,12,7,NA,3,11,19,8,66,15,17,13,41,71,NA,NA,1,1,2,NA,NA,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,169,NA,15,NA,3,7,NA,NA,34,NA,3,15,NA,15,24,2,2,5,5,1,3,9,5,26,29,9,NA,3,2,1,5,22,15,11,59,10,9,5,31,48,NA,3,NA,12,2,NA,NA,NA,1,NA,1,NA,1,1,1,1,1,1,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,180,NA,11,NA,5,3,NA,NA,15,1,1,22,1,11,32,1,5,11,7,1,9,37,13,33,18,13,1,5,5,NA,NA,11,21,13,66,16,4,9,38,52,1,1,3,13,NA,NA,NA,2,3,1,NA,NA,2,1,1,1,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,160,NA,8,1,12,4,NA,NA,71,4,2,21,6,45,23,7,6,9,3,7,19,4,15,35,17,9,1,2,2,3,8,75,34,29,162,45,11,7,144,127,1,5,NA,15,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2,NA,NA,4,NA,NA,1,1,1,1,1,1,1,9,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,190,2,14,3,9,9,NA,3,31,NA,4,6,NA,31,40,9,7,13,11,6,12,64,29,50,24,36,4,14,18,NA,13,13,54,3,136,18,8,12,56,133,1,1,2,10,1,NA,NA,1,1,1,NA,1,3,NA,1,1,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,2
