"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ulmus","Ephedra","Tamarix","Phillyrea","Asphodelus","Quercus suber","Typha","Chaetomium","Polyadosporites","Dicellaesporites","Fungi (type 48, UAB)","Closterium","Gloeotrichia","Cistaceae","Salix","Alnus","Galium-type","Unknown/Other","Fungi (type 14, UAB)","Fungi (type 1109, UG)","Cichorioideae","Unknown (type 128, HdV)","Apiaceae","Plantago","Erica","Glomus","Sordaria-type","Zygnema-type","Melampyrum","Cirsium-type","cf. Juniperus","Olea","Unknown (Hyaline quadrangular)","Amaranthaceae","Spirogyra","Quercus (deciduous)","Artemisia","Cyperaceae","Indeterminable","Fungi (cf. type 1107, UG)","Monocotyledoneae","Fungi (type 361, HdV)","Poaceae","Quercus ilex/Q. coccifera","Typha/Sparganium","Pinus","Fungi (type 8, UAB)","Spirogyra species (type 210, HdV )","Fungi (type 30A, UAB)","Corylus","Rumex","Aster-type","cf. Sedum","Podospora","Cercophora-type","Coniochaeta cf. C. ligniaria","Fungi (type 12, UAB)","Fungi (type1, UAB)","Lamiaceae","Poaceae (Cerealia-type)","Mougeotia","Foraminifera","Oribatida (type 36C, HdV)","Asteroideae","cf. Rosaceae","Ophioglossum-type","Rivularia","Caryophyllaceae","Scrophulariaceae","Tilia","Fraxinus","Rhamnus","Filipendula","Helianthemum-type","Monoletes","Polygonum","Pseudoschizaea","Myriophyllum","Paronychia-type","Verbena officinalis","Alnus cf. A. suaveolens","Pteridium","Pistacia","Fungi (type 4, UAB)","Copepoda (type 179, HdV)","Animalia undiff.","Gelasinospora","Fungi (type 30B, UAB)","Fungi (type 40, UAB)","Fungi (type 9, UAB)","Fungi (type 46, UAB)","Unknown (type 182, HdV)","Unknown (type 224, HdV)","Oribatida (type 36D, HdV)","Vitis","Primula","Dipsacus","Coniochaeta xylariispora (type 6, HdV)","Fagus","Brassicaceae","Potentilla","Fungi (type 35, UAB)","Arbutus unedo","Polypodium","Diplocladiella scalaroides","Carpinus","Plantago major/P. media","Sanguisorba","Sporormiella","Fungi (type 33, UAB)","Osmunda-type","Triletes","Isoëtes","Centaurea","Thymelaea","Isoëtes boryana","Urtica","Triletes (>30 µm)","Castanea","Oribatida (type 36B, HdV)","Delitschia","Sordariaceae/Sordaria (type 55B, HdV)","Trichuris sp.","Betula","Viburnum","Thecaphora","Fungi (type 20, UAB)","Ranunculaceae","Fungi (type 38, UAB)","Fungi (type 2, UAB)","Fabaceae","Neurospora","Fungi (type 32, UAB)","Unknown (4-celled spore)","Fungi (type 39, UAB)","Diporotheca rhizophila","Pediastrum","Fungi (type 21, UAB)","Invertebrata (type 52, HdV)","Mougeotia laetevirens","Rubus-type","Fungi (type 42, UAB)","cf. Ficus"
2073,NA,NA,48,"1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","3","4","4","4","4","4","4","5","5","5","6","6","11","11","11","12","13","13, 27","15","18","23","23","37","44","49","50","79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2174,NA,NA,52,"","","","2","","","","2","","","","","","1","","1","","1","","","2","7","5","1","7","1","1","1","8","1","2","2","2","4","11","10","9","5, 19","6","","5","5","16","40","11","30","19","1","1","1","1","1","1","1","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2264,NA,NA,56,"","1","","","2","","1, 1","1","","1","","1","18","","","","","","","","3","4","7","1","12","","","1","12","1","3","7","2","10","13","10","11","9, 21","5","","11","1","38","62","18","45","17","1","","","","","","","","","","","1","1","1","1","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2346,NA,NA,60,"","","","2","","","","","","","","","7","1","","","1","","","1","7","9","6","1","10","10","","1","5","","3","1","12","8","9","8","7","9, 16","6","3","1","6","69","49","26","38","2","1","","","","4","1","","1","","","","","1","","","","4","","","1","1","1","1","1","1","1","1","1","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2474,NA,NA,102,"","","1","2","1","","","","","2","","2","10","","","","","","","","3","6","4","3","2","3","","7","4","2","3","4","6","14","9","11","11","13, 67","12","6","21","5","32","61","59","32","6","","","","1","1","","","","","","","1","1","","","","1","2","","","","","","","","1","","","1","2","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2540,NA,NA,106,"","","1","","","","1","","","","","1","2","","","","","","","1","1","4","3","1","2","1","","3","1","1","","3","1","1","8","","3","3, 19","3","11","16","5","23","12","37","23","9","","1","","1","","","","1","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2604,NA,NA,110,"","","","3","","","","3","","2","","","5","2","","","","","","1","3","5","3","3","4","1","1","5","7","2","3","8","1","7","8","3","15","2, 41","3","13","18","13","21","29","68","34","25","","1","","","","","","1","1","","1","","","","","","1","","","","","","","1","","1","","","","1","","","","","","1","","1","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2665,NA,NA,114,"","","1","","","","","","","","","","","","1","","","","","","3","1","2","","1","","4","1","","2","","","2","1","2","2","3","1, 28","7","1","18","2","9","12","9","13","5","","1","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2724,NA,NA,118,"","","","1","","1","","","","","","","","","","2","1","","","","5","","4","1","11","1","","","4","3","3","6","","5","","7","8","7, 28","4","","24","","1, 29","36","26","45","6","1","","","","","","","","","","","","","","","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2782,NA,NA,122,"","","","1","","","","","","1","","1","4","4","","","1","","","","5","8","5","","11","22","","1","4","2","1","7","9","1","5","7","4","9, 49","1","4","5","4","41","53","16","35","3","","1","","","","2","","","1","1","","1","","","","1","","","","","","","","2","","1","","","1","","","","","1","2","","","","","","","","","","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2838,NA,NA,126,"","","2","2","","1","1","1","","","","2","6","","","","","","","","13","5","7","2","8","15","","3","4","1","3","6","3","9","12","18","11","10, 16","1","1","3","38","80","49","40","39","8","1","1","1","","","","","","","","","","","","","","3","","1","","","","","","","1","1","3","1","1","","1","","","","1","","1","","","2","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2894,NA,NA,130,"","","1","1","","","","1","","1","","3","2","1","","1","1","","","1","11","4","1","","6","28","","2","2","","","5","11","6","12","9","3","16, 22","7","2","1","7","44","44","30","56","","","","","","1","1","","","","","","3","","","","","1","","","1","1","","","1","1","1","1","1","","9","","","","1","","","","","","1","","","","","1","","","1","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
