"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cyperaceae","Ligustrum","Apiaceae","Juniperus","Cichorioideae","Pistacia","Ephedra","Cistus","Poaceae","Oleaceae","Quercus ilex-type","Sparganium-type","Pinus","Pseudoschizaea","Corylus","Ulmus","Juglans","Poaceae (Cerealia-type)","Phillyrea","Thymelaea","Cannabaceae","Betula","Rumex","Alnus","Asteroideae","Quercus robur-type","Artemisia","Amaranthaceae","Ericaceae","Plantago","Poterium sanguisorba","Unknown (trilete)","Unknown (monolete)","Tilia","Hippophaë","Vitis","Buxus","Scabiosa","Ranunculaceae","Typha latifolia-type","Fagus","Polypodium","Euphorbia","Salix","Abies","Myriophyllum","Fabaceae","Brassicaceae","Urticaceae","Coriaria myrtifolia","Rosaceae","Rubiaceae","Rhamnus","Hedera","Carpinus","Centaurea","Helianthemum","Fraxinus","Polygonum","Lamiaceae","Caryophyllaceae","Acer"
3029,3204,2862,415,12,1,1,2,1,44,NA,NA,4,29,37,1,82,2,6,NA,NA,NA,NA,NA,NA,NA,NA,4,2,9,15,41,4,3,NA,4,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3315,3482,3155,425,4,NA,3,3,4,4,NA,5,18,82,44,NA,164,NA,13,NA,NA,NA,NA,NA,1,1,1,3,2,40,20,50,5,25,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3601,3763,3448,435,6,2,3,2,NA,24,5,3,7,57,20,2,76,NA,5,NA,NA,NA,NA,NA,NA,1,3,1,NA,18,15,33,1,10,NA,NA,1,NA,NA,NA,NA,NA,14,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3887,4046,3739,445,4,NA,1,3,NA,4,1,NA,14,75,57,1,79,1,14,2,NA,NA,NA,NA,NA,8,3,10,1,57,25,56,4,13,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4173,4329,4027,455,3,NA,2,2,1,6,3,NA,9,47,25,1,136,NA,10,NA,NA,NA,NA,NA,NA,3,1,2,2,11,7,25,2,22,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4459,4613,4315,465,8,1,4,2,1,3,2,3,36,89,65,NA,172,8,10,NA,NA,NA,NA,NA,NA,6,1,6,3,93,16,90,11,33,NA,1,NA,NA,NA,NA,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4746,4897,4600,475,10,NA,2,1,1,13,1,1,24,84,47,5,117,2,13,NA,NA,NA,NA,NA,NA,NA,1,4,4,18,13,65,14,20,NA,5,NA,NA,NA,1,NA,NA,3,NA,4,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5032,5182,4884,485,4,NA,1,NA,2,1,2,2,5,24,24,NA,93,NA,5,NA,NA,NA,NA,NA,NA,3,NA,4,NA,15,6,14,3,9,NA,1,3,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5318,5468,5167,495,14,NA,6,3,3,10,6,4,19,73,41,5,52,1,10,1,NA,NA,NA,NA,NA,2,NA,16,10,39,6,97,4,24,NA,NA,2,NA,NA,1,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5604,5756,5449,505,2,NA,3,1,11,1,3,NA,9,53,21,NA,11,5,19,1,NA,NA,NA,NA,NA,3,NA,3,6,41,10,49,4,25,NA,3,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5890,6047,5730,515,6,NA,8,14,1,12,6,NA,32,41,56,2,15,1,16,NA,NA,NA,NA,NA,NA,3,NA,9,4,20,6,31,3,38,NA,1,4,NA,NA,2,5,NA,6,NA,5,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6176,6339,6009,525,2,NA,2,3,6,1,1,NA,15,50,23,1,14,7,22,1,NA,NA,NA,NA,NA,1,3,10,5,36,6,57,5,23,NA,2,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
6462,6632,6285,535,14,NA,11,39,NA,10,17,NA,34,30,50,6,45,NA,10,NA,NA,NA,NA,NA,NA,1,2,4,18,26,5,36,4,32,NA,4,12,NA,NA,NA,1,NA,10,NA,2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6748,6926,6559,545,6,NA,12,14,2,1,2,NA,11,19,29,3,46,2,13,NA,NA,NA,1,NA,NA,2,3,11,14,48,4,48,3,29,NA,10,2,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
7034,7221,6832,555,5,NA,6,120,NA,15,55,NA,8,3,21,2,18,1,17,2,NA,NA,NA,NA,NA,1,NA,7,3,23,1,40,2,14,NA,5,4,NA,NA,NA,9,NA,3,NA,NA,NA,NA,9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
7192,7380,6988,565,3,NA,8,72,NA,5,5,NA,2,4,36,1,31,1,19,2,NA,1,NA,NA,NA,2,2,5,NA,47,12,61,11,28,NA,3,NA,NA,NA,1,14,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7222,7402,7027,575,5,NA,16,126,1,17,15,2,16,6,31,2,20,1,15,1,NA,NA,NA,NA,3,1,NA,8,5,25,1,38,2,20,NA,2,2,NA,NA,NA,6,NA,2,NA,2,NA,NA,11,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
7252,7425,7067,585,1,NA,14,54,NA,2,8,1,6,3,25,NA,8,NA,14,2,NA,NA,NA,NA,NA,9,2,6,2,45,9,27,7,24,NA,9,NA,NA,NA,NA,10,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
7282,7449,7106,595,21,NA,5,123,NA,16,25,NA,17,4,11,NA,15,1,8,1,NA,NA,NA,NA,NA,NA,NA,6,5,6,2,12,NA,8,NA,1,5,NA,1,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
7311,7471,7143,605,4,NA,6,92,1,2,2,NA,13,3,12,1,28,NA,7,NA,NA,NA,1,NA,NA,NA,NA,2,3,47,5,23,2,14,NA,1,NA,NA,NA,NA,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
